"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"1","China","1p5","iron and steel","MTCO2",2025,1625.28713545959,2052.75512717065,-20.8241102922124,-427.467991711062
"2","China","1p5","iron and steel","MTCO2",2030,1017.99186998673,2052.75512717065,-50.4085092024666,-1034.76325718392
"3","China","1p5","iron and steel","MTCO2",2035,453.243900010605,2052.75512717065,-77.9202159082989,-1599.51122716005
"4","China","1p5","iron and steel","MTCO2",2040,194.656910017761,2052.75512717065,-90.5172854062696,-1858.09821715289
"5","China","1p5","iron and steel","MTCO2",2045,57.3854872705649,2052.75512717065,-97.204465037695,-1995.36963990009
"6","China","1p5","iron and steel","MTCO2",2050,23.0196836638482,2052.75512717065,-98.8785957292638,-2029.73544350681
"7","Europe","1p5","iron and steel","MTCO2",2025,139.61529854738,175.667200591768,-20.5228420120203,-36.0519020443873
"8","Europe","1p5","iron and steel","MTCO2",2030,91.3142486497005,175.667200591768,-48.0186122724723,-84.3529519420672
"9","Europe","1p5","iron and steel","MTCO2",2035,48.8316024624701,175.667200591768,-72.2022083246208,-126.835598129298
"10","Europe","1p5","iron and steel","MTCO2",2040,30.4335477198858,175.667200591768,-82.6754524365592,-145.233652871882
"11","Europe","1p5","iron and steel","MTCO2",2045,12.8609449711454,175.667200591768,-92.6788012060186,-162.806255620622
"12","Europe","1p5","iron and steel","MTCO2",2050,3.62286730601713,175.667200591768,-97.9376529632095,-172.044333285751
"13","Global","1p5","iron and steel","MTCO2",2025,2621.60937712963,3371.08610369235,-22.2325002539038,-749.476726562717
"14","Global","1p5","iron and steel","MTCO2",2030,1686.26902417005,3371.08610369235,-49.9784647350574,-1684.8170795223
"15","Global","1p5","iron and steel","MTCO2",2035,879.62310881642,3371.08610369235,-73.9068335319893,-2491.46299487593
"16","Global","1p5","iron and steel","MTCO2",2040,521.286547982256,3371.08610369235,-84.5365400957486,-2849.79955571009
"17","Global","1p5","iron and steel","MTCO2",2045,261.017816049186,3371.08610369235,-92.2571596209514,-3110.06828764316
"18","Global","1p5","iron and steel","MTCO2",2050,97.0360686953829,3371.08610369235,-97.1215191273489,-3274.05003499697
"19","India","1p5","iron and steel","MTCO2",2025,250.348172126297,336.191588093619,-25.5340761064544,-85.8434159673225
