"","region","year","input","total_energy","share","Ref","1p5","1p5 delay"
"71","China",2030,"refined liquids with CCS",17.183913075,0.139713509345717,NA,0.024008248,NA
"72","China",2030,"refined liquids with CCS",19.99408653132,0,NA,NA,0
"73","China",2035,"biomass",13.868515075022,3.88523361791237,NA,0.53882421,NA
"74","China",2035,"biomass",14.939006374972,1.71298675143968,NA,NA,0.2559032
"75","China",2035,"biomass",22.144869120164,1.08023298174376,0.23921618,NA,NA
"76","China",2035,"coal",13.868515075022,27.6186225582188,NA,3.830292833,NA
"77","China",2035,"coal",14.939006374972,59.1720172755905,NA,NA,8.839711433
"78","China",2035,"coal",22.144869120164,87.502898238653,19.3774022913,NA,NA
"79","China",2035,"coal with CCS",13.868515075022,30.8166707602127,NA,4.27381463,NA
"80","China",2035,"coal with CCS",14.939006374972,10.2193503482112,NA,NA,1.5266694
"81","China",2035,"electricity",13.868515075022,20.8736403965398,NA,2.8948639651,NA
"82","China",2035,"electricity",14.939006374972,17.7339852236656,NA,NA,2.6492811831
"83","China",2035,"electricity",22.144869120164,10.5558291585093,2.3375745517,NA,NA
"84","China",2035,"gas",13.868515075022,2.2309323116953,NA,0.309397183961,NA
"85","China",2035,"gas",14.939006374972,3.44544643744397,NA,NA,0.514715462936
"86","China",2035,"gas",22.144869120164,0.411581472156946,0.091144178332,NA,NA
"87","China",2035,"gas with CCS",13.868515075022,4.75824884950023,NA,0.659898459,NA
"88","China",2035,"gas with CCS",14.939006374972,1.97484238640037,NA,NA,0.29502183
"89","China",2035,"hydrogen",13.868515075022,8.36061383448552,NA,1.15949299,NA
"90","China",2035,"hydrogen",14.939006374972,4.61655469372736,NA,NA,0.6896674
"91","China",2035,"hydrogen",22.144869120164,0.244247279613633,0.0540882404,NA,NA
"92","China",2035,"refined liquids",13.868515075022,1.20396592611221,NA,0.166972195961,NA
"93","China",2035,"refined liquids",14.939006374972,1.02123600530484,NA,NA,0.152562511936
"94","China",2035,"refined liquids",22.144869120164,0.20521086932332,0.045443678432,NA,NA
"95","China",2035,"refined liquids with CCS",13.868515075022,0.252071745323063,NA,0.034958608,NA
"96","China",2035,"refined liquids with CCS",14.939006374972,0.1035808782164,NA,NA,0.015473954
"97","China",2040,"biomass",10.90001712501,2.89894865646562,NA,0.3159859,NA
"98","China",2040,"biomass",11.23047484958,1.76342053788942,NA,NA,0.1980405
"99","China",2040,"biomass",20.75008478427,1.45992145646386,0.30293494,NA,NA
"100","China",2040,"coal",10.90001712501,12.6360274227435,NA,1.377329153,NA
"101","China",2040,"coal",11.23047484958,36.6631708289163,NA,NA,4.117448179
"102","China",2040,"coal",20.75008478427,87.0755055747867,18.0682412331,NA,NA
"103","China",2040,"coal with CCS",10.90001712501,31.7764714520742,NA,3.46364083,NA
"104","China",2040,"coal with CCS",11.23047484958,15.0422107936351,NA,NA,1.6893117
"105","China",2040,"electricity",10.90001712501,27.3918170876017,NA,2.9857127534,NA
"106","China",2040,"electricity",11.23047484958,25.6337247405675,NA,NA,2.87878901
"107","China",2040,"electricity",20.75008478427,10.4990009345961,2.17855159543,NA,NA
"108","China",2040,"gas",10.90001712501,1.41594934787645,NA,0.1543387214,NA
"109","China",2040,"gas",11.23047484958,2.80569979845317,NA,NA,0.31509341022
"110","China",2040,"gas",20.75008478427,0.354021202244376,0.07345969962,NA,NA
"111","China",2040,"gas with CCS",10.90001712501,7.88126954432846,NA,0.85905973,NA
"112","China",2040,"gas with CCS",11.23047484958,5.09333262093893,NA,NA,0.572005439
"113","China",2040,"hydrogen",10.90001712501,13.883769288102,NA,1.51333323,NA
"114","China",2040,"hydrogen",11.23047484958,11.0727029502809,NA,NA,1.24351712
"115","China",2040,"hydrogen",20.75008478427,0.407242331193072,0.084503129,NA,NA
"116","China",2040,"refined liquids",10.90001712501,1.70600982619859,NA,0.18595536321,NA
"117","China",2040,"refined liquids",11.23047484958,1.66316008772314,NA,NA,0.18678077536
"118","China",2040,"refined liquids",20.75008478427,0.204308500715803,0.04239418712,NA,NA
"119","China",2040,"refined liquids with CCS",10.90001712501,0.409737374609483,NA,0.044661444,NA
"120","China",2040,"refined liquids with CCS",11.23047484958,0.262577641595474,NA,NA,0.029488716
"121","China",2045,"biomass",8.35833161216,1.27017880991401,NA,0.106165757,NA
"122","China",2045,"biomass",8.419142484406,1.32740721762336,NA,NA,0.111756305
"123","China",2045,"biomass",19.06936866994,1.77211530097846,0.3379312,NA,NA
"124","China",2045,"coal",8.35833161216,2.15885702043076,NA,0.1804444288,NA
"125","China",2045,"coal",8.419142484406,13.3113485141245,NA,NA,1.120701398
"126","China",2045,"coal",19.06936866994,86.6610333180579,16.5257119366,NA,NA
"127","China",2045,"coal with CCS",8.35833161216,26.2105597343469,NA,2.1907655,NA
"128","China",2045,"coal with CCS",8.419142484406,18.006771388036,NA,NA,1.51601574
"129","China",2045,"electricity",8.35833161216,35.6377954463597,NA,2.97872512267,NA
"130","China",2045,"electricity",8.419142484406,35.145866815779,NA,NA,2.9589806046
"131","China",2045,"electricity",19.06936866994,10.4414639391744,1.9911212531,NA,NA
"132","China",2045,"gas",8.35833161216,0.159246251639928,NA,0.013310329792,NA
"133","China",2045,"gas",8.419142484406,0.748306763006933,NA,NA,0.063001012598
"134","China",2045,"gas",19.06936866994,0.336620885992876,0.06419147777,NA,NA
"135","China",2045,"gas with CCS",8.35833161216,10.5594376001542,NA,0.882592811,NA
"136","China",2045,"gas with CCS",8.419142484406,9.12565155445527,NA,NA,0.768301607
"137","China",2045,"hydrogen",8.35833161216,21.1465837204709,NA,1.767501592,NA
"138","China",2045,"hydrogen",8.419142484406,19.5243395754927,NA,NA,1.643781968
"139","China",2045,"hydrogen",19.06936866994,0.583557027115519,0.1112806409,NA,NA
"140","China",2045,"refined liquids",8.35833161216,2.31497553430997,NA,0.193493331898,NA
"141","China",2045,"refined liquids",8.419142484406,2.34346195676626,NA,NA,0.197299401208
"142","China",2045,"refined liquids",19.06936866994,0.205209528680863,0.03913216157,NA,NA
"143","China",2045,"refined liquids with CCS",8.35833161216,0.542365882373563,NA,0.045332739,NA
"144","China",2045,"refined liquids with CCS",8.419142484406,0.466846214716047,NA,NA,0.039304448
"145","China",2050,"biomass",6.17948425696985,0.0275960215947892,NA,NA,0.00170529181
"146","China",2050,"biomass",6.26153667933122,0.0201371029920194,NA,0.00126089209,NA
"147","China",2050,"biomass",17.2188192784,2.02311374762492,0.3483563,NA,NA
"148","China",2050,"coal",6.17948425696985,0.0222544609681447,NA,NA,0.001375210912
"149","China",2050,"coal",6.26153667933122,0.0180217646688053,NA,0.001128439405,NA
"150","China",2050,"coal",17.2188192784,86.3110216798848,14.8617388404,NA,NA
"151","China",2050,"coal with CCS",6.17948425696985,14.4798927028704,NA,NA,0.89478269
"152","China",2050,"coal with CCS",6.26153667933122,15.3352023500812,NA,0.96021932,NA
"153","China",2050,"electricity",6.17948425696985,44.0541999862009,NA,NA,2.7223223526813
"154","China",2050,"electricity",6.26153667933122,43.3944246677992,NA,2.717157817359,NA
"155","China",2050,"electricity",17.2188192784,10.3816326932616,1.7875945716,NA,NA
"156","China",2050,"gas",6.17948425696985,0.00237328078236603,NA,NA,0.00014665651232
"157","China",2050,"gas",6.26153667933122,0.00318001639896594,NA,0.00019911789323,NA
"158","China",2050,"gas",17.2188192784,0.316209740747447,0.0544475838,NA,NA
"159","China",2050,"gas with CCS",6.17948425696985,7.508225228937,NA,NA,0.463969596
"160","China",2050,"gas with CCS",6.26153667933122,7.78957561024933,NA,0.487747134,NA
"161","China",2050,"hydrogen",6.17948425696985,30.5789863768759,NA,NA,1.8896236491
"162","China",2050,"hydrogen",6.26153667933122,30.1577791126457,NA,1.88834040081,NA
"163","China",2050,"hydrogen",17.2188192784,0.762662392099876,0.131321459,NA,NA
"164","China",2050,"refined liquids",6.17948425696985,2.94250469768803,NA,NA,0.18183161455423
"165","China",2050,"refined liquids",6.26153667933122,2.883197328699,NA,0.180532458273986,NA
"166","China",2050,"refined liquids",17.2188192784,0.205359746381436,0.0353605236,NA,NA
"167","China",2050,"refined liquids with CCS",6.17948425696985,0.383967244082515,NA,NA,0.0237271954
"168","China",2050,"refined liquids with CCS",6.26153667933122,0.398482046465709,NA,0.0249510995,NA
"169","Europe",2015,"biomass",2.341593751,0,0,0,0
"170","Europe",2015,"coal",2.341593751,64.8940226865168,1.51955438,1.51955438,1.51955438
"171","Europe",2015,"coal with CCS",2.341593751,0,NA,0,0
"172","Europe",2015,"electricity",2.341593751,17.8300954135063,0.4175084,0.4175084,0.4175084
"173","Europe",2015,"gas",2.341593751,14.9090627206752,0.349109681,0.349109681,0.349109681
"174","Europe",2015,"gas with CCS",2.341593751,0,NA,0,0
"175","Europe",2015,"hydrogen",2.341593751,0,0,0,0
"176","Europe",2015,"refined liquids",2.341593751,2.36681917930178,0.05542129,0.05542129,0.05542129
"177","Europe",2015,"refined liquids with CCS",2.341593751,0,NA,0,0
"178","Europe",2020,"biomass",2.3873616299976,0.00629045462208216,NA,0.0001501759,0.0001501759
"179","Europe",2020,"biomass",2.4108589723454,0.00696152292295739,0.0001678325,NA,NA
"180","Europe",2020,"coal",2.3873616299976,64.224165821143,NA,1.533263092,1.533263092
"181","Europe",2020,"coal",2.4108589723454,64.8882175168509,1.564363414,NA,NA
"182","Europe",2020,"coal with CCS",2.3873616299976,0,NA,0,0
"183","Europe",2020,"electricity",2.3873616299976,18.0933123584396,NA,0.431952796841,0.431952796841
"184","Europe",2020,"electricity",2.4108589723454,17.8855345206075,0.431195013742,NA,NA
"185","Europe",2020,"gas",2.3873616299976,15.1985038483116,NA,0.3628432492083,0.3628432492083
"186","Europe",2020,"gas",2.4108589723454,14.804720924197,0.3569209427317,NA,NA
"187","Europe",2020,"gas with CCS",2.3873616299976,0,NA,0,0
"188","Europe",2020,"hydrogen",2.3873616299976,0,NA,0,0
"189","Europe",2020,"hydrogen",2.4108589723454,0,0,NA,NA
"190","Europe",2020,"refined liquids",2.3873616299976,2.47772751748379,NA,0.0591523160483,0.0591523160483
"191","Europe",2020,"refined liquids",2.4108589723454,2.41456551542162,0.0582117693717,NA,NA
"192","Europe",2020,"refined liquids with CCS",2.3873616299976,0,NA,0,0
"193","Europe",2025,"biomass",2.1043595534434,0.404172351919743,NA,0.0085052395,NA
"194","Europe",2025,"biomass",2.3206982913926,0.0713761330433874,NA,NA,0.0016564247
"195","Europe",2025,"biomass",2.539049019512,0.0898642043720187,0.0022816962,NA,NA
"196","Europe",2025,"coal",2.1043595534434,56.3776442128767,NA,1.186388342,NA
"197","Europe",2025,"coal",2.3206982913926,62.4979219995743,NA,NA,1.450388208
"198","Europe",2025,"coal",2.539049019512,65.3000027277403,1.657999079,NA,NA
"199","Europe",2025,"coal with CCS",2.1043595534434,1.1602403192006,NA,0.024415628,NA
"200","Europe",2025,"coal with CCS",2.3206982913926,0,NA,NA,0
"201","Europe",2025,"electricity",2.1043595534434,20.6706911823707,NA,0.434985664659,NA
"202","Europe",2025,"electricity",2.3206982913926,18.7471438425082,NA,NA,0.435064646838
"203","Europe",2025,"electricity",2.539049019512,17.7548589185034,0.450804571286,NA,NA
"204","Europe",2025,"gas",2.1043595534434,16.5573685314881,NA,0.3484265664912,NA
"205","Europe",2025,"gas",2.3206982913926,15.5820984666992,NA,NA,0.3616134928798
"206","Europe",2025,"gas",2.539049019512,14.4423488668005,0.366698317297,NA,NA
"207","Europe",2025,"gas with CCS",2.1043595534434,0.916263911195659,NA,0.01928148715,NA
"208","Europe",2025,"gas with CCS",2.3206982913926,0,NA,NA,0
"209","Europe",2025,"hydrogen",2.1043595534434,1.1068496332714,NA,0.023292096,NA
"210","Europe",2025,"hydrogen",2.3206982913926,0.623443945887422,NA,NA,0.014468253
"211","Europe",2025,"hydrogen",2.539049019512,0.13361397806538,0.0033925244,NA,NA
"212","Europe",2025,"refined liquids",2.1043595534434,2.71216390772239,NA,0.0570736802972,NA
"213","Europe",2025,"refined liquids",2.3206982913926,2.47801561228759,NA,NA,0.0575072659748
"214","Europe",2025,"refined liquids",2.539049019512,2.27931130451838,0.057872831329,NA,NA
"215","Europe",2025,"refined liquids with CCS",2.1043595534434,0.0946059499548135,NA,0.001990849346,NA
"216","Europe",2025,"refined liquids with CCS",2.3206982913926,0,NA,NA,0
"217","Europe",2030,"biomass",1.83512391576504,0.961794598630245,NA,0.0176501227,NA
"218","Europe",2030,"biomass",2.1176838525221,0.191240236127632,NA,NA,0.0040498636
"219","Europe",2030,"biomass",2.56497014633046,0.243532405589068,0.0062465335,NA,NA
"220","Europe",2030,"coal",1.83512391576504,39.059469436492,NA,0.716789665,NA
"221","Europe",2030,"coal",2.1176838525221,58.4733810726867,NA,NA,1.238281349
"222","Europe",2030,"coal",2.56497014633046,65.5697765296064,1.681845193,NA,NA
"223","Europe",2030,"coal with CCS",1.83512391576504,7.63888529792058,NA,0.140183011,NA
"224","Europe",2030,"coal with CCS",2.1176838525221,0,NA,NA,0
"225","Europe",2030,"electricity",1.83512391576504,25.1649957598355,NA,0.46180885559,NA
"226","Europe",2030,"electricity",2.1176838525221,20.3836462243835,NA,NA,0.431661184649
"227","Europe",2030,"electricity",2.56497014633046,17.7508009353003,0.455302744725,NA,NA
"228","Europe",2030,"gas",1.83512391576504,15.981466454801,NA,0.29327971300202,NA
"229","Europe",2030,"gas",2.1176838525221,16.1914826626356,NA,NA,0.34288441383055
"230","Europe",2030,"gas",2.56497014633046,13.8933061171121,0.35635915424223,NA,NA
"231","Europe",2030,"gas with CCS",1.83512391576504,3.11315753989196,NA,0.05713029855,NA
"232","Europe",2030,"gas with CCS",2.1176838525221,0,NA,NA,0
"233","Europe",2030,"hydrogen",1.83512391576504,4.81433294182581,NA,0.0883489752,NA
"234","Europe",2030,"hydrogen",2.1176838525221,2.14476589345038,NA,NA,0.045419361
"235","Europe",2030,"hydrogen",2.56497014633046,0.352763665220229,0.0090482827,NA,NA
"236","Europe",2030,"refined liquids",1.83512391576504,2.91917308884764,NA,0.05357044349602,NA
"237","Europe",2030,"refined liquids",2.1176838525221,2.61548391071618,NA,NA,0.05538768044255
"238","Europe",2030,"refined liquids",2.56497014633046,2.18982034717193,0.05616823816323,NA,NA
"239","Europe",2030,"refined liquids with CCS",1.83512391576504,0.346724881755324,NA,0.006362831227,NA
"240","Europe",2030,"refined liquids with CCS",2.1176838525221,0,NA,NA,0
"241","Europe",2035,"biomass",1.59218844762072,1.09804727990117,NA,0.01748298194,NA
"242","Europe",2035,"biomass",1.73625240612142,0.616771618126767,NA,NA,0.01070871206
"243","Europe",2035,"biomass",2.53467114525144,0.420055412708926,0.01064702334,NA,NA
"244","Europe",2035,"coal",1.59218844762072,19.721185232139,NA,0.313998433,NA
"245","Europe",2035,"coal",1.73625240612142,42.1342422000849,NA,NA,0.731556794
"246","Europe",2035,"coal",2.53467114525144,65.6657585390585,1.664411034,NA,NA
