"","region","scenario","sector","Units","year","value"
"107","Japan","1p5 delay","iron and steel","Mt",2030,85.02628875
"108","Japan","Ref","iron and steel","Mt",2030,94.87964456
"109","Japan","1p5","iron and steel","Mt",2035,74.53397497
"110","Japan","1p5 delay","iron and steel","Mt",2035,74.8711018
"111","Japan","Ref","iron and steel","Mt",2035,91.85831032
"112","Japan","1p5","iron and steel","Mt",2040,70.4664249
"113","Japan","1p5 delay","iron and steel","Mt",2040,70.9350362
"114","Japan","Ref","iron and steel","Mt",2040,88.87019969
"115","Japan","1p5","iron and steel","Mt",2045,64.11296368
"116","Japan","1p5 delay","iron and steel","Mt",2045,65.05552587
"117","Japan","Ref","iron and steel","Mt",2045,85.8900465
"118","Japan","1p5","iron and steel","Mt",2050,58.0860331728
"119","Japan","1p5 delay","iron and steel","Mt",2050,57.8862139096
"120","Japan","Ref","iron and steel","Mt",2050,82.8792988
"121","ROW","1p5","iron and steel","Mt",2015,307.329
"122","ROW","1p5 delay","iron and steel","Mt",2015,307.329
"123","ROW","Ref","iron and steel","Mt",2015,307.329
"124","ROW","1p5","iron and steel","Mt",2020,337.34314841608
"125","ROW","1p5 delay","iron and steel","Mt",2020,337.343147948979
"126","ROW","Ref","iron and steel","Mt",2020,338.08197509521
"127","ROW","1p5","iron and steel","Mt",2025,355.971622136629
"128","ROW","1p5 delay","iron and steel","Mt",2025,376.553456608695
"129","ROW","Ref","iron and steel","Mt",2025,390.102926241483
"130","ROW","1p5","iron and steel","Mt",2030,403.112340193598
"131","ROW","1p5 delay","iron and steel","Mt",2030,425.977423193226
"132","ROW","Ref","iron and steel","Mt",2030,455.957728419998
"133","ROW","1p5","iron and steel","Mt",2035,450.334990965885
"134","ROW","1p5 delay","iron and steel","Mt",2035,455.080601310131
"135","ROW","Ref","iron and steel","Mt",2035,523.713595921265
"136","ROW","1p5","iron and steel","Mt",2040,494.407632838812
"137","ROW","1p5 delay","iron and steel","Mt",2040,497.992550156913
"138","ROW","Ref","iron and steel","Mt",2040,594.346270684121
"139","ROW","1p5","iron and steel","Mt",2045,528.252802445928
"140","ROW","1p5 delay","iron and steel","Mt",2045,534.000854910604
"141","ROW","Ref","iron and steel","Mt",2045,664.622581596576
"142","ROW","1p5","iron and steel","Mt",2050,558.863887063975
"143","ROW","1p5 delay","iron and steel","Mt",2050,558.82827351264
"144","ROW","Ref","iron and steel","Mt",2050,731.332061029621
"145","South Korea","1p5","iron and steel","Mt",2015,69.7
"146","South Korea","1p5 delay","iron and steel","Mt",2015,69.7
"147","South Korea","Ref","iron and steel","Mt",2015,69.7
"148","South Korea","1p5","iron and steel","Mt",2020,71.25248554
"149","South Korea","1p5 delay","iron and steel","Mt",2020,71.25248554
"150","South Korea","Ref","iron and steel","Mt",2020,72.3585608
"151","South Korea","1p5","iron and steel","Mt",2025,62.09031955
"152","South Korea","1p5 delay","iron and steel","Mt",2025,68.12671772
"153","South Korea","Ref","iron and steel","Mt",2025,71.88020274
"154","South Korea","1p5","iron and steel","Mt",2030,57.66499378
"155","South Korea","1p5 delay","iron and steel","Mt",2030,64.19480499
"156","South Korea","Ref","iron and steel","Mt",2030,70.77172498
"157","South Korea","1p5","iron and steel","Mt",2035,52.82707616
"158","South Korea","1p5 delay","iron and steel","Mt",2035,53.90205717
"159","South Korea","Ref","iron and steel","Mt",2035,68.60785366
"160","South Korea","1p5","iron and steel","Mt",2040,48.01316757
"161","South Korea","1p5 delay","iron and steel","Mt",2040,48.3394471
"162","South Korea","Ref","iron and steel","Mt",2040,65.40075395
"163","South Korea","1p5","iron and steel","Mt",2045,42.841771003
"164","South Korea","1p5 delay","iron and steel","Mt",2045,43.00725535
"165","South Korea","Ref","iron and steel","Mt",2045,61.396332
"166","South Korea","1p5","iron and steel","Mt",2050,38.0405266338
"167","South Korea","1p5 delay","iron and steel","Mt",2050,38.0359761506
"168","South Korea","Ref","iron and steel","Mt",2050,56.8264285
"169","US","1p5","iron and steel","Mt",2015,78.9
"170","US","1p5 delay","iron and steel","Mt",2015,78.9
"171","US","Ref","iron and steel","Mt",2015,78.9
"172","US","1p5","iron and steel","Mt",2020,88.62589975
"173","US","1p5 delay","iron and steel","Mt",2020,88.62589975
"174","US","Ref","iron and steel","Mt",2020,88.9365768
"175","US","1p5","iron and steel","Mt",2025,82.33085486
"176","US","1p5 delay","iron and steel","Mt",2025,86.19918669
"177","US","Ref","iron and steel","Mt",2025,93.23137958
"178","US","1p5","iron and steel","Mt",2030,81.87218099
"179","US","1p5 delay","iron and steel","Mt",2030,86.02914302
"180","US","Ref","iron and steel","Mt",2030,96.22398149
"181","US","1p5","iron and steel","Mt",2035,81.007178977
"182","US","1p5 delay","iron and steel","Mt",2035,81.88669464
"183","US","Ref","iron and steel","Mt",2035,98.268723416
"184","US","1p5","iron and steel","Mt",2040,79.30245231
"185","US","1p5 delay","iron and steel","Mt",2040,79.70246966
"186","US","Ref","iron and steel","Mt",2040,99.59509022
"187","US","1p5","iron and steel","Mt",2045,76.4306742458
"188","US","1p5 delay","iron and steel","Mt",2045,76.865223153
"189","US","Ref","iron and steel","Mt",2045,100.3188485
"190","US","1p5","iron and steel","Mt",2050,73.236401085201
"191","US","1p5 delay","iron and steel","Mt",2050,73.16149734502
"192","US","Ref","iron and steel","Mt",2050,100.5535635
