"","scenario","region","year","value"
"124","1p5 delay","US",2030,5061.73895357842
"125","1p5 delay","US",2035,3845.32333460383
"126","1p5 delay","US",2040,2312.06508291221
"127","1p5 delay","US",2045,978.340957387604
"128","1p5 delay","US",2050,-485.733007996004
"129","Ref","China",2015,10827.6925587328
"130","Ref","China",2020,12769.3821977576
"131","Ref","China",2025,13826.1787119664
"132","Ref","China",2030,14225.2275423031
"133","Ref","China",2035,14214.9509252767
"134","Ref","China",2040,13961.7939880637
"135","Ref","China",2045,13541.1292957949
"136","Ref","China",2050,12924.2564361536
"137","Ref","Europe",2015,3513.08163767636
"138","Ref","Europe",2020,3445.19547073936
"139","Ref","Europe",2025,3608.68382745054
"140","Ref","Europe",2030,3566.49379905014
"141","Ref","Europe",2035,3529.23978935339
"142","Ref","Europe",2040,3473.26850776889
"143","Ref","Europe",2045,3527.93766288887
"144","Ref","Europe",2050,3508.27853391904
"145","Ref","Global",2015,38837.9169936232
"146","Ref","Global",2020,37881.621883522
"147","Ref","Global",2025,41573.6053959725
"148","Ref","Global",2030,43550.1892964163
"149","Ref","Global",2035,44926.4379311298
"150","Ref","Global",2040,45836.7403255399
"151","Ref","Global",2045,47040.9270031752
"152","Ref","Global",2050,47657.7401633975
"153","Ref","India",2015,2295.77663268124
"154","Ref","India",2020,2666.32992947641
"155","Ref","India",2025,3701.41834379095
"156","Ref","India",2030,4467.54122210353
"157","Ref","India",2035,5236.3520106786
"158","Ref","India",2040,5954.61610221913
"159","Ref","India",2045,6544.92869084072
"160","Ref","India",2050,7086.61099813145
"161","Ref","Japan",2015,1190.1522055095
"162","Ref","Japan",2020,1160.91700538226
"163","Ref","Japan",2025,1181.40393645518
"164","Ref","Japan",2030,1146.9630749862
"165","Ref","Japan",2035,1102.06532734566
"166","Ref","Japan",2040,1058.27284503364
"167","Ref","Japan",2045,1021.47559548093
"168","Ref","Japan",2050,984.734120871236
"169","Ref","ROW",2015,15484.113026686
"170","Ref","ROW",2020,12250.5408402247
"171","Ref","ROW",2025,13440.4870706315
"172","Ref","ROW",2030,14341.2668906465
"173","Ref","ROW",2035,15058.5128301167
"174","Ref","ROW",2040,15657.0906431998
"175","Ref","ROW",2045,16616.6994625273
"176","Ref","ROW",2050,17371.8770431963
"177","Ref","South Korea",2015,663.8723379112
"178","Ref","South Korea",2020,691.234522828667
"179","Ref","South Korea",2025,714.058665374634
"180","Ref","South Korea",2030,717.472569055
"181","Ref","South Korea",2035,711.348744617133
"182","Ref","South Korea",2040,694.041210905717
"183","Ref","South Korea",2045,670.384598159914
"184","Ref","South Korea",2050,641.34735783261
"185","Ref","US",2015,4863.22859442611
"186","Ref","US",2020,4898.021917113
"187","Ref","US",2025,5101.37484030323
"188","Ref","US",2030,5085.22419827188
"189","Ref","US",2035,5073.96830374157
"190","Ref","US",2040,5037.65702834895
"191","Ref","US",2045,5118.37169748258
"192","Ref","US",2050,5140.63567329312
