"","region","year","scenario","input","value","share"
"99","Japan",2015,"1p5 delay","coal",1.4313579,76.4042182155202
"100","Japan",2020,"Ref","coal",1.35509489,76.6050262735829
"101","Japan",2020,"1p5","coal",1.34941705,76.4895784622178
"102","Japan",2020,"1p5 delay","coal",1.34941705,76.4895784622178
"103","Japan",2025,"Ref","coal",1.337899747,76.6385978634172
"104","Japan",2025,"1p5","coal",1.01004558,70.6047995313648
"105","Japan",2025,"1p5 delay","coal",1.21597576,75.9859128197896
"106","Japan",2030,"Ref","coal",1.292412216,76.5397987711057
"107","Japan",2030,"1p5","coal",0.624550699,50.0768125773641
"108","Japan",2030,"1p5 delay","coal",1.06359664,74.3935056600275
"109","Japan",2035,"Ref","coal",1.244622734,76.2954295121548
"110","Japan",2035,"1p5","coal",0.283825339,25.4863017044615
"111","Japan",2035,"1p5 delay","coal",0.647768871,55.4874747648751
"112","Japan",2040,"Ref","coal",1.1970232534,75.9711747552541
"113","Japan",2040,"1p5","coal",0.149053232,14.865326361219
"114","Japan",2040,"1p5 delay","coal",0.366337936,35.4755308002745
"115","Japan",2045,"Ref","coal",1.150951981,75.7005240799173
"116","Japan",2045,"1p5","coal",0.0304663045,3.92868682195933
"117","Japan",2045,"1p5 delay","coal",0.125511835,15.6951823703376
"118","Japan",2050,"Ref","coal",1.107805,75.5846170073065
"119","Japan",2050,"1p5","coal",0.0008471705,0.138761426364908
"120","Japan",2050,"1p5 delay","coal",0.00098394085,0.163254333159112
"121","ROW",2015,"Ref","coal",3.9645173182,62.9859174686409
"122","ROW",2015,"1p5","coal",3.9645174282,62.9859181155046
"123","ROW",2015,"1p5 delay","coal",3.9645173182,62.9859174686409
"124","ROW",2020,"Ref","coal",4.2358177574172,64.8112049586442
"125","ROW",2020,"1p5","coal",4.139171149587,63.6877774382844
"126","ROW",2020,"1p5 delay","coal",4.139171149587,63.6877775611877
"127","ROW",2025,"Ref","coal",4.44536836063586,62.9771711067895
"128","ROW",2025,"1p5","coal",2.9993179893467,52.1175392523537
"129","ROW",2025,"1p5 delay","coal",4.050670332304,61.0298784343765
"130","ROW",2030,"Ref","coal",4.57758648633761,60.4842387530147
"131","ROW",2030,"1p5","coal",1.8304750558893,33.2601792033234
"132","ROW",2030,"1p5 delay","coal",3.6825697968175,55.9913907673886
"133","ROW",2035,"Ref","coal",4.61931102918004,57.4636206799233
"134","ROW",2035,"1p5","coal",0.90325402479591,16.6434586836719
"135","ROW",2035,"1p5 delay","coal",2.2536628399344,38.0515188106895
"136","ROW",2040,"Ref","coal",4.67224323804882,54.1269289527917
"137","ROW",2040,"1p5","coal",0.559453754058121,10.0651145586564
"138","ROW",2040,"1p5 delay","coal",1.34734061019012,23.0947302355943
"139","ROW",2045,"Ref","coal",4.68057009484454,50.2266981140818
"140","ROW",2045,"1p5","coal",0.285128018881483,5.14308314979118
"141","ROW",2045,"1p5 delay","coal",0.573872807166459,10.1134417249968
"142","ROW",2050,"Ref","coal",4.66862326106602,46.1779231348553
"143","ROW",2050,"1p5","coal",0.094447205762433,1.67820498461141
"144","ROW",2050,"1p5 delay","coal",0.115936498450154,2.07139430747161
"145","South Korea",2015,"Ref","coal",0.8536073,76.4056466762973
"146","South Korea",2015,"1p5","coal",0.8536073,76.4056466762973
"147","South Korea",2015,"1p5 delay","coal",0.8536073,76.4056466762973
"148","South Korea",2020,"Ref","coal",0.88379918,76.3010855002788
"149","South Korea",2020,"1p5","coal",0.86675177,76.0381029291059
"150","South Korea",2020,"1p5 delay","coal",0.86675177,76.0381029958124
"151","South Korea",2025,"Ref","coal",0.878758338,76.3497811375061
"152","South Korea",2025,"1p5","coal",0.657239737,69.0097763667499
"153","South Korea",2025,"1p5 delay","coal",0.817226105,75.3108227213874
"154","South Korea",2030,"Ref","coal",0.868494989,76.6592056655221
"155","South Korea",2030,"1p5","coal",0.402134128,49.4309968624036
"156","South Korea",2030,"1p5 delay","coal",0.743497784,73.7305809311551
"157","South Korea",2035,"Ref","coal",0.843194669,76.910968418335
"158","South Korea",2035,"1p5","coal",0.191133768,27.4132707268322
