"","region","year","scenario","em_intensity","em_intensity_2020","abs_reduction","perc_reduction","Units"
"1","China",2020,"1p5",1.9756134172386,1.9756134172386,0,0,"tCO2/t steel"
"2","China",2025,"1p5",1.73908560735825,1.9756134172386,0.236527809880345,-11.9723731280865,"tCO2/t steel"
"3","China",2030,"1p5",1.14881229213024,1.9756134172386,0.826801125108354,-41.8503497644803,"tCO2/t steel"
"4","China",2035,"1p5",0.554947255468577,1.9756134172386,1.42066616177002,-71.9101292476414,"tCO2/t steel"
"5","China",2040,"1p5",0.265954015749364,1.9756134172386,1.70965940148923,-86.5381550140968,"tCO2/t steel"
"6","China",2045,"1p5",0.0878157658330577,1.9756134172386,1.88779765140554,-95.555012682805,"tCO2/t steel"
"7","China",2050,"1p5",0.0406760602530864,1.9756134172386,1.93493735698551,-97.9410921236837,"tCO2/t steel"
"8","Europe",2020,"1p5",1.02640839353248,1.02640839353248,0,0,"tCO2/t steel"
"9","Europe",2025,"1p5",0.883633855614885,1.02640839353248,0.142774537917598,-13.9101101293829,"tCO2/t steel"
"10","Europe",2030,"1p5",0.600825559129559,1.02640839353248,0.425582834402924,-41.4633041861865,"tCO2/t steel"
"11","Europe",2035,"1p5",0.337606995861819,1.02640839353248,0.688801397670664,-67.1079272159971,"tCO2/t steel"
"12","Europe",2040,"1p5",0.223879418560815,1.02640839353248,0.802528974971667,-78.1880760161837,"tCO2/t steel"
"13","Europe",2045,"1p5",0.103546434052516,1.02640839353248,0.922861959479967,-89.9117705286732,"tCO2/t steel"
"14","Europe",2050,"1p5",0.0318431031739206,1.02640839353248,0.994565290358562,-96.8976185917255,"tCO2/t steel"
"15","Global",2020,"1p5",1.75208758845578,1.75208758845578,0,0,"tCO2/t steel"
"16","Global",2025,"1p5",1.39453373613304,1.75208758845578,0.357553852322738,-20.4073046734994,"tCO2/t steel"
"17","Global",2030,"1p5",0.875185399609849,1.75208758845578,0.876902188845928,-50.0489926772894,"tCO2/t steel"
"18","Global",2035,"1p5",0.452143105668156,1.75208758845578,1.29994448278762,-74.1940352384633,"tCO2/t steel"
"19","Global",2040,"1p5",0.269539291278186,1.75208758845578,1.48254829717759,-84.6161063491268,"tCO2/t steel"
"20","Global",2045,"1p5",0.137413296726095,1.75208758845578,1.61467429172968,-92.1571673909746,"tCO2/t steel"
"21","Global",2050,"1p5",0.0526163775575198,1.75208758845578,1.69947121089826,-96.9969322364817,"tCO2/t steel"
"22","India",2020,"1p5",2.86066554439563,2.86066554439563,0,0,"tCO2/t steel"
"23","India",2025,"1p5",1.2257906398849,2.86066554439563,1.63487490451073,-57.1501589101752,"tCO2/t steel"
"24","India",2030,"1p5",0.681583703755367,2.86066554439563,2.17908184064026,-76.1739464758239,"tCO2/t steel"
"25","India",2035,"1p5",0.477595233555951,2.86066554439563,2.38307031083968,-83.3047510747415,"tCO2/t steel"
"26","India",2040,"1p5",0.385181956228181,2.86066554439563,2.47548358816745,-86.5352327893488,"tCO2/t steel"
"27","India",2045,"1p5",0.258461552330947,2.86066554439563,2.60220399206468,-90.9649853043009,"tCO2/t steel"
"28","India",2050,"1p5",0.0766734322574674,2.86066554439563,2.78399211213816,-97.3197344790033,"tCO2/t steel"
"29","Japan",2020,"1p5",1.46744522444809,1.46744522444809,0,0,"tCO2/t steel"
"30","Japan",2025,"1p5",1.33969168212644,1.46744522444809,0.127753542321658,-8.70584742743673,"tCO2/t steel"
"31","Japan",2030,"1p5",0.936600248623373,1.46744522444809,0.530844975824722,-36.1747727942876,"tCO2/t steel"
"32","Japan",2035,"1p5",0.524380644580591,1.46744522444809,0.943064579867504,-64.2657432220129,"tCO2/t steel"
"33","Japan",2040,"1p5",0.352108487482511,1.46744522444809,1.11533673696558,-76.0053403277837,"tCO2/t steel"
"34","Japan",2045,"1p5",0.163767716235761,1.46744522444809,1.30367750821233,-88.8399434944937,"tCO2/t steel"
"35","Japan",2050,"1p5",0.0783434008676649,1.46744522444809,1.38910182358043,-94.6612384869677,"tCO2/t steel"
"36","ROW",2020,"1p5",1.45988766473662,1.45988766473662,0,0,"tCO2/t steel"
"37","ROW",2025,"1p5",1.04239534910952,1.45988766473662,0.417492315627094,-28.5975644367414,"tCO2/t steel"
"38","ROW",2030,"1p5",0.61016076563876,1.45988766473662,0.849726899097859,-58.2049509440276,"tCO2/t steel"
"39","ROW",2035,"1p5",0.325243525487317,1.45988766473662,1.1346441392493,-77.7213320350922,"tCO2/t steel"
"40","ROW",2040,"1p5",0.215184246874423,1.45988766473662,1.2447034178622,-85.2602188461367,"tCO2/t steel"
"41","ROW",2045,"1p5",0.123394680047865,1.45988766473662,1.33649298468875,-91.5476592460882,"tCO2/t steel"
"42","ROW",2050,"1p5",0.05252636797472,1.45988766473662,1.4073612967619,-96.4020267282554,"tCO2/t steel"
"43","South Korea",2020,"1p5",1.27138201868145,1.27138201868145,0,0,"tCO2/t steel"
"44","South Korea",2025,"1p5",1.11978404669081,1.27138201868145,0.151597971990634,-11.9238725861371,"tCO2/t steel"
"45","South Korea",2030,"1p5",0.769766990858603,1.27138201868145,0.501615027822846,-39.4543119575555,"tCO2/t steel"
"46","South Korea",2035,"1p5",0.447087092786454,1.27138201868145,0.824294925894995,-64.8345590690257,"tCO2/t steel"
"47","South Korea",2040,"1p5",0.309251435792396,1.27138201868145,0.962130582889052,-75.6759627516896,"tCO2/t steel"
"48","South Korea",2045,"1p5",0.167129391326659,1.27138201868145,1.10425262735479,-86.8545103776135,"tCO2/t steel"
