IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C,date=2021-20-10T07:49:36-07:21",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.00279893,0.00955421,0.02686388,0.061559128,0.104749596,0.105835989,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:22",Africa_Western,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.0819389,0.3800624,0.9968179,2.1312284,3.912584,6.500535,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:23",Africa_Western,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00548,0.03,0.03,0.03,0.02714789,0.03300446,0.06844735,0.152191178,0.32112609,0.57755798,0.9152063,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:24",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR,2.03,2.57,2.6,2.82,2.780765,2.039079,1.572363,1.0838584,0.8187909,0.4573987,0.1976092,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:25",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.00222723,0.02493193,0.06252772,0.097272604,0.07751433,0.0557985,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:26",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,1.14E-04,7.12E-04,0.001228186,0.001209254,7.26E-04,1.71E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:27",Argentina,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,2.81E-04,0.001074445,0.002697084,0.002776404,0.001868681,8.50E-04,1.52E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:28",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.56,2.13,1.93,1.68,1.462107,0.7025809,0.2837117,0.06960765,0.03063324,0.007169738,1.50E-04,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:29",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0104182,0.03975607,0.06717947,0.09053711,0.10369737,0.08583385,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:30",Argentina,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.343332,2.033681,3.420138,4.1913997,5.000086,5.685981,0,0,0,Mt
"0_1p5C,date=2021-20-10T07:49:36-07:31",Argentina,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.493,0.674,0.608,0.529,0.538676,0.4058054,0.3841198,0.3749623,0.40534406,0.3981552,0.311897,0,0,0,Mt
