IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
"0_1p5C_delay,date=2021-20-10T07:49:36-07:172",Pakistan,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0694,0.019,0.76,2.06,2.553,4.111899,6.740687,9.351651,12.342389,15.207849,16.938153,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:173",Pakistan,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,2.31E-10,7.35E-10,0.954220001,2.396346,4.28874,6.979513,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:174",Pakistan,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.0202194,0.0899878,0.14528659,0.22041862,0.26795529,0.30423249,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:175",Pakistan,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.0219,0.006,0.24,0.65,0.768984,1.192818,1.965661,3.0656912,4.484016,6.066477,7.980741,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:176",Russia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,46.1,55.3,49,49.3,49.36749,43.95518,35.30741,17.770733,8.2308395,1.57812498,1.17E-04,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:177",Russia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,4.56726,6.61139,5.073061,2.7015718,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:178",Russia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.233217,1.111893,2.01839,1.8181455,1.0681381,0.076570821,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:179",Russia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.0215304,0.1769761,0.4305479,1.7724254,1.5387804,0.93031762,0.097317546,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:180",Russia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,5.34,7.34,12.2,14.7,14.87489,13.5041,11.32328,6.665234,3.793381,1.241767,0.003439838,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:181",Russia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,1.31172,2.2942,2.807859,1.846856,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:182",Russia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,1.59734,4.91866,9.915623,14.153798,20.983057,26.14262,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:183",Russia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,2.52,3.46,5.75,6.91,7.30371,7.76766,9.064896,10.447665,11.206687,11.608431,10.762315,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:184",South Africa,iron and steel,BLASTFUR,iron and steel,BLASTFUR,4.27,5.26,4.37,3.91,3.80027,5.030871,5.067008,2.9523626,1.3175391,0.157270677,1.00E-05,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:185",South Africa,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,0.830598,1.203267,0.8949713,0.4448637,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:186",South Africa,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0340659,0.1386711,0.3502728,0.3991312,0.2670738,0.018344295,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:187",South Africa,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00112763,0.030512557,0.068658279,0.340660098,0.32580088,0.20712767,0.01807521,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:188",South Africa,iron and steel,EAF with DRI,iron and steel,EAF with DRI,2.64,3.22,2.47,1.91,1.957721,3.223524,4.013191,4.0219159,3.892297,3.289377,0.84663,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:189",South Africa,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,0.751495,1.912483,3.520831,5.156067,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:190",South Africa,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.094659,0.2745593,0.6111443,0.9860141,1.3986196,2.4233995,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:191",South Africa,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.834,1.02,0.78,0.602,0.612761,1.0761431,1.4626907,1.7584984,2.205137,2.871105,3.919377,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:192",South America_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,3.65E-04,5.00E-04,0,0,0,0,0,1.84E-04,5.07E-04,0.001190756,0.002368475,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:193",South America_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,2.11E-05,1.27E-04,4.14E-04,0.001049368,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:194",South America_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0,0,1.61E-06,4.14E-06,4.84E-06,2.79E-07,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:195",South America_Northern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0,0,0,1.92E-06,2.84E-06,2.55E-06,1.97E-07,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:196",South America_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,2.66,3.73,1.68,1.02,6.76E-05,3.41E-05,1.04E-04,5.13E-06,3.84E-06,1.22E-06,8.27E-09,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:197",South America_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,9.87E-06,2.80E-05,4.81E-05,2.49E-05,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:198",South America_Northern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0,0,1.78E-04,5.15E-04,0.001481985,0.003894959,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:199",South America_Northern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.84,1.18,0.53,0.323,2.20E-05,1.23E-05,4.23E-05,4.37E-05,1.21E-04,2.63E-04,5.11E-04,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:200",South America_Southern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.3723,1.4915,0.706,0.8217,0.826424,1.282737,1.6863841,1.3629243,0.895401,0.432976,0.073396604,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:201",South America_Southern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,0.21307,0.682129,1.418279,1.9466379,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:202",South America_Southern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.126106,0.587401,0.9273994,1.1272697,0.9265785,0.43630386,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:203",South America_Southern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00436033,0.1137439,0.29068076,0.862212935,0.8780932,0.616641,0.265755425,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:204",South America_Southern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.5386,0.8251,1.2784,1.7011,1.674455,2.069434,2.151735,1.910257,1.814849,1.552956,0.6836357,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:205",South America_Southern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,0.250233,0.607068,1.069594,1.6457344,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:206",South America_Southern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.305382,0.823384,1.359767,2.0557338,3.073186,4.906962,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:207",South America_Southern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.17043,0.2604,0.4033,0.5377,0.5354023,0.8222388,1.1301888,1.3363088,1.6393332,1.971626,2.082026,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:208",South Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0,0,0,0,0.0074066,0.05976554,0.2038063,0.196562,0.13624127,0.05429193,7.81E-05,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:209",South Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,0.150195,0.540767,0.9192865,0.8442065,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:210",South Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,3.20E-05,4.06E-04,0.001672069,0.003374049,0.003053605,3.61E-05,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:211",South Asia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,7.73E-07,3.44E-05,2.19E-04,0.002248801,0.002955967,0.002396334,1.33E-05,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:212",South Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0208,0.0228,0.0822,0.0988,0.2651284,0.863422,1.9382174,3.0211404,4.188364,5.141041,4.080951,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:213",South Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,0.439064,1.238064,2.573069,5.8818045,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:214",South Asia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.00459574,0.02197168,0.05772194,0.10990022,0.16795525,0.34501592,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:215",South Asia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00657,0.0072,0.026,0.0312,0.0760858,0.2451879,0.56151938,1.13104912,1.9456062,3.0735179,4.891855,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:216",South Korea,iron and steel,BLASTFUR,iron and steel,BLASTFUR,22.5,26.7,34.1,48.5,49.18109,46.81894,43.41754,26.95137,15.062752,5.515575,0.058141728,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:217",South Korea,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,2.26393,3.91462,3.400095,2.286062,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:218",South Korea,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0712637,0.4010372,0.6560483,0.7296619,0.4683925,0.032384513,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:219",South Korea,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00681465,0.06814976,0.19219841,0.78340801,0.7730393,0.49100956,0.047973357,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:220",South Korea,iron and steel,EAF with DRI,iron and steel,EAF with DRI,8.42,10.5,12.4,10.6,11.2374,9.74144,7.45476,6.959281,7.336061,6.776444,3.685417,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:221",South Korea,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,1.57947,3.63277,6.284591,7.916104,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:222",South Korea,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.972468,2.705424,4.857104,6.347655,8.110424,10.444368,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:223",South Korea,iron and steel,EAF with scrap,iron and steel,EAF with scrap,8.42,10.5,12.4,10.6,10.82753,10.46025,10.03754,9.799719,10.552637,11.991243,13.622154,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:224",Southeast Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.37,1.4001,1.3,3.52,4.44364,7.73084,11.440424,10.379286,7.59921,4.181205,0.99384199,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:225",Southeast Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,1.96194,7.36373,14.456387,17.447404,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:226",Southeast Asia,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0146923,0.0869008,0.16039108,0.23779993,0.2031786,0.017323389,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:227",Southeast Asia,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,7.31E-04,0.013681425,0.042197668,0.157696025,0.17727968,0.12798759,0.013578465,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:228",Southeast Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI,4.9333,9.427,12.13,9.4236,11.53438,17.36225,22.07975,23.627169,23.78477,21.10101,12.98147,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:229",Southeast Asia,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,3.00524,6.90629,11.31421,18.955171,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:230",Southeast Asia,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.523917,1.664295,3.188216,4.8641305,6.720364,11.036549,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:231",Southeast Asia,iron and steel,EAF with scrap,iron and steel,EAF with scrap,1.55778,2.98,3.838,2.9714,3.5976,5.728522,8.120223,9.901945,11.556086,12.892827,13.487833,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:232",Taiwan,iron and steel,BLASTFUR,iron and steel,BLASTFUR,9.1,10,10.4,13.3,13.42134,10.5131,8.28643,4.333126,2.3050964,0.81638103,0.002298442,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:233",Taiwan,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,0.406345,0.464426,0.3488335,0.2015252,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:234",Taiwan,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.00783423,0.06259576,0.11035804,0.11249491,0.07006513,0.002758941,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:235",Taiwan,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00199975,0.0096591,0.032879466,0.116689121,0.10850059,0.06715285,0.003430013,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:236",Taiwan,iron and steel,EAF with DRI,iron and steel,EAF with DRI,4.8,6.76,7.11,6.13,6.44175,5.38871,5.312708,5.208791,5.081699,4.625446,2.75803,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:237",Taiwan,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,0.681352,1.223933,2.004526,3.495837,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:238",Taiwan,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.0389337,0.217511,0.3520782,0.36155617,0.3890143,0.6248911,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:239",Taiwan,iron and steel,EAF with scrap,iron and steel,EAF with scrap,1.52,2.14,2.25,1.94,2.046072,1.756006,1.937138,2.1351256,2.2287721,2.458463,2.751675,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:240",USA,iron and steel,BLASTFUR,iron and steel,BLASTFUR,49.3,42.7,31.2,29.4,32.53265,29.92328,25.33443,13.9817,6.834813,1.92699869,0.001239523,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:241",USA,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0,0,3.12122,5.06159,4.092148,2.366233,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:242",USA,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0179977,0.0959201,0.16366937,0.15207525,0.08366974,4.46E-04,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:243",USA,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00245973,0.01606556,0.04114019,0.140705506,0.12365086,0.07305586,5.51E-04,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:244",USA,iron and steel,EAF with DRI,iron and steel,EAF with DRI,10.9,13,12.3,12.4,13.37529,11.68265,9.98507,5.367412,2.546412,0.65555,0.003204473,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:245",USA,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0,0,1.32653,2.35939,3.128878,2.3711,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:246",USA,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.974011,3.032122,6.691236,9.745209,13.792726,17.895046,0,0,0,Mt
"0_1p5C_delay,date=2021-20-10T07:49:36-07:247",USA,iron and steel,EAF with scrap,iron and steel,EAF with scrap,32.8,39.1,37,37.1,42.7157,43.5984,47.56496,51.07477,52.82622,53.07136,50.59261,0,0,0,Mt
IRONSTL production by tech,,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0,0,0,0,1.68E-04,6.11E-05,1.44E-04,3.99E-04,0.001535989,0.018646712,0.28579844,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,5.96E-07,5.66E-06,4.87E-05,4.82E-04,0.007528525,0.139724883,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0120086,0.09072883,0.41377542,1.30929274,2.5112909,2.1052522,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.0436626,0.1210122,0.326519,0.61770183,0.8205954,0.9124706,0.6095957,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.001634845,0.00180433,0.00492121,0.013906326,0.045151529,0.176676298,0.94078905,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,2.58E-05,1.71E-04,8.57E-04,0.003520759,0.01497417,0.072199493,0.445207146,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,9.86E-05,5.68E-04,0.002413927,0.010024742,0.046892727,0.280735063,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,5.49E-04,6.88E-04,0.002107369,0.00667181,0.024028617,0.102022185,0.58077171,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.54189,2.180998,2.928797,3.5535271,3.802164,3.982146,4.135614,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.00949106,0.05859535,0.21911953,0.58139831,1.01922753,1.4338073,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,1.00E-05,3.87E-05,9.08E-05,1.13E-04,2.45E-05,2.44E-07,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,9.30E-06,8.63E-05,1.66E-04,1.95E-04,1.45E-04,2.84E-05,8.02E-08,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.9853,4.5832,5.73,4.447,5.20276,5.803,5.927041,5.704362,5.399877,4.777055,3.645243,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.196716,0.563274,0.9924672,1.3584361,1.7608271,2.394621,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.00368642,0.01483436,0.03004479,0.037649126,0.04386987,0.05292658,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Northern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.6276,1.447,1.81,1.4004,1.590309,1.77686,1.914455,2.0085285,2.098805,2.159284,2.244661,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0,0,0,0,0.00300665,0.05137744,0.2322389,0.622623574,1.33578673,2.7372274,4.6215267,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,4.69E-04,0.007701364,0.059185013,0.325730405,0.97231671,2.05577812,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.00120263,0.011026431,0.053950637,0.148057123,0.15299438,0.08604754,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,7.69E-05,0.008557291,0.036873672,0.079297432,0.09960127,0.07543173,0.03599883,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0173,0.095,0.095,0.095,0.0822142,0.05462146,0.04656285,0.044156514,0.037377421,0.012580433,6.41E-04,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.00860937,0.03842692,0.09183953,0.172459624,0.24634206,0.21532883,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.0420605,0.2572736,0.7759246,1.80195418,3.5123722,6.1186088,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Africa_Western,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00548,0.03,0.03,0.03,0.02714838,0.0375168,0.08163822,0.174622072,0.35227666,0.6128546,0.9497575,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR,2.03,2.57,2.6,2.82,2.780765,2.11844,1.757486,1.2808834,0.9588876,0.5246364,0.2191765,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.00296204,0.02998938,0.07338092,0.110574151,0.08679676,0.06068439,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,1.51E-04,8.64E-04,0.001453026,0.001398383,8.30E-04,1.96E-04,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,2.81E-04,0.001354472,0.003293287,0.003342148,0.002220832,9.92E-04,1.75E-04,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI,1.56,2.13,1.93,1.68,1.462107,0.753758,0.4633286,0.2061733,0.10956659,0.0218202,3.36E-04,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0,0,0,0,0,0.0327329,0.1672192,0.259188,0.30055923,0.2903861,0.2054128,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0,0,0,0,0,0.180171,1.464035,2.7900393,3.6606529,4.657402,5.504959,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Argentina,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.493,0.674,0.608,0.529,0.538676,0.4237597,0.4354452,0.4417191,0.4664323,0.4415531,0.3351067,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR,6.004,6.985,6.69,4.383,4.86028,3.859579,2.372156,1.011719,0.4353913,0.129427952,8.92E-04,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0,0,0,0,0,0.152683,0.944812,1.9314899,2.2735122,1.619137,0.8777718,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0,0,0,0,0,0.0194856,0.0929637,0.15350665,0.13880704,0.07992723,0.008674021,0,0,0,Mt
"1_1p5C,date=2021-20-10T07:49:36-07:00",Australia_NZ,iron and steel,BLASTFUR,iron and steel,Biomass-based,0,0,0,0,0.00155477,0.12780812,0.312520339,0.319006067,0.2086403,0.090113612,0.008125268,0,0,0,Mt
