CO2 prices
scenario,region,market,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"1_1p5C,date=2021-19-10T14:08:40-07:00",Global,globalCO2,0.0,0.0,0.0,0.0,0.0,256.755,371.468,530.121,1044.04,2561.8,6778.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990$/tC,
"1_1p5C,date=2021-19-10T14:08:40-07:00",Global,globalCO2_LUC,0.0,0.0,0.0,0.0,0.0,16.0472,46.4335,99.3977,261.009,800.561,2541.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990$/tC,
