"","region","scenario","sector","Units","year","value"
"106","Japan","1p5","iron and steel","Mt",2030,80.82174399
"107","Japan","1p5 delay","iron and steel","Mt",2030,84.93643072
"108","Japan","Ref","iron and steel","Mt",2030,93.0223792
"109","Japan","1p5","iron and steel","Mt",2035,75.77839925
"110","Japan","1p5 delay","iron and steel","Mt",2035,76.3606191
"111","Japan","Ref","iron and steel","Mt",2035,88.60860967
"112","Japan","1p5","iron and steel","Mt",2040,70.7542472
"113","Japan","1p5 delay","iron and steel","Mt",2040,71.3433992
"114","Japan","Ref","iron and steel","Mt",2040,84.46953857
"115","Japan","1p5","iron and steel","Mt",2045,64.57565974
"116","Japan","1p5 delay","iron and steel","Mt",2045,65.18343368
"117","Japan","Ref","iron and steel","Mt",2045,80.3049212
"118","Japan","1p5","iron and steel","Mt",2050,58.7005547349
"119","Japan","1p5 delay","iron and steel","Mt",2050,58.6226151851
"120","Japan","Ref","iron and steel","Mt",2050,76.2528449
"121","ROW","1p5","iron and steel","Mt",2015,307.329
"122","ROW","1p5 delay","iron and steel","Mt",2015,307.329
"123","ROW","Ref","iron and steel","Mt",2015,307.329
"124","ROW","1p5","iron and steel","Mt",2020,338.512939077427
"125","ROW","1p5 delay","iron and steel","Mt",2020,338.512939028827
"126","ROW","Ref","iron and steel","Mt",2020,338.450589531556
"127","ROW","1p5","iron and steel","Mt",2025,365.419651585428
"128","ROW","1p5 delay","iron and steel","Mt",2025,380.571315701579
"129","ROW","Ref","iron and steel","Mt",2025,390.437158426628
"130","ROW","1p5","iron and steel","Mt",2030,414.330799517
"131","ROW","1p5 delay","iron and steel","Mt",2030,432.418960452901
"132","ROW","Ref","iron and steel","Mt",2030,456.133777153149
"133","ROW","1p5","iron and steel","Mt",2035,462.046321544827
"134","ROW","1p5 delay","iron and steel","Mt",2035,467.041255949847
"135","ROW","Ref","iron and steel","Mt",2035,523.88009120054
"136","ROW","1p5","iron and steel","Mt",2040,508.367634790548
"137","ROW","1p5 delay","iron and steel","Mt",2040,512.306410331773
"138","ROW","Ref","iron and steel","Mt",2040,594.498059392144
"139","ROW","1p5","iron and steel","Mt",2045,550.477223246092
"140","ROW","1p5 delay","iron and steel","Mt",2045,555.098345618027
"141","ROW","Ref","iron and steel","Mt",2045,664.746274942543
"142","ROW","1p5","iron and steel","Mt",2050,576.445840128041
"143","ROW","1p5 delay","iron and steel","Mt",2050,576.336404192385
"144","ROW","Ref","iron and steel","Mt",2050,731.422808618507
"145","South Korea","1p5","iron and steel","Mt",2015,69.7
"146","South Korea","1p5 delay","iron and steel","Mt",2015,69.7
"147","South Korea","Ref","iron and steel","Mt",2015,69.7
"148","South Korea","1p5","iron and steel","Mt",2020,71.51821768
"149","South Korea","1p5 delay","iron and steel","Mt",2020,71.51821768
"150","South Korea","Ref","iron and steel","Mt",2020,71.67476382
"151","South Korea","1p5","iron and steel","Mt",2025,62.75697771
"152","South Korea","1p5 delay","iron and steel","Mt",2025,68.33705719
"153","South Korea","Ref","iron and steel","Mt",2025,73.47232976
"154","South Korea","1p5","iron and steel","Mt",2030,59.01396633
"155","South Korea","1p5 delay","iron and steel","Mt",2030,64.58402152
"156","South Korea","Ref","iron and steel","Mt",2030,74.50165784
"157","South Korea","1p5","iron and steel","Mt",2035,54.8761994
"158","South Korea","1p5 delay","iron and steel","Mt",2035,55.80086502
"159","South Korea","Ref","iron and steel","Mt",2035,73.58635655
"160","South Korea","1p5","iron and steel","Mt",2040,50.2949024
"161","South Korea","1p5 delay","iron and steel","Mt",2040,50.5525212
"162","South Korea","Ref","iron and steel","Mt",2040,70.71860004
"163","South Korea","1p5","iron and steel","Mt",2045,45.55854112
"164","South Korea","1p5 delay","iron and steel","Mt",2045,45.572978
"165","South Korea","Ref","iron and steel","Mt",2045,66.5337215
"166","South Korea","1p5","iron and steel","Mt",2050,40.6054745529
"167","South Korea","1p5 delay","iron and steel","Mt",2050,40.6059618361
"168","South Korea","Ref","iron and steel","Mt",2050,61.4217424
"169","US","1p5","iron and steel","Mt",2015,78.9
"170","US","1p5 delay","iron and steel","Mt",2015,78.9
"171","US","Ref","iron and steel","Mt",2015,78.9
"172","US","1p5","iron and steel","Mt",2020,89.20404526
"173","US","1p5 delay","iron and steel","Mt",2020,89.20404526
"174","US","Ref","iron and steel","Mt",2020,89.16033268
"175","US","1p5","iron and steel","Mt",2025,84.19277938
"176","US","1p5 delay","iron and steel","Mt",2025,87.00484015
"177","US","Ref","iron and steel","Mt",2025,93.35397148
"178","US","1p5","iron and steel","Mt",2030,83.88865008
"179","US","1p5 delay","iron and steel","Mt",2030,87.23342258
"180","US","Ref","iron and steel","Mt",2030,96.2387977
"181","US","1p5","iron and steel","Mt",2035,82.878888231
"182","US","1p5 delay","iron and steel","Mt",2035,84.013875541
"183","US","Ref","iron and steel","Mt",2035,98.301358327
"184","US","1p5","iron and steel","Mt",2040,81.52850572
"185","US","1p5 delay","iron and steel","Mt",2040,81.99502759
"186","US","Ref","iron and steel","Mt",2040,99.62703213
"187","US","1p5","iron and steel","Mt",2045,79.40294649
"188","US","1p5 delay","iron and steel","Mt",2045,79.695681021
"189","US","Ref","iron and steel","Mt",2045,100.35511714
"190","US","1p5","iron and steel","Mt",2050,76.12761353585
"191","US","1p5 delay","iron and steel","Mt",2050,75.9361455176
"192","US","Ref","iron and steel","Mt",2050,100.5922001
