"","region","year","sector","Units","sector_mapping","Ref","1p5","1p5 delay"
"1","Global",2030,"iron and steel","MTCO2","iron and steel",40.8385332426511,28.2531699853618,36.4254116099059
"2","Global",2050,"iron and steel","MTCO2","iron and steel",117.588212205881,38.2121146579166,58.0253598027732
