"","scenario","region","year","value"
"124","1p5 delay","US",2030,5186.71804961409
"125","1p5 delay","US",2035,4126.30065356498
"126","1p5 delay","US",2040,2629.06057218683
"127","1p5 delay","US",2045,1213.09490230216
"128","1p5 delay","US",2050,-473.968508349713
"129","Ref","China",2015,10827.6925587328
"130","Ref","China",2020,12769.9934229227
"131","Ref","China",2025,13850.8852202278
"132","Ref","China",2030,14268.9245224181
"133","Ref","China",2035,14270.3295275781
"134","Ref","China",2040,14025.2721972622
"135","Ref","China",2045,13605.2641980446
"136","Ref","China",2050,12997.5749168182
"137","Ref","EU-27",2015,3513.08163767636
"138","Ref","EU-27",2020,3445.87007635199
"139","Ref","EU-27",2025,3656.7055281208
"140","Ref","EU-27",2030,3652.93528184362
"141","Ref","EU-27",2035,3649.03492962053
"142","Ref","EU-27",2040,3609.0217936964
"143","Ref","EU-27",2045,3677.1628712781
"144","Ref","EU-27",2050,3676.40052463554
"145","Ref","Global",2015,38837.9169936232
"146","Ref","Global",2020,37886.4231740668
"147","Ref","Global",2025,41855.7253997825
"148","Ref","Global",2030,44066.9151029629
"149","Ref","Global",2035,45636.6781620471
"150","Ref","Global",2040,46727.5706728746
"151","Ref","Global",2045,47992.90300895
"152","Ref","Global",2050,48786.0420343714
"153","Ref","India",2015,2295.77663268124
"154","Ref","India",2020,2667.45921347212
"155","Ref","India",2025,3705.67206701628
"156","Ref","India",2030,4473.88114122954
"157","Ref","India",2035,5253.80017289782
"158","Ref","India",2040,5980.16337578137
"159","Ref","India",2045,6587.3027789643
"160","Ref","India",2050,7152.20023801145
"161","Ref","Japan",2015,1190.1522055095
"162","Ref","Japan",2020,1161.25016132435
"163","Ref","Japan",2025,1188.63152239378
"164","Ref","Japan",2030,1159.96509538021
"165","Ref","Japan",2035,1121.04623247966
"166","Ref","Japan",2040,1075.01417091888
"167","Ref","Japan",2045,1045.39656010995
"168","Ref","Japan",2050,1010.81035106096
"169","Ref","ROW",2015,15484.113026686
"170","Ref","ROW",2020,12253.3959779497
"171","Ref","ROW",2025,13571.1488017826
"172","Ref","ROW",2030,14566.8328500152
"173","Ref","ROW",2035,15358.6314486455
"174","Ref","ROW",2040,16061.2139726703
"175","Ref","ROW",2045,17025.1939451166
"176","Ref","ROW",2050,17870.8089933681
"177","Ref","South Korea",2015,663.8723379112
"178","Ref","South Korea",2020,690.306485249333
"179","Ref","South Korea",2025,720.762607845134
"180","Ref","South Korea",2030,732.213168565633
"181","Ref","South Korea",2035,729.522861783833
"182","Ref","South Korea",2040,714.155850326784
"183","Ref","South Korea",2045,691.184268027924
"184","Ref","South Korea",2050,662.70675235182
"185","Ref","US",2015,4863.22859442611
"186","Ref","US",2020,4898.14783679659
"187","Ref","US",2025,5161.91965239606
"188","Ref","US",2030,5212.16304351061
"189","Ref","US",2035,5254.3129890417
"190","Ref","US",2040,5262.72931221871
"191","Ref","US",2045,5361.39838740847
"192","Ref","US",2050,5415.5402581253
