"","region","year","value","scenario","sector","Units"
"115","China",2016,808,"Reference","iron and steel","Mt"
"116","India",2016,95,"Reference","iron and steel","Mt"
"117","Japan",2016,105,"Reference","iron and steel","Mt"
"118","South Korea",2016,69,"Reference","iron and steel","Mt"
"119","EU-27",2016,175,"Reference","iron and steel","Mt"
"120","Global",2017,1759.89,"Reference","iron and steel","Mt"
"121","US",2017,82,"Reference","iron and steel","Mt"
"122","China",2017,871,"Reference","iron and steel","Mt"
"123","India",2017,101,"Reference","iron and steel","Mt"
"124","Japan",2017,105,"Reference","iron and steel","Mt"
"125","South Korea",2017,71,"Reference","iron and steel","Mt"
"126","EU-27",2017,182,"Reference","iron and steel","Mt"
"127","Global",2018,1835.81,"Reference","iron and steel","Mt"
"128","US",2018,87,"Reference","iron and steel","Mt"
"129","China",2018,928,"Reference","iron and steel","Mt"
"130","India",2018,109,"Reference","iron and steel","Mt"
"131","Japan",2018,104,"Reference","iron and steel","Mt"
"132","South Korea",2018,72,"Reference","iron and steel","Mt"
"133","EU-27",2018,179,"Reference","iron and steel","Mt"
"134","Global",2019,1875,"Reference","iron and steel","Mt"
"135","US",2019,88,"Reference","iron and steel","Mt"
"136","China",2019,996,"Reference","iron and steel","Mt"
"137","India",2019,111,"Reference","iron and steel","Mt"
"138","Japan",2019,99,"Reference","iron and steel","Mt"
"139","South Korea",2019,71,"Reference","iron and steel","Mt"
"140","EU-27",2019,170,"Reference","iron and steel","Mt"
"141","Global",2020,1916.25,"Reference","iron and steel","Mt"
"142","US",2020,87,"Reference","iron and steel","Mt"
"143","China",2020,1024,"Reference","iron and steel","Mt"
"144","India",2020,119,"Reference","iron and steel","Mt"
"145","Japan",2020,98,"Reference","iron and steel","Mt"
"146","South Korea",2020,72,"Reference","iron and steel","Mt"
"147","EU-27",2020,171,"Reference","iron and steel","Mt"
"148","China",2020,1039.056051,"Material efficiency and price increase","iron and steel","Mt"
"149","China",2020,1058.934131,"Reference","iron and steel","Mt"
"150","China",2020,1058.934955,"Material efficiency","iron and steel","Mt"
"151","China",2025,962.743337,"Material efficiency and price increase","iron and steel","Mt"
"152","China",2025,1087.9730977,"Reference","iron and steel","Mt"
"153","China",2025,1053.9919629,"Material efficiency","iron and steel","Mt"
"154","China",2030,906.0961744,"Material efficiency and price increase","iron and steel","Mt"
"155","China",2030,1060.59212832,"Reference","iron and steel","Mt"
"156","China",2030,996.31262118,"Material efficiency","iron and steel","Mt"
"157","China",2035,820.7011004,"Material efficiency and price increase","iron and steel","Mt"
"158","China",2035,999.9278102,"Reference","iron and steel","Mt"
"159","China",2035,911.65015347,"Material efficiency","iron and steel","Mt"
"160","China",2040,732.070426,"Material efficiency and price increase","iron and steel","Mt"
"161","China",2040,941.43741368,"Reference","iron and steel","Mt"
"162","China",2040,833.60159468,"Material efficiency","iron and steel","Mt"
"163","China",2045,656.7247497,"Material efficiency and price increase","iron and steel","Mt"
"164","China",2045,868.93897862,"Reference","iron and steel","Mt"
"165","China",2045,744.96831871,"Material efficiency","iron and steel","Mt"
"166","China",2050,569.734784632,"Material efficiency and price increase","iron and steel","Mt"
"167","China",2050,787.7479018,"Reference","iron and steel","Mt"
"168","China",2050,652.02997195,"Material efficiency","iron and steel","Mt"
"169","Europe",2020,171.74064119,"Material efficiency and price increase","iron and steel","Mt"
"170","Europe",2020,172.5320012,"Reference","iron and steel","Mt"
"171","Europe",2020,172.53203807,"Material efficiency","iron and steel","Mt"
"172","Europe",2025,166.37706591,"Material efficiency and price increase","iron and steel","Mt"
"173","Europe",2025,181.76234836,"Reference","iron and steel","Mt"
"174","Europe",2025,174.77078387,"Material efficiency","iron and steel","Mt"
"175","Europe",2030,162.616360684,"Material efficiency and price increase","iron and steel","Mt"
"176","Europe",2030,181.456750591,"Reference","iron and steel","Mt"
"177","Europe",2030,170.729036356,"Material efficiency","iron and steel","Mt"
"178","Europe",2035,154.59070822,"Material efficiency and price increase","iron and steel","Mt"
"179","Europe",2035,180.13149979,"Reference","iron and steel","Mt"
"180","Europe",2035,163.214179489,"Material efficiency","iron and steel","Mt"
"181","Europe",2040,145.3777289,"Material efficiency and price increase","iron and steel","Mt"
"182","Europe",2040,178.00639422,"Reference","iron and steel","Mt"
"183","Europe",2040,154.86766655,"Material efficiency","iron and steel","Mt"
"184","Europe",2045,136.1293891,"Material efficiency and price increase","iron and steel","Mt"
"185","Europe",2045,175.43972608,"Reference","iron and steel","Mt"
"186","Europe",2045,146.26438739,"Material efficiency","iron and steel","Mt"
"187","Europe",2050,131.05744621767,"Material efficiency and price increase","iron and steel","Mt"
"188","Europe",2050,171.59000079,"Reference","iron and steel","Mt"
