IRONSTL inputs by tech (energy and feedstocks)
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,refined liquids industrial,0.016743852,0.025534847,0.025116020000000003,0.028422982,0.014242224999999999,0.0146218404347,0.0128729814947,0.012215363627900003,0.013397922096199999,0.013898022952900001,0.0139107010106,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,scrap,0.0,0.0,0.0,0.0,0.0,0.178748,0.509899,0.7726553,0.9133741,1.0231985,1.1071056,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Argentina,iron and steel,wholesale gas,0.0,0.052283247000000005,0.04659028,0.06969671599999999,0.0343403739,0.0343225521347,0.028401345794699998,0.0252686367279,0.0271307737062,0.0274674231129,0.026744756690600002,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,1.9161651999999999E-4,4.4613467E-4,8.012575E-4,0.0011736439799999998,0.0014785136,0.0019093387999999998,0.0023528026000000004,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.85014E-5,2.9532189999999995E-4,8.80759E-4,0.0016672167300000001,0.0023393654,0.00295141,0.003432289,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,delivered coal,0.14504513,0.12641689,0.15433787000000002,0.09786878,0.1109764939,0.121652776,0.12944778399999995,0.13589263139,0.14234341250000004,0.14810960699999998,0.15310353900000004,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,elect_td_ind,0.02206017,0.01904616,0.018585950000000004,0.01858586,0.020997651744,0.023059118778,0.024894773993,0.026486914787000004,0.027888762799999994,0.029251379369999997,0.030439112159999997,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,refined liquids industrial,0.0020931918,0.0017162755,9.625378999999999E-4,8.372116E-4,9.247169210999999E-4,0.0010008912832,0.00108492794009,0.00116262157497,0.0012265750678,0.0012898802537999999,0.001345650478,0.0,0.0,0.0,EJ,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,scrap,0.0,0.0,0.0,0.0,0.117774,0.2865484,0.465565,0.5932262,0.6439703,0.6995117,0.7513102,0.0,0.0,0.0,Mt,
"current_policies,date=2021-18-10T11:53:02-07:00",Australia_NZ,iron and steel,wholesale gas,0.027418588,0.024404599,0.019381249,0.0147349683,0.0162215715011,0.0174801442732,0.01885754162009,0.02012252478697,0.021163054347799998,0.0221772698438,0.023060536928000003,0.0,0.0,0.0,EJ,
