hydrogen production by tech
scenario,region,sector,subsector,technology,1990,2005,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,biomass,biomass to H2,0.0,0.0,1.01578E-5,6.87426E-5,2.6894E-4,7.40104E-4,0.001458,0.0024018,0.0037125,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,coal,coal chemical,0.0,0.0,5.89617E-5,4.0653E-4,0.00158143,0.00441899,0.00942506,0.017039,0.0288714,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,electricity,electrolysis,0.0,0.0,1.87242E-7,1.36654E-6,4.83502E-6,1.43921E-5,3.59354E-5,7.54264E-5,1.41801E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,0.0,0.0,9.09231E-5,5.16638E-4,0.00172114,0.0037818,0.00712491,0.0120759,0.019017,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,nuclear,thermal splitting,0.0,0.0,1.06952E-5,7.0044E-5,2.59793E-4,6.8103E-4,0.00135522,0.002288,0.00359742,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,solar,electrolysis,0.0,0.0,1.02443E-5,6.73478E-5,2.50841E-4,6.60531E-4,0.00132073,0.00224135,0.00354324,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,wind,electrolysis,0.0,0.0,9.67505E-6,6.1989E-5,2.28125E-4,5.91973E-4,0.00116179,0.00193629,0.00301138,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 forecourt production,electricity,electrolysis,0.0,0.0,5.09775E-6,3.36531E-5,1.12079E-4,2.98697E-4,6.69666E-4,0.00127588,0.00219362,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,9.11466E-5,5.67105E-4,0.002075,0.00495827,0.00967779,0.0169152,0.0277119,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,biomass,biomass to H2,0.0,0.0,6.96611E-6,3.23279E-5,7.84011E-5,1.54892E-4,2.4288E-4,3.24052E-4,4.19594E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,coal,coal chemical,0.0,0.0,3.88494E-5,1.8275E-4,4.39692E-4,8.85468E-4,0.00149368,0.00215606,0.00301799,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,electricity,electrolysis,0.0,0.0,1.85471E-7,1.00465E-6,2.84355E-6,6.46079E-6,1.18789E-5,1.89616E-5,2.83586E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,gas,natural gas steam reforming,0.0,0.0,6.46691E-5,2.87962E-4,7.02091E-4,0.00138733,0.00221372,0.00312334,0.0040838,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,nuclear,thermal splitting,0.0,0.0,6.96906E-6,3.13405E-5,7.21374E-5,1.35698E-4,2.12932E-4,2.86438E-4,3.71565E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,solar,electrolysis,0.0,0.0,6.67526E-6,3.01341E-5,6.96518E-5,1.31613E-4,2.07513E-4,2.80598E-4,3.65969E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 central production,wind,electrolysis,0.0,0.0,3.79046E-6,1.69225E-5,3.8898E-5,7.34841E-5,1.16252E-4,1.59091E-4,2.0952E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 forecourt production,electricity,electrolysis,0.0,0.0,4.5897E-6,2.26474E-5,5.85371E-5,1.22359E-4,2.07565E-4,3.05885E-4,4.20737E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,5.87794E-5,2.73637E-4,6.79228E-4,0.00138555,0.00230099,0.00334605,0.00460071,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,biomass,biomass to H2,0.0,0.0,3.30572E-6,2.61192E-5,9.39433E-5,2.38281E-4,4.66657E-4,7.58152E-4,0.00117805,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,coal,coal chemical,0.0,0.0,2.18008E-5,1.70109E-4,5.88552E-4,0.00147203,0.00302526,0.00513139,0.00826712,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,electricity,electrolysis,0.0,0.0,4.58828E-8,4.02379E-7,1.64772E-6,4.68241E-6,1.05657E-5,2.02862E-5,3.7328E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,gas,natural gas steam reforming,0.0,0.0,3.03487E-5,2.07481E-4,6.94641E-4,0.00155598,0.00273323,0.00441394,0.00685972,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,nuclear,thermal splitting,0.0,0.0,3.5197E-6,2.66023E-5,8.95766E-5,2.14038E-4,4.19657E-4,6.88138E-4,0.00107522,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,solar,electrolysis,0.0,0.0,3.37132E-6,2.55783E-5,8.64902E-5,2.07595E-4,4.08976E-4,6.74108E-4,0.00105903,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 central production,wind,electrolysis,0.0,0.0,3.05685E-6,2.19311E-5,7.1557E-5,1.68524E-4,3.27491E-4,5.33371E-4,8.27235E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.35972E-6,1.08061E-5,4.02262E-5,1.03727E-4,2.12309E-4,3.73812E-4,6.28417E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,3.27487E-5,2.42747E-4,8.44658E-4,0.00203096,0.00387143,0.00652968,0.0105485,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,biomass,biomass to H2,0.0,0.0,8.29866E-6,1.03825E-4,5.03571E-4,0.00142914,0.00316469,0.00593118,0.010115,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,coal,coal chemical,0.0,0.0,4.88072E-5,6.15114E-4,0.00293882,0.00838456,0.01988,0.0402128,0.0745631,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,electricity,electrolysis,0.0,0.0,2.17923E-7,3.20734E-6,1.78856E-5,5.60846E-5,1.39142E-4,2.97404E-4,5.69857E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,gas,natural gas steam reforming,0.0,0.0,7.57294E-5,8.50254E-4,0.00393386,0.0101259,0.0205485,0.0373207,0.0629569,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,nuclear,thermal splitting,0.0,0.0,8.64604E-6,1.03552E-4,4.73656E-4,0.00127491,0.00284314,0.00540815,0.00934394,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,solar,electrolysis,0.0,0.0,8.28154E-6,9.9566E-5,4.57335E-4,0.00123654,0.00277078,0.00529789,0.00920322,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 central production,wind,electrolysis,0.0,0.0,7.73599E-6,8.67002E-5,3.76101E-4,9.85419E-4,0.0021559,0.00403389,0.00686292,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 forecourt production,electricity,electrolysis,0.0,0.0,5.52808E-6,7.27244E-5,3.66243E-4,0.00104178,0.00235661,0.00462163,0.00818834,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,7.36967E-5,8.79718E-4,0.00420867,0.0115993,0.0255812,0.0496033,0.0888483,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,biomass,biomass to H2,0.0,0.0,1.68736E-6,1.66363E-4,4.50912E-4,6.73925E-4,7.79381E-4,8.65073E-4,9.65295E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,coal,coal chemical,0.0,0.0,9.90396E-6,9.68924E-4,0.00254115,0.00382072,0.00474523,0.00569515,0.00687079,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,electricity,electrolysis,0.0,0.0,4.53779E-8,5.42399E-6,1.79028E-5,3.16468E-5,4.42309E-5,5.99766E-5,7.81703E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,gas,natural gas steam reforming,0.0,0.0,1.46821E-5,0.00138246,0.00387049,0.00591431,0.00726855,0.00880285,0.01008,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,nuclear,thermal splitting,0.0,0.0,1.72581E-6,1.62978E-4,4.13503E-4,5.83523E-4,6.75413E-4,7.56533E-4,8.46893E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,solar,electrolysis,0.0,0.0,1.65306E-6,1.56704E-4,3.99255E-4,5.65959E-4,6.58223E-4,7.41109E-4,8.34139E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 central production,wind,electrolysis,0.0,0.0,1.64363E-6,1.54868E-4,3.9208E-4,5.52719E-4,6.40032E-4,7.18555E-4,8.07371E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.13449E-6,1.22081E-4,3.64955E-4,5.89894E-4,7.59536E-4,9.4844E-4,0.00113319,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,1.40378E-5,0.00136656,0.00379854,0.00588906,0.00737768,0.00907715,0.0108553,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,biomass,biomass to H2,0.0,0.0,1.10752E-5,3.59777E-5,8.07019E-5,1.5434E-4,2.34563E-4,3.02278E-4,3.70844E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,coal,coal chemical,0.0,0.0,7.36061E-5,2.34248E-4,4.98808E-4,9.44671E-4,0.00152519,0.00209868,0.00275831,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,electricity,electrolysis,0.0,0.0,4.5331E-7,1.57264E-6,3.8357E-6,7.78851E-6,1.29915E-5,1.96041E-5,2.75002E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,gas,natural gas steam reforming,0.0,0.0,1.02064E-4,2.9977E-4,6.63471E-4,0.0011689,0.00164493,0.00216465,0.00266883,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,nuclear,thermal splitting,0.0,0.0,1.1789E-5,3.66144E-5,7.64542E-5,1.38232E-4,2.11197E-4,2.75905E-4,3.4219E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,solar,electrolysis,0.0,0.0,1.1292E-5,3.5205E-5,7.38199E-5,1.34071E-4,2.05821E-4,2.7028E-4,3.37036E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 central production,wind,electrolysis,0.0,0.0,5.31154E-6,1.70916E-5,3.67805E-5,6.82344E-5,1.0667E-4,1.4463E-4,1.83362E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 forecourt production,electricity,electrolysis,0.0,0.0,1.00148E-5,3.16647E-5,7.11469E-5,1.32312E-4,2.01769E-4,2.79696E-4,3.60643E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Australia_NZ,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,8.59301E-5,2.66146E-4,6.02418E-4,0.00111848,0.00166944,0.00229514,0.00297814,0.0,0.0,0.0,EJ,
