"","region","scenario","sector","subsector","output","technology","Units","year","share"
"1","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"2","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"3","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"4","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"5","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"6","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"7","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"8","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"9","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"10","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"11","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"12","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"13","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"14","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"15","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"16","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"17","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"18","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"19","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"20","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"21","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"22","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"23","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0431945188494622
"24","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0431945188494622
"25","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0480733394208193
"26","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,91.9284795101285
"27","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,91.9284795101285
"28","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2020,94.2097311731475
"29","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2020,0
"30","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2020,0
"31","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0
"32","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0
"33","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2020,0.058837653880782
"34","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,1.22698126040654
"35","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,1.22698126040654
"36","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2020,0.13650669621016
