elec gen by gen tech
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,coal,electricity,coal (conv pul),0.0079653,0.0458462,0.0391365,0.0616071,0.0734867,0.0838251,0.0934391,0.101456,0.10779,0.112798,0.116439,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,gas,electricity,gas (CC),0.0753068,0.198025,0.300178,0.382933,0.45751,0.607198,0.809856,1.05988,1.34459,1.66081,1.95681,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0605068,0.284423,0.386451,0.494492,0.511598,0.571932,0.617656,0.637662,0.630795,0.611562,0.583397,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00534484,0.0154025,0.0279283,0.0406222,0.0520272,0.0608448,0.0642099,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,5.53999E-4,0.00118058,0.00184837,0.00251016,0.00315045,0.00376053,0.00429408,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0317483,0.0644497,0.110337,0.164943,0.221041,0.271184,0.317779,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117727,0.127341,0.157289,0.214293,0.142476,0.140703,0.139435,0.137613,0.134664,0.12736,0.127749,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0257064,0.103213,0.166079,0.217828,0.268318,0.322881,0.38348,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,2.01161E-6,1.5445E-5,7.46826E-5,2.65934E-4,7.34785E-4,0.00162207,0.00295597,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,PV,0.0,7.2E-6,7.676E-4,0.0010805,0.00814705,0.03348205,0.07825055,0.13366325,0.19389095,0.25710485,0.30995059999999997,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,4.80915E-6,2.299125E-5,8.581415E-5,2.6877715E-4,7.0185415E-4,0.0015249891499999999,0.0027781999999999998,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind,0.0,0.0028801,0.0082658,0.0181601,0.0327191,0.0611231,0.1003699,0.1442333,0.1883669,0.21372739999999998,0.2373679,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21369E-4,0.001111928,0.0053015779999999995,0.016669577999999997,0.040032278,0.078667809,0.12971345,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.77538E-5,2.070748E-4,5.835807999999999E-4,0.0012495917999999998,0.0022394188,0.0035495987999999996,0.004978645,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.89613E-5,2.10055E-4,4.52867E-4,8.59261E-4,0.00154574,0.00262833,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03201E-4,5.68121E-4,4.98436E-4,7.05785E-4,0.00121901,0.00198165,0.00310536,0.00480383,0.00722413,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00228829,0.00727084,0.0142046,0.0244659,0.0399741,0.0619229,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,coal,electricity,coal (conv pul),0.0213304,0.0204674,0.0126978,0.0266819,0.0253784,0.0316735,0.044475,0.0605769,0.0830394,0.115575,0.160209,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,gas,electricity,gas (CC),0.0,7.8267E-4,0.0,0.00985434,0.00871311,0.0136677,0.0274661,0.0491665,0.0827583,0.137543,0.218847,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,gas,electricity,gas (steam/CT),0.0,0.00337892,0.00860167,0.0189845,0.0164414,0.0190993,0.0243997,0.0292771,0.0335963,0.0382874,0.0431326,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,1.87597E-5,6.25809E-4,0.00252526,0.0057318,0.0108303,0.0183156,0.0279267,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,hydro,electricity,hydro,0.0548817,0.120117,0.148422,0.161628,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,1.67891E-6,2.70058E-5,7.90746E-5,1.47922E-4,2.45857E-4,3.89906E-4,5.91215E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,6.92531E-4,0.0169907,0.0589405,0.116752,0.19514,0.297473,0.435531,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,refined liquids,electricity,refined liquids (steam/CT),0.00254618,0.00617972,0.00945443,0.0264261,0.00924858,0.0218081,0.0406126,0.0554048,0.0668276,0.0743706,0.0817412,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0232455,0.0522048,0.087611,0.135209,0.201728,0.289246,0.39785,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,7.82256E-9,9.52591E-7,1.00429E-5,5.00522E-5,1.8937E-4,5.77526E-4,0.00143827,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,solar,electricity,PV,0.0,1.12E-5,5.29002E-5,8.66999E-5,1.0708629999999999E-4,7.499383E-4,0.0025636683,0.0052778583,0.009369998300000001,0.0157578084,0.025629952,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.67752E-8,1.1638152E-6,9.8113952E-6,4.41447952E-5,1.5957879520000001E-4,4.825837952E-4,0.00120965402,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,wind,electricity,wind,0.0,2.2E-6,6.70002E-6,6.51999E-5,9.306680000000001E-5,7.890758E-4,0.0024243858,0.0044624558,0.0069407058,0.0100664559,0.014191628999999999,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,3.23784E-7,4.6081384E-5,4.61325384E-4,0.0020782153839999998,0.007261115384,0.0208296916,0.049180434,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Southern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,5.9543E-8,3.5766130000000003E-6,2.1723313E-5,6.8144413E-5,1.75299413E-4,3.95648413E-4,7.8042087E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,3.0767E-4,0.00152715,0.0035458,0.00690308,0.0123397,0.0204355,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,biomass,electricity,biomass (conv),1.692E-4,6.15601E-4,7.74E-4,9.19809E-4,8.21698E-6,0.0012804,0.00562499,0.0116191,0.0199948,0.0315211,0.0463962,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,1.60338E-4,7.63525E-4,0.00174492,0.00335365,0.00599889,0.0100563,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,coal,electricity,coal (conv pul),4.69071E-4,0.00274718,0.0037114,8.52852E-4,7.591E-4,0.00123006,0.00287545,0.00535531,0.0091953,0.0151958,0.0240684,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,gas,electricity,gas (CC),0.00903386,0.0270923,0.0,0.00812845,0.00679516,0.024724,0.11908,0.301181,0.606041,1.08847,1.7701,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,gas,electricity,gas (steam/CT),0.0176242,0.0462291,0.0966987,0.144202,0.116425,0.128882,0.180257,0.229208,0.269365,0.306103,0.340369,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.0,0.0028748,0.0155473,0.0349233,0.0608203,0.0919284,0.12284,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,hydro,electricity,hydro,0.0804331,0.108752,0.114311,0.11812,0.158414,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,0.0,1.22842E-4,5.27772E-4,0.00110574,0.00193962,0.00314432,0.00476922,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0,0.00459462,0.0244265,0.0518866,0.0929327,0.142542,0.205324,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,refined liquids,electricity,refined liquids (steam/CT),0.0167248,0.0221465,0.0330202,0.0400952,0.0244955,0.0220061,0.027725,0.0309987,0.0333874,0.032546,0.033449,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0103073,0.0386497,0.0645963,0.10496,0.175264,0.286341,0.450947,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,0.0,4.39012E-6,6.62678E-5,3.59257E-4,0.00142687,0.00447802,0.0113843,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,solar,electricity,PV,0.0,1.95E-5,1.518E-4,0.0023911,0.00235432,0.00812347,0.03280867,0.07064717,0.12564076999999998,0.20360007000000002,0.31109907000000003,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,0.0,4.76412E-6,5.737842E-5,2.8210842E-4,0.00107277442,0.00334222442,0.00855667442,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,wind,electricity,wind,0.0,9.00002E-6,2.87E-5,2.848E-4,2.80419E-4,0.00571832,0.02847392,0.06339522,0.11265482,0.18244132000000002,0.27690132,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,0.0,1.5038E-4,0.00240641,0.01184672,0.04051162,0.10428972,0.20764134,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Western,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,0.0,2.01751E-5,1.8922509999999999E-4,6.602881E-4,0.0017867181,0.0042472781,0.0090231581,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.26856E-4,9.7954E-4,0.00159725,0.00218333,0.00265109,0.00301776,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,biomass,electricity,biomass (conv),3.852E-4,0.0046332,0.007902,0.00769681,0.00685876,0.00750865,0.00823501,0.00886454,0.00874281,0.00807526,0.00752462,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,6.75323E-4,0.00148863,0.00234394,0.00317698,0.00394397,0.00460987,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,coal,electricity,coal (conv pul),0.002376,0.007848,0.0108468,0.0118908,0.0128721,0.0144934,0.0160471,0.01725,0.0180011,0.0183245,0.0183523,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,gas,electricity,gas (CC),0.0177333,0.154733,0.0793615,0.0813472,0.0879448,0.121497,0.175055,0.244999,0.323846,0.404114,0.473939,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,gas,electricity,gas (steam/CT),0.0538059,0.0444407,0.146031,0.175574,0.165582,0.180057,0.191554,0.194381,0.188567,0.178463,0.166418,0.0,0.0,0.0,EJ,
"current_policies,date=2021-15-10T17:00:31+17:00",Argentina,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.0012316,0.00534421,0.0119738,0.0199384,0.0281586,0.0358673,0.0414528,0.0,0.0,0.0,EJ,
