CO2 emissions by subsector
scenario,region,sector,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,biomass,0.0,0.0,0.0,0.0,5.18027E-4,0.00346728,0.013447,0.0366073,0.0713491,0.116298,0.177891,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,coal,0.0,0.0,0.0,0.0,0.00251508,0.0171534,0.0661149,0.182786,0.385763,0.691179,1.1591,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 central production,gas,0.0,0.0,0.0,0.0,0.00183657,0.0103766,0.0343744,0.0751072,0.140714,0.236848,0.370937,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,H2 forecourt production,gas,0.0,0.0,0.0,0.0,0.0023071,0.0141279,0.0509774,0.119945,0.230578,0.396362,0.639852,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,N fertilizer,gas,0.0,0.00133626,0.0,0.0,0.045723,0.1046725,0.1761508,0.2489869,0.3128694,0.38472697,0.45437053,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,N fertilizer,refined liquids,0.0118274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,agricultural energy use,biomass,0.0,0.500193,0.603452,0.71945,0.6258369,0.46608890000000003,0.3308357,0.27904459,0.3094068,0.322083,0.32255619999999996,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,agricultural energy use,refined liquids,0.123663,0.298358,0.21277,0.262317,0.34408,0.43294499999999997,0.4896263,0.5004063999999999,0.48657540000000005,0.4652619,0.4567185,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,backup_electricity,gas,0.0,0.0,0.0,0.0,0.0183223,0.126616,0.583337,1.42647,2.46619,3.75798,5.22923,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,cement,cement,0.299,0.725,1.093,1.093,1.216904,1.60985,2.2361750000000002,3.082632,4.257468299999999,5.8376684999999995,7.9382445100000005,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm heating,coal,0.0,2.12931E-4,2.12945E-4,2.04752E-4,1.52412E-4,2.05836E-4,2.91347E-4,3.81211E-4,4.51908E-4,5.44185E-4,6.16976E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm heating,refined liquids,0.0113099,0.0242226,0.0267606,0.0296551,0.0374991,0.0424102,0.0499231,0.0610123,0.0792264,0.102795,0.136218,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm others,biomass,0.585032,1.66451,2.09794,2.2698,1.73795,2.00153,2.46826,2.6662,2.58725,2.46366,2.3694,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm others,coal,0.0,0.0096178,0.00965057,0.00917552,0.00602823,0.00679509,0.00793885,0.00840291,0.00862515,0.00880131,0.00903251,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm others,gas,0.0,2.84E-4,5.69421E-4,5.7368E-4,4.01957E-4,4.9493E-4,6.80034E-4,7.8025E-4,9.48257E-4,0.00121045,0.00155193,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,comm others,refined liquids,0.221901,0.475216,0.524967,0.581763,0.617941,0.534374,0.458244,0.3983,0.388667,0.369463,0.381319,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,construction energy use,biomass,0.0,0.0,0.0,0.0,5.61872E-4,0.0019786689999999997,0.004306991,0.006605479,0.007836109,0.008603046,0.008932707,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,construction energy use,coal,0.0,0.0,0.0,0.0,0.00285613,0.01003282,0.02152802,0.032768191,0.03934829,0.04447968000000001,0.04799851,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,construction energy use,gas,0.0,0.0,0.0,0.0,6.26961E-4,0.002048965,0.004120205,0.00569622,0.006345357,0.006809325,0.007131805000000001,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,construction energy use,refined liquids,0.0,0.0237934,0.0795843,0.0377403,0.04022062,0.03573453,0.026655289999999998,0.01794702,0.013839670000000002,0.01058148,0.008489156,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_biomass (IGCC),biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.0684174,0.20187116000000002,0.52585583,1.1651574599999999,2.12003016,3.3747077199999995,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_biomass (conv),biomass (conv),0.11456973000000001,0.19929523000000002,0.23299240999999998,0.261044,0.34916351,0.6572211299999998,1.26133279,2.5575412400000004,4.724636519999999,7.42306599,10.418752510000001,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_coal (IGCC),coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.06854139,0.17192627,0.38131997,0.75373431,1.2855431999999998,1.97695344,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_coal (conv pul),coal (conv pul),0.06313691,0.4338809,0.7183330000000001,0.4860755,0.6347097300000001,0.83756085,1.1139362000000002,1.6474368800000003,2.5609342399999995,3.80823076,5.384191670000001,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_gas (CC),gas (CC),0.0,0.0,0.0015301960000000002,0.00292715,0.0182453274,0.0588004135,0.14107909759999998,0.32916317650000004,0.7211498562,1.3662150516999998,2.2808480897999996,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_gas (steam/CT),gas (steam/CT),0.0,0.0,0.011297253000000002,0.03851528,0.08019894,0.14651452,0.22172561400000002,0.313177624,0.41696365600000007,0.5137665169999999,0.594864998,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_refined liquids (CC),refined liquids (CC),0.0,0.0,0.0,0.0,0.39521239999999996,1.04243829,1.64176988,2.64603476,4.255549739999999,5.33580722,6.58904638,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,elec_refined liquids (steam/CT),refined liquids (steam/CT),0.6148155000000001,1.7691526,1.7143146,2.3524380999999996,2.9058164,3.4281889999999997,3.4128517999999994,3.1361248,2.8677742999999998,2.29674091,2.05317898,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,gas processing,biomass gasification,0.0,0.0,6.69228E-4,0.00419227,0.00756074,0.0218404,0.0631817,0.187989,0.348958,0.518106,0.712776,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,gas processing,coal gasification,0.0,0.0,0.0,0.0,1.18824E-4,7.46241E-4,0.00342366,0.0147712,0.0400927,0.0852656,0.164029,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,mining energy use,biomass,0.0,0.0,0.0,0.0,4.49028E-4,0.0015228709999999999,0.0033885499999999997,0.0054229589,0.006834102999999999,0.007971442,0.008813962,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,mining energy use,coal,0.0,0.0,0.0,0.0,0.00228251,0.007721899999999999,0.016934190000000002,0.026894089000000003,0.03434533,0.04129109,0.04746459,0.0,0.0,0.0,MTC,
"current_policies,date=2021-15-10T17:00:31+17:00",Africa_Eastern,mining energy use,gas,0.0,0.0,0.0,0.0,5.01044E-4,0.001578386,0.003239222,0.0046584849999999995,0.005509907,0.006302037,0.007044979,0.0,0.0,0.0,MTC,
