"","region","year","scenario","input","value"
"517","Global",2040,"1p5","biomass",0.350463631133888
"518","Global",2040,"1p5","coal",2.03576326588093
"519","Global",2040,"1p5","coal with CCS",9.18126207305
"520","Global",2040,"1p5","electricity",6.5679126756556
"521","Global",2040,"1p5","gas",0.456236274449596
"522","Global",2040,"1p5","gas with CCS",1.76574994038248
"523","Global",2040,"1p5","hydrogen",2.91790634355959
"524","Global",2040,"1p5","refined liquids",0.488850506684276
"525","Global",2040,"1p5","refined liquids with CCS",0.275220047488204
"526","Global",2040,"1p5 delay","biomass",0.25070085219874
"527","Global",2040,"1p5 delay","coal",8.01905051778803
"528","Global",2040,"1p5 delay","coal with CCS",5.85474878233
"529","Global",2040,"1p5 delay","electricity",6.27426968500201
"530","Global",2040,"1p5 delay","gas",1.00325187209024
"531","Global",2040,"1p5 delay","gas with CCS",1.16242196264037
"532","Global",2040,"1p5 delay","hydrogen",2.32796535984863
"533","Global",2040,"1p5 delay","refined liquids",0.594236101928662
"534","Global",2040,"1p5 delay","refined liquids with CCS",0.17294629409735
"535","Global",2045,"Ref","biomass",0.69960706558836
"536","Global",2045,"Ref","coal",36.2561137185
"537","Global",2045,"Ref","electricity",6.37906650747125
"538","Global",2045,"Ref","gas",2.40389046634346
"539","Global",2045,"Ref","gas with CCS",0.00000072245488
"540","Global",2045,"Ref","hydrogen",0.714690013655864
"541","Global",2045,"Ref","refined liquids",0.85055382550408
"542","Global",2045,"1p5","biomass",0.034322093872309
"543","Global",2045,"1p5","coal",0.374277658630166
"544","Global",2045,"1p5","coal with CCS",6.340107838872
"545","Global",2045,"1p5","electricity",6.93225998469347
"546","Global",2045,"1p5","gas",0.136496515122738
"547","Global",2045,"1p5","gas with CCS",1.46318023776832
"548","Global",2045,"1p5","hydrogen",3.82923419253619
"549","Global",2045,"1p5","refined liquids",0.421085677648775
"550","Global",2045,"1p5","refined liquids with CCS",0.335323686829202
"551","Global",2045,"1p5 delay","biomass",0.09776968986298
"552","Global",2045,"1p5 delay","coal",1.24221860689403
"553","Global",2045,"1p5 delay","coal with CCS",5.69154211533
"554","Global",2045,"1p5 delay","electricity",6.9567739847245
"555","Global",2045,"1p5 delay","gas",0.287145933201872
"556","Global",2045,"1p5 delay","gas with CCS",1.6880655667142
"557","Global",2045,"1p5 delay","hydrogen",3.45055807186336
"558","Global",2045,"1p5 delay","refined liquids",0.532737195724001
"559","Global",2045,"1p5 delay","refined liquids with CCS",0.297396503242922
"560","Global",2050,"Ref","biomass",0.718441782614149
"561","Global",2050,"Ref","coal",34.8363102085228
"562","Global",2050,"Ref","electricity",6.77207497885468
"563","Global",2050,"Ref","gas",2.50791431187706
"564","Global",2050,"Ref","gas with CCS",0.00000094194171
"565","Global",2050,"Ref","hydrogen",0.91332088567047
"566","Global",2050,"Ref","refined liquids",0.90392800068645
"567","Global",2050,"1p5","biomass",0.002616340593596
"568","Global",2050,"1p5","coal",0.02007725449747
"569","Global",2050,"1p5","coal with CCS",3.29543635633284
"570","Global",2050,"1p5","electricity",6.97591460034989
"571","Global",2050,"1p5","gas",0.021241970612882
"572","Global",2050,"1p5","gas with CCS",0.828288459091389
"573","Global",2050,"1p5","hydrogen",5.07152486089616
"574","Global",2050,"1p5","refined liquids",0.330507626131938
"575","Global",2050,"1p5","refined liquids with CCS",0.311143904098552
"576","Global",2050,"1p5 delay","biomass",0.003778617433503
"577","Global",2050,"1p5 delay","coal",0.022291248555991
"578","Global",2050,"1p5 delay","coal with CCS",3.01567680688732
"579","Global",2050,"1p5 delay","electricity",6.90596229343969
"580","Global",2050,"1p5 delay","gas",0.016282309468745
"581","Global",2050,"1p5 delay","gas with CCS",0.727731363220906
"582","Global",2050,"1p5 delay","hydrogen",5.13485309290282
"583","Global",2050,"1p5 delay","refined liquids",0.334578703993863
"584","Global",2050,"1p5 delay","refined liquids with CCS",0.276589155975066
"585","India",2015,"Ref","biomass",0
"586","India",2015,"Ref","coal",2.648946
"587","India",2015,"Ref","electricity",0.2232381
"588","India",2015,"Ref","gas",0.00088008
"589","India",2015,"Ref","hydrogen",0
"590","India",2015,"Ref","refined liquids",0.02808806
"591","India",2015,"1p5","biomass",0
"592","India",2015,"1p5","coal",2.648946
"593","India",2015,"1p5","coal with CCS",0
"594","India",2015,"1p5","electricity",0.2232381
"595","India",2015,"1p5","gas",0.00088008
"596","India",2015,"1p5","gas with CCS",0
"597","India",2015,"1p5","hydrogen",0
"598","India",2015,"1p5","refined liquids",0.02808806
"599","India",2015,"1p5","refined liquids with CCS",0
"600","India",2015,"1p5 delay","biomass",0
"601","India",2015,"1p5 delay","coal",2.648946
"602","India",2015,"1p5 delay","coal with CCS",0
"603","India",2015,"1p5 delay","electricity",0.2232381
"604","India",2015,"1p5 delay","gas",0.00088008
"605","India",2015,"1p5 delay","gas with CCS",0
"606","India",2015,"1p5 delay","hydrogen",0
"607","India",2015,"1p5 delay","refined liquids",0.02808806
"608","India",2015,"1p5 delay","refined liquids with CCS",0
"609","India",2020,"Ref","biomass",0.00237271
"610","India",2020,"Ref","coal",3.43084898
"611","India",2020,"Ref","electricity",0.2967312889
"612","India",2020,"Ref","gas",0.00117959195
"613","India",2020,"Ref","hydrogen",0.0040514
"614","India",2020,"Ref","refined liquids",0.03753361905
"615","India",2020,"1p5","biomass",0.00211208
"616","India",2020,"1p5","coal",3.330262
"617","India",2020,"1p5","coal with CCS",0
"618","India",2020,"1p5","electricity",0.30057921
"619","India",2020,"1p5","gas",0.00122130285
"620","India",2020,"1p5","gas with CCS",0
"621","India",2020,"1p5","hydrogen",0
"622","India",2020,"1p5","refined liquids",0.03887056035
"623","India",2020,"1p5","refined liquids with CCS",0
"624","India",2020,"1p5 delay","biomass",0.00211208
"625","India",2020,"1p5 delay","coal",3.330262
"626","India",2020,"1p5 delay","coal with CCS",0
"627","India",2020,"1p5 delay","electricity",0.30057921
"628","India",2020,"1p5 delay","gas",0.00122130285
"629","India",2020,"1p5 delay","gas with CCS",0
"630","India",2020,"1p5 delay","hydrogen",0
"631","India",2020,"1p5 delay","refined liquids",0.03887056035
"632","India",2020,"1p5 delay","refined liquids with CCS",0
"633","India",2025,"Ref","biomass",0.04324489
"634","India",2025,"Ref","coal",5.79435042
"635","India",2025,"Ref","electricity",0.5493345359
"636","India",2025,"Ref","gas",0.002292015
"637","India",2025,"Ref","hydrogen",0.02639476
"638","India",2025,"Ref","refined liquids",0.0710538528
"639","India",2025,"1p5","biomass",0.33539742
"640","India",2025,"1p5","coal",2.5687689
"641","India",2025,"1p5","coal with CCS",0.487749
"642","India",2025,"1p5","electricity",0.518288561
"643","India",2025,"1p5","gas",0.00230767145
"644","India",2025,"1p5","gas with CCS",0.000218471
"645","India",2025,"1p5","hydrogen",0.0647373
"646","India",2025,"1p5","refined liquids",0.06592513945
"647","India",2025,"1p5","refined liquids with CCS",0.0065089392
"648","India",2025,"1p5 delay","biomass",0.02626987
"649","India",2025,"1p5 delay","coal",5.0788821
"650","India",2025,"1p5 delay","coal with CCS",0
"651","India",2025,"1p5 delay","electricity",0.5473991389
"652","India",2025,"1p5 delay","gas",0.00230691354
"653","India",2025,"1p5 delay","gas with CCS",0
"654","India",2025,"1p5 delay","hydrogen",0.03886043
"655","India",2025,"1p5 delay","refined liquids",0.07241671614
"656","India",2025,"1p5 delay","refined liquids with CCS",0
"657","India",2030,"Ref","biomass",0.08601693
"658","India",2030,"Ref","coal",7.52835298
"659","India",2030,"Ref","electricity",0.7591561852
"660","India",2030,"Ref","gas",0.003242485295
"661","India",2030,"Ref","hydrogen",0.058664284
"662","India",2030,"Ref","refined liquids",0.098617389595
"663","India",2030,"1p5","biomass",0.3816027
"664","India",2030,"1p5","coal",1.6152257
"665","India",2030,"1p5","coal with CCS",1.3108487
"666","India",2030,"1p5","electricity",0.7057980747
"667","India",2030,"1p5","gas",0.002733953018
"668","India",2030,"1p5","gas with CCS",0.0006312
"669","India",2030,"1p5","hydrogen",0.1941044
"670","India",2030,"1p5","refined liquids",0.077924078578
"671","India",2030,"1p5","refined liquids with CCS",0.0188010474
"672","India",2030,"1p5 delay","biomass",0.04199355
"673","India",2030,"1p5 delay","coal",5.8959986
"674","India",2030,"1p5 delay","coal with CCS",0
"675","India",2030,"1p5 delay","electricity",0.7329246029
"676","India",2030,"1p5 delay","gas",0.003089829605
"677","India",2030,"1p5 delay","gas with CCS",0
"678","India",2030,"1p5 delay","hydrogen",0.12930473
"679","India",2030,"1p5 delay","refined liquids",0.095427742505
"680","India",2030,"1p5 delay","refined liquids with CCS",0
"681","India",2035,"Ref","biomass",0.12531448
"682","India",2035,"Ref","coal",8.982784733
"683","India",2035,"Ref","electricity",0.9605147579
"684","India",2035,"Ref","gas",0.004207018167
"685","India",2035,"Ref","hydrogen",0.104765206
"686","India",2035,"Ref","refined liquids",0.125524099467
"687","India",2035,"1p5","biomass",0.288506456
"688","India",2035,"1p5","coal",1.18749612
"689","India",2035,"1p5","coal with CCS",1.7875914
"690","India",2035,"1p5","electricity",0.8884254899
"691","India",2035,"1p5","gas",0.002694518063
"692","India",2035,"1p5","gas with CCS",0.001279443
"693","India",2035,"1p5","hydrogen",0.3182094
"694","India",2035,"1p5","refined liquids",0.080308104734
"695","India",2035,"1p5","refined liquids with CCS",0.0380712293
"696","India",2035,"1p5 delay","biomass",0.080277517
"697","India",2035,"1p5 delay","coal",3.5130762
"698","India",2035,"1p5 delay","coal with CCS",0.99508
"699","India",2035,"1p5 delay","electricity",0.8896636949
"700","India",2035,"1p5 delay","gas",0.003377591796
"701","India",2035,"1p5 delay","gas with CCS",0.000572052
"702","India",2035,"1p5 delay","hydrogen",0.2649445
"703","India",2035,"1p5 delay","refined liquids",0.102557066456
"704","India",2035,"1p5 delay","refined liquids with CCS",0.0170307567
"705","India",2040,"Ref","biomass",0.151356283
"706","India",2040,"Ref","coal",10.09136665
"707","India",2040,"Ref","electricity",1.1505907199
"708","India",2040,"Ref","gas",0.005231103314
"709","India",2040,"Ref","hydrogen",0.158053592
"710","India",2040,"Ref","refined liquids",0.153331651564
"711","India",2040,"1p5","biomass",0.152307556
"712","India",2040,"1p5","coal",0.8822792612
"713","India",2040,"1p5","coal with CCS",1.9141383
"714","India",2040,"1p5","electricity",1.067156566939
"715","India",2040,"1p5","gas",0.002119520741
"716","India",2040,"1p5","gas with CCS",0.0022672345
"717","India",2040,"1p5","hydrogen",0.454612
"718","India",2040,"1p5","refined liquids",0.07035431243843
"719","India",2040,"1p5","refined liquids with CCS",0.06740831568
"720","India",2040,"1p5 delay","biomass",0.068255426
"721","India",2040,"1p5 delay","coal",1.72326208
"722","India",2040,"1p5 delay","coal with CCS",1.744551
"723","India",2040,"1p5 delay","electricity",1.06255696626
"724","India",2040,"1p5 delay","gas",0.00324386323
"725","India",2040,"1p5 delay","gas with CCS",0.001460863
"726","India",2040,"1p5 delay","hydrogen",0.37762575
"727","India",2040,"1p5 delay","refined liquids",0.1015054830576
"728","India",2040,"1p5 delay","refined liquids with CCS",0.0434563706
"729","India",2045,"Ref","biomass",0.1631031
"730","India",2045,"Ref","coal",10.8394172
"731","India",2045,"Ref","electricity",1.314249971
"732","India",2045,"Ref","gas",0.00618268927
"733","India",2045,"Ref","hydrogen",0.222996031
"734","India",2045,"Ref","refined liquids",0.17806745947
"735","India",2045,"1p5","biomass",0.0093649465
"736","India",2045,"1p5","coal",0.24239018471042
"737","India",2045,"1p5","coal with CCS",1.68733908
"738","India",2045,"1p5","electricity",1.23477373171519
"739","India",2045,"1p5","gas",0.0006327984336
"740","India",2045,"1p5","gas with CCS",0.0035360918
"741","India",2045,"1p5","hydrogen",0.765126412
"742","India",2045,"1p5","refined liquids",0.036671292291495
"743","India",2045,"1p5","refined liquids with CCS",0.105075531842
"744","India",2045,"1p5 delay","biomass",0.030569789
"745","India",2045,"1p5 delay","coal",0.75763988621
"746","India",2045,"1p5 delay","coal with CCS",2.0208597
"747","India",2045,"1p5 delay","electricity",1.200291768196
"748","India",2045,"1p5 delay","gas",0.0018583330737
"749","India",2045,"1p5 delay","gas with CCS",0.002848839
"750","India",2045,"1p5 delay","hydrogen",0.595986055
"751","India",2045,"1p5 delay","refined liquids",0.067929980055694
"752","India",2045,"1p5 delay","refined liquids with CCS",0.08468312033
"753","India",2050,"Ref","biomass",0.16308692
"754","India",2050,"Ref","coal",11.22072
"755","India",2050,"Ref","electricity",1.447273913
"756","India",2050,"Ref","gas",0.00701397512
"757","India",2050,"Ref","hydrogen",0.28750775
"758","India",2050,"Ref","refined liquids",0.19909386412
"759","India",2050,"1p5","biomass",0.000017337847
"760","India",2050,"1p5","coal",0.001903718401936
"761","India",2050,"1p5","coal with CCS",1.296632268
"762","India",2050,"1p5","electricity",1.30477805996169
"763","India",2050,"1p5","gas",0.000004995431884
"764","India",2050,"1p5","gas with CCS",0.0034502356
"765","India",2050,"1p5","hydrogen",1.175964204758
"766","India",2050,"1p5","refined liquids",0.021790982952884
"767","India",2050,"1p5","refined liquids with CCS",0.1025089042514
"768","India",2050,"1p5 delay","biomass",0.0000057259144
"769","India",2050,"1p5 delay","coal",0.00099241197031
"770","India",2050,"1p5 delay","coal with CCS",1.157180626
"771","India",2050,"1p5 delay","electricity",1.29603690355321
"772","India",2050,"1p5 delay","gas",0.000002595175152
"773","India",2050,"1p5 delay","gas with CCS",0.003073563
"774","India",2050,"1p5 delay","hydrogen",1.322781968163
"775","India",2050,"1p5 delay","refined liquids",0.022194776465152
"776","India",2050,"1p5 delay","refined liquids with CCS",0.0913178506232
"777","Japan",2015,"Ref","biomass",0
"778","Japan",2015,"Ref","coal",1.4313579
"779","Japan",2015,"Ref","electricity",0.2599107
"780","Japan",2015,"Ref","gas",0.09933264
"781","Japan",2015,"Ref","hydrogen",0
"782","Japan",2015,"Ref","refined liquids",0.08280043
"783","Japan",2015,"1p5","biomass",0
"784","Japan",2015,"1p5","coal",1.4313579
"785","Japan",2015,"1p5","coal with CCS",0
"786","Japan",2015,"1p5","electricity",0.2599107
"787","Japan",2015,"1p5","gas",0.09933264
"788","Japan",2015,"1p5","gas with CCS",0
"789","Japan",2015,"1p5","hydrogen",0
"790","Japan",2015,"1p5","refined liquids",0.08280043
"791","Japan",2015,"1p5","refined liquids with CCS",0
"792","Japan",2015,"1p5 delay","biomass",0
"793","Japan",2015,"1p5 delay","coal",1.4313579
"794","Japan",2015,"1p5 delay","coal with CCS",0
"795","Japan",2015,"1p5 delay","electricity",0.2599107
"796","Japan",2015,"1p5 delay","gas",0.09933264
"797","Japan",2015,"1p5 delay","gas with CCS",0
"798","Japan",2015,"1p5 delay","hydrogen",0
"799","Japan",2015,"1p5 delay","refined liquids",0.08280043
"800","Japan",2015,"1p5 delay","refined liquids with CCS",0
"801","Japan",2020,"Ref","biomass",0.000126485
"802","Japan",2020,"Ref","coal",1.358101755
"803","Japan",2020,"Ref","electricity",0.24458550097
"804","Japan",2020,"Ref","gas",0.0908156486728
"805","Japan",2020,"Ref","hydrogen",0.001116058
"806","Japan",2020,"Ref","refined liquids",0.0760223791728
"807","Japan",2020,"1p5","biomass",0.000119899
"808","Japan",2020,"1p5","coal",1.34942563
"809","Japan",2020,"1p5","coal with CCS",0
"810","Japan",2020,"1p5","electricity",0.24506041756
"811","Japan",2020,"1p5","gas",0.0923196139622
"812","Japan",2020,"1p5","gas with CCS",0
"813","Japan",2020,"1p5","hydrogen",0
"814","Japan",2020,"1p5","refined liquids",0.0772657234622
"815","Japan",2020,"1p5","refined liquids with CCS",0
"816","Japan",2020,"1p5 delay","biomass",0.000119899
"817","Japan",2020,"1p5 delay","coal",1.34942563
"818","Japan",2020,"1p5 delay","coal with CCS",0
"819","Japan",2020,"1p5 delay","electricity",0.24506041756
"820","Japan",2020,"1p5 delay","gas",0.0923196139622
"821","Japan",2020,"1p5 delay","gas with CCS",0
"822","Japan",2020,"1p5 delay","hydrogen",0
"823","Japan",2020,"1p5 delay","refined liquids",0.0772657234622
"824","Japan",2020,"1p5 delay","refined liquids with CCS",0
"825","Japan",2025,"Ref","biomass",0.001968872
"826","Japan",2025,"Ref","coal",1.341865001
"827","Japan",2025,"Ref","electricity",0.24002023198
"828","Japan",2025,"Ref","gas",0.086118995176
"829","Japan",2025,"Ref","hydrogen",0.0036898438
"830","Japan",2025,"Ref","refined liquids",0.072495546376
"831","Japan",2025,"1p5","biomass",0.0044195191
"832","Japan",2025,"1p5","coal",1.00141348
"833","Japan",2025,"1p5","coal with CCS",0.02536831
"834","Japan",2025,"1p5","electricity",0.21614771304
"835","Japan",2025,"1p5","gas",0.0837263185896
"836","Japan",2025,"1p5","gas with CCS",0.00421652676
"837","Japan",2025,"1p5","hydrogen",0.009621184
"838","Japan",2025,"1p5","refined liquids",0.0717111755896
"839","Japan",2025,"1p5","refined liquids with CCS",0.0031137737
"840","Japan",2025,"1p5 delay","biomass",0.0012070548
"841","Japan",2025,"1p5 delay","coal",1.21667632
"842","Japan",2025,"1p5 delay","coal with CCS",0
"843","Japan",2025,"1p5 delay","electricity",0.22648289165
"844","Japan",2025,"1p5 delay","gas",0.0809380038051
"845","Japan",2025,"1p5 delay","gas with CCS",0
"846","Japan",2025,"1p5 delay","hydrogen",0.006164099
"847","Japan",2025,"1p5 delay","refined liquids",0.0690406039051
"848","Japan",2025,"1p5 delay","refined liquids with CCS",0
"849","Japan",2030,"Ref","biomass",0.0056676852
"850","Japan",2030,"Ref","coal",1.2957957545
"851","Japan",2030,"Ref","electricity",0.23155037129
"852","Japan",2030,"Ref","gas",0.0806418688549
"853","Japan",2030,"Ref","hydrogen",0.0060769859
"854","Japan",2030,"Ref","refined liquids",0.0683821021549
"855","Japan",2030,"1p5","biomass",0.0106535716
"856","Japan",2030,"1p5","coal",0.595803854
"857","Japan",2030,"1p5","coal with CCS",0.22359495
"858","Japan",2030,"1p5","electricity",0.22051834461
"859","Japan",2030,"1p5","gas",0.0693421841898
"860","Japan",2030,"1p5","gas with CCS",0.01446011467
"861","Japan",2030,"1p5","hydrogen",0.038122443
"862","Japan",2030,"1p5","refined liquids",0.0649844187898
"863","Japan",2030,"1p5","refined liquids with CCS",0.0107989419
"864","Japan",2030,"1p5 delay","biomass",0.0031507548
"865","Japan",2030,"1p5 delay","coal",1.06642446
"866","Japan",2030,"1p5 delay","coal with CCS",0
"867","Japan",2030,"1p5 delay","electricity",0.21343612852
"868","Japan",2030,"1p5 delay","gas",0.0670623324467
"869","Japan",2030,"1p5 delay","gas with CCS",0
"870","Japan",2030,"1p5 delay","hydrogen",0.019952073
"871","Japan",2030,"1p5 delay","refined liquids",0.0604378520467
"872","Japan",2030,"1p5 delay","refined liquids with CCS",0
"873","Japan",2035,"Ref","biomass",0.0097898204
"874","Japan",2035,"Ref","coal",1.2491138634
"875","Japan",2035,"Ref","electricity",0.223570530863
"876","Japan",2035,"Ref","gas",0.0765520255668
"877","Japan",2035,"Ref","hydrogen",0.00786631359
"878","Japan",2035,"Ref","refined liquids",0.0652701857568
"879","Japan",2035,"1p5","biomass",0.0098675893
"880","Japan",2035,"1p5","coal",0.228062368
"881","Japan",2035,"1p5","coal with CCS",0.485911149
"882","Japan",2035,"1p5","electricity",0.215661031994
"883","Japan",2035,"1p5","gas",0.045348255022
"884","Japan",2035,"1p5","gas with CCS",0.02278589593
"885","Japan",2035,"1p5","hydrogen",0.050147683
"886","Japan",2035,"1p5","refined liquids",0.049705927542
"887","Japan",2035,"1p5","refined liquids with CCS",0.0171345908
"888","Japan",2035,"1p5 delay","biomass",0.0076152006
"889","Japan",2035,"1p5 delay","coal",0.635715404
"890","Japan",2035,"1p5 delay","coal with CCS",0.17563942
"891","Japan",2035,"1p5 delay","electricity",0.199357447247
"892","Japan",2035,"1p5 delay","gas",0.0507125101245
"893","Japan",2035,"1p5 delay","gas with CCS",0.008561888
"894","Japan",2035,"1p5 delay","hydrogen",0.034661182
"895","Japan",2035,"1p5 delay","refined liquids",0.0509203527445
"896","Japan",2035,"1p5 delay","refined liquids with CCS",0.006432267
"897","Japan",2040,"Ref","biomass",0.01191439
"898","Japan",2040,"Ref","coal",1.204744873
"899","Japan",2040,"Ref","electricity",0.2159739257
"900","Japan",2040,"Ref","gas",0.073845311251
"901","Japan",2040,"Ref","hydrogen",0.0083541862
"902","Japan",2040,"Ref","refined liquids",0.063071842351
"903","Japan",2040,"1p5","biomass",0.0048460656
"904","Japan",2040,"1p5","coal",0.056822383
"905","Japan",2040,"1p5","coal with CCS",0.535957128
"906","Japan",2040,"1p5","electricity",0.20741460141
"907","Japan",2040,"1p5","gas",0.0235830083773
"908","Japan",2040,"1p5","gas with CCS",0.02964641173
"909","Japan",2040,"1p5","hydrogen",0.0587411783
"910","Japan",2040,"1p5","refined liquids",0.0358697689713
"911","Japan",2040,"1p5","refined liquids with CCS",0.02220854838
"912","Japan",2040,"1p5 delay","biomass",0.006235709
"913","Japan",2040,"1p5 delay","coal",0.342122851
"914","Japan",2040,"1p5 delay","coal with CCS",0.33784658
"915","Japan",2040,"1p5 delay","electricity",0.19887069552
"916","Japan",2040,"1p5 delay","gas",0.037730062573
"917","Japan",2040,"1p5 delay","gas with CCS",0.0162807586
"918","Japan",2040,"1p5 delay","hydrogen",0.0401697315
"919","Japan",2040,"1p5 delay","refined liquids",0.044169255973
"920","Japan",2040,"1p5 delay","refined liquids with CCS",0.012234604
"921","Japan",2045,"Ref","biomass",0.013373855
"922","Japan",2045,"Ref","coal",1.158608482
"923","Japan",2045,"Ref","electricity",0.208461299
"924","Japan",2045,"Ref","gas",0.071020887315
"925","Japan",2045,"Ref","hydrogen",0.010144391
"926","Japan",2045,"Ref","refined liquids",0.060802302715
"927","Japan",2045,"1p5","biomass",0.000198472804
"928","Japan",2045,"1p5","coal",0.00212706931
"929","Japan",2045,"1p5","coal with CCS",0.369583399
"930","Japan",2045,"1p5","electricity",0.2100790522825
"931","Japan",2045,"1p5","gas",0.00359695798388
"932","Japan",2045,"1p5","gas with CCS",0.04184186111
"933","Japan",2045,"1p5","hydrogen",0.08220040235
"934","Japan",2045,"1p5","refined liquids",0.02591969638786
"935","Japan",2045,"1p5","refined liquids with CCS",0.0310029823
"936","Japan",2045,"1p5 delay","biomass",0.00144722518
"937","Japan",2045,"1p5 delay","coal",0.0199606998
"938","Japan",2045,"1p5 delay","coal with CCS",0.30309239
"939","Japan",2045,"1p5 delay","electricity",0.222732536183
"940","Japan",2045,"1p5 delay","gas",0.0127823601758
"941","Japan",2045,"1p5 delay","gas with CCS",0.0378072587
"942","Japan",2045,"1p5 delay","hydrogen",0.07698986148
"943","Japan",2045,"1p5 delay","refined liquids",0.0359358225476
"944","Japan",2045,"1p5 delay","refined liquids with CCS",0.0279861886
"945","Japan",2050,"Ref","biomass",0.01375077
"946","Japan",2050,"Ref","coal",1.11514004
"947","Japan",2050,"Ref","electricity",0.2007580748
"948","Japan",2050,"Ref","gas",0.068080727674
"949","Japan",2050,"Ref","hydrogen",0.011376
"950","Japan",2050,"Ref","refined liquids",0.058405883274
"951","Japan",2050,"1p5","biomass",0.00000064201074
"952","Japan",2050,"1p5","coal",0.00002597916987
"953","Japan",2050,"1p5","coal with CCS",0.185003511
"954","Japan",2050,"1p5","electricity",0.204145142833172
"955","Japan",2050,"1p5","gas",0.000061992280657
"956","Japan",2050,"1p5","gas with CCS",0.04315565892
"957","Japan",2050,"1p5","hydrogen",0.13499689835618
"958","Japan",2050,"1p5","refined liquids",0.023166472261205
"959","Japan",2050,"1p5","refined liquids with CCS",0.03180321815
"960","Japan",2050,"1p5 delay","biomass",0.00000078333601
"961","Japan",2050,"1p5 delay","coal",0.00002055608145
"962","Japan",2050,"1p5 delay","coal with CCS",0.18128352
"963","Japan",2050,"1p5 delay","electricity",0.201335485808422
"964","Japan",2050,"1p5 delay","gas",0.000045436939286
"965","Japan",2050,"1p5 delay","gas with CCS",0.03744281911
"966","Japan",2050,"1p5 delay","hydrogen",0.13128559995126
"967","Japan",2050,"1p5 delay","refined liquids",0.023644719666479
"968","Japan",2050,"1p5 delay","refined liquids with CCS",0.02761148675
"969","ROW",2015,"Ref","biomass",0
"970","ROW",2015,"Ref","coal",3.9645183182
"971","ROW",2015,"Ref","electricity",0.868528146
"972","ROW",2015,"Ref","gas",1.26316549869
"973","ROW",2015,"Ref","gas with CCS",0
"974","ROW",2015,"Ref","hydrogen",0
"975","ROW",2015,"Ref","refined liquids",0.1980806463
"976","ROW",2015,"1p5","biomass",0
"977","ROW",2015,"1p5","coal",3.9645173182
"978","ROW",2015,"1p5","coal with CCS",0
"979","ROW",2015,"1p5","electricity",0.868528146
"980","ROW",2015,"1p5","gas",1.26316549869
"981","ROW",2015,"1p5","gas with CCS",0
"982","ROW",2015,"1p5","hydrogen",0
"983","ROW",2015,"1p5","refined liquids",0.1980806463
"984","ROW",2015,"1p5","refined liquids with CCS",0
"985","ROW",2015,"1p5 delay","biomass",0
"986","ROW",2015,"1p5 delay","coal",3.9645173182
"987","ROW",2015,"1p5 delay","coal with CCS",0
"988","ROW",2015,"1p5 delay","electricity",0.868528146
"989","ROW",2015,"1p5 delay","gas",1.26316549869
"990","ROW",2015,"1p5 delay","gas with CCS",0
"991","ROW",2015,"1p5 delay","hydrogen",0
"992","ROW",2015,"1p5 delay","refined liquids",0.1980806463
"993","ROW",2015,"1p5 delay","refined liquids with CCS",0
"994","ROW",2020,"Ref","biomass",0.0035706933895
"995","ROW",2020,"Ref","coal",4.2478768448764
"996","ROW",2020,"Ref","electricity",0.915385619031704
"997","ROW",2020,"Ref","gas",1.11433444084185
"998","ROW",2020,"Ref","gas with CCS",0.000000005528437
"999","ROW",2020,"Ref","hydrogen",0.02184646429277
"1000","ROW",2020,"Ref","refined liquids",0.19832820353202
"1001","ROW",2020,"1p5","biomass",0.004354531427
"1002","ROW",2020,"1p5","coal",4.181628512287
"1003","ROW",2020,"1p5","coal with CCS",0
"1004","ROW",2020,"1p5","electricity",0.926651223210219
"1005","ROW",2020,"1p5","gas",1.17997413379874
"1006","ROW",2020,"1p5","gas with CCS",0
"1007","ROW",2020,"1p5","hydrogen",0
"1008","ROW",2020,"1p5","refined liquids",0.218259782255322
"1009","ROW",2020,"1p5","refined liquids with CCS",0
"1010","ROW",2020,"1p5 delay","biomass",0.004354531398
"1011","ROW",2020,"1p5 delay","coal",4.181628611287
"1012","ROW",2020,"1p5 delay","coal with CCS",0
"1013","ROW",2020,"1p5 delay","electricity",0.926651228106019
"1014","ROW",2020,"1p5 delay","gas",1.17997413577572
"1015","ROW",2020,"1p5 delay","gas with CCS",0
"1016","ROW",2020,"1p5 delay","hydrogen",0
"1017","ROW",2020,"1p5 delay","refined liquids",0.218259782255301
"1018","ROW",2020,"1p5 delay","refined liquids with CCS",0
"1019","ROW",2025,"Ref","biomass",0.031834391733464
"1020","ROW",2025,"Ref","coal",4.43439614009901
"1021","ROW",2025,"Ref","electricity",1.03980470903374
"1022","ROW",2025,"Ref","gas",1.14176336867182
"1023","ROW",2025,"Ref","gas with CCS",0.000000062548372
"1024","ROW",2025,"Ref","hydrogen",0.063864277910033
"1025","ROW",2025,"Ref","refined liquids",0.253098381569856
"1026","ROW",2025,"1p5","biomass",0.1209870163115
"1027","ROW",2025,"1p5","coal",3.0846194029279
"1028","ROW",2025,"1p5","coal with CCS",0.15584835407
"1029","ROW",2025,"1p5","electricity",0.964741014629585
"1030","ROW",2025,"1p5","gas",0.971227484205453
"1031","ROW",2025,"1p5","gas with CCS",0.062084695908828
"1032","ROW",2025,"1p5","hydrogen",0.13516095023411
"1033","ROW",2025,"1p5","refined liquids",0.225153969575233
"1034","ROW",2025,"1p5","refined liquids with CCS",0.015164570378938
"1035","ROW",2025,"1p5 delay","biomass",0.0257525958763
"1036","ROW",2025,"1p5 delay","coal",4.184314254637
