"","region","year","scenario","input","value"
"114","China",2035,"1p5 delay","coal with CCS",1.8754834
"115","China",2035,"1p5 delay","electricity",2.6524313966
"116","China",2035,"1p5 delay","gas",0.510213587526
"117","China",2035,"1p5 delay","gas with CCS",0.37131783
"118","China",2035,"1p5 delay","hydrogen",0.60091898
"119","China",2035,"1p5 delay","refined liquids",0.152616166526
"120","China",2035,"1p5 delay","refined liquids with CCS",0.019457063
"121","China",2040,"Ref","biomass",0.28941166
"122","China",2040,"Ref","coal",18.0790537326
"123","China",2040,"Ref","electricity",2.17661932235
"124","China",2040,"Ref","gas",0.0722337586
"125","China",2040,"Ref","hydrogen",0.0918852684
"126","China",2040,"Ref","refined liquids",0.0422820019
"127","China",2040,"1p5","biomass",0.104214562
"128","China",2040,"1p5","coal",0.5966987253
"129","China",2040,"1p5","coal with CCS",4.33167212
"130","China",2040,"1p5","electricity",3.00793155242
"131","China",2040,"1p5","gas",0.031008780675
"132","China",2040,"1p5","gas with CCS",1.135332259
"133","China",2040,"1p5","hydrogen",1.381556598
"134","China",2040,"1p5","refined liquids",0.183539583718
"135","China",2040,"1p5","refined liquids with CCS",0.058925266
"136","China",2040,"1p5 delay","biomass",0.08594841
"137","China",2040,"1p5 delay","coal",3.978703392
"138","China",2040,"1p5 delay","coal with CCS",2.043824
"139","China",2040,"1p5 delay","electricity",2.8804344114
"140","China",2040,"1p5 delay","gas",0.26137985848
"141","China",2040,"1p5 delay","gas with CCS",0.748188546
"142","China",2040,"1p5 delay","hydrogen",1.08689796
"143","China",2040,"1p5 delay","refined liquids",0.18630820472
"144","China",2040,"1p5 delay","refined liquids with CCS",0.038504666
"145","China",2045,"Ref","biomass",0.319527
"146","China",2045,"Ref","coal",16.5558579234
"147","China",2045,"Ref","electricity",1.9920981056
"148","China",2045,"Ref","gas",0.0632011693
"149","China",2045,"Ref","hydrogen",0.1130572729
"150","China",2045,"Ref","refined liquids",0.038993155
"151","China",2045,"1p5","biomass",0.00486338592
"152","China",2045,"1p5","coal",0.006489996986
"153","China",2045,"1p5","coal with CCS",2.46250707
"154","China",2045,"1p5","electricity",2.942846646984
"155","China",2045,"1p5","gas",0.00063730856882
"156","China",2045,"1p5","gas with CCS",0.763414738
"157","China",2045,"1p5","hydrogen",1.74088059414
"158","China",2045,"1p5","refined liquids",0.18995971373859
"159","China",2045,"1p5","refined liquids with CCS",0.0394404118
"160","China",2045,"1p5 delay","biomass",0.0260718212
"161","China",2045,"1p5 delay","coal",0.124889275
"162","China",2045,"1p5 delay","coal with CCS",1.65925936
"163","China",2045,"1p5 delay","electricity",3.07879633553
"164","China",2045,"1p5 delay","gas",0.005342781455
"165","China",2045,"1p5 delay","gas with CCS",1.002094079
"166","China",2045,"1p5 delay","hydrogen",1.6790549064
"167","China",2045,"1p5 delay","refined liquids",0.2103109911952
"168","China",2045,"1p5 delay","refined liquids with CCS",0.051136348
"169","China",2050,"Ref","biomass",0.3256952
"170","China",2050,"Ref","coal",14.901645304
"171","China",2050,"Ref","electricity",1.7900758104
"172","China",2050,"Ref","gas",0.053654737
"173","China",2050,"Ref","hydrogen",0.1306141642
"174","China",2050,"Ref","refined liquids",0.0352282191
"175","China",2050,"1p5","biomass",0.00000572429918
"176","China",2050,"1p5","coal",0.000011409483304
"177","China",2050,"1p5","coal with CCS",0.84362909
"178","China",2050,"1p5","electricity",2.63756697135037
"179","China",2050,"1p5","gas",0.000004657427592
"180","China",2050,"1p5","gas with CCS",0.2014458605
"181","China",2050,"1p5","hydrogen",2.07858677752062
"182","China",2050,"1p5","refined liquids",0.170098844894504
"183","China",2050,"1p5","refined liquids with CCS",0.0104856015
"184","China",2050,"1p5 delay","biomass",0.000005195278
"185","China",2050,"1p5 delay","coal",0.000010047630594
"186","China",2050,"1p5 delay","coal with CCS",0.771384241
"187","China",2050,"1p5 delay","electricity",2.62970183540313
"188","China",2050,"1p5 delay","gas",0.000001342019581
"189","China",2050,"1p5 delay","gas with CCS",0.1523833126
"190","China",2050,"1p5 delay","hydrogen",1.9558856505985
"191","China",2050,"1p5 delay","refined liquids",0.174714476577874
"192","China",2050,"1p5 delay","refined liquids with CCS",0.0079855927
"193","EU-27",2015,"Ref","biomass",0
"194","EU-27",2015,"Ref","coal",1.51955438
"195","EU-27",2015,"Ref","electricity",0.4175084
"196","EU-27",2015,"Ref","gas",0.349109681
"197","EU-27",2015,"Ref","hydrogen",0
"198","EU-27",2015,"Ref","refined liquids",0.05542129
"199","EU-27",2015,"1p5","biomass",0
"200","EU-27",2015,"1p5","coal",1.51955438
"201","EU-27",2015,"1p5","coal with CCS",0
"202","EU-27",2015,"1p5","electricity",0.4175084
"203","EU-27",2015,"1p5","gas",0.349109681
"204","EU-27",2015,"1p5","gas with CCS",0
"205","EU-27",2015,"1p5","hydrogen",0
"206","EU-27",2015,"1p5","refined liquids",0.05542129
"207","EU-27",2015,"1p5","refined liquids with CCS",0
"208","EU-27",2015,"1p5 delay","biomass",0
"209","EU-27",2015,"1p5 delay","coal",1.51955438
"210","EU-27",2015,"1p5 delay","coal with CCS",0
"211","EU-27",2015,"1p5 delay","electricity",0.4175084
"212","EU-27",2015,"1p5 delay","gas",0.349109681
"213","EU-27",2015,"1p5 delay","gas with CCS",0
"214","EU-27",2015,"1p5 delay","hydrogen",0
"215","EU-27",2015,"1p5 delay","refined liquids",0.05542129
"216","EU-27",2015,"1p5 delay","refined liquids with CCS",0
"217","EU-27",2020,"Ref","biomass",0.0001707866
"218","EU-27",2020,"Ref","coal",1.5687845169
"219","EU-27",2020,"Ref","electricity",0.431078671587
"220","EU-27",2020,"Ref","gas",0.3499743766659
"221","EU-27",2020,"Ref","hydrogen",0.00307417369
"222","EU-27",2020,"Ref","refined liquids",0.0573829357259
"223","EU-27",2020,"1p5","biomass",0.0001501712
"224","EU-27",2020,"1p5","coal",1.533264808
"225","EU-27",2020,"1p5","coal with CCS",0
"226","EU-27",2020,"1p5","electricity",0.431954186674
"227","EU-27",2020,"1p5","gas",0.3628456103053
"228","EU-27",2020,"1p5","gas with CCS",0
"229","EU-27",2020,"1p5","hydrogen",0
"230","EU-27",2020,"1p5","refined liquids",0.0591525723823
"231","EU-27",2020,"1p5","refined liquids with CCS",0
"232","EU-27",2020,"1p5 delay","biomass",0.0001501712
"233","EU-27",2020,"1p5 delay","coal",1.533264808
"234","EU-27",2020,"1p5 delay","coal with CCS",0
"235","EU-27",2020,"1p5 delay","electricity",0.431954186674
"236","EU-27",2020,"1p5 delay","gas",0.3628456103053
"237","EU-27",2020,"1p5 delay","gas with CCS",0
"238","EU-27",2020,"1p5 delay","hydrogen",0
"239","EU-27",2020,"1p5 delay","refined liquids",0.0591525723823
"240","EU-27",2020,"1p5 delay","refined liquids with CCS",0
"241","EU-27",2025,"Ref","biomass",0.0022677558
"242","EU-27",2025,"Ref","coal",1.6638782527
"243","EU-27",2025,"Ref","electricity",0.449870378098
"244","EU-27",2025,"Ref","gas",0.3541003834948
"245","EU-27",2025,"Ref","hydrogen",0.00724344621
"246","EU-27",2025,"Ref","refined liquids",0.0565652937188
"247","EU-27",2025,"1p5","biomass",0.0036867662
"248","EU-27",2025,"1p5","coal",1.173168449
"249","EU-27",2025,"1p5","coal with CCS",0.028190952
"250","EU-27",2025,"1p5","electricity",0.435934991237
"251","EU-27",2025,"1p5","gas",0.3520749135794
"252","EU-27",2025,"1p5","gas with CCS",0.02161602336
"253","EU-27",2025,"1p5","hydrogen",0.0205916977
"254","EU-27",2025,"1p5","refined liquids",0.0574782359784
"255","EU-27",2025,"1p5","refined liquids with CCS",0.002214649641
"256","EU-27",2025,"1p5 delay","biomass",0.0013205365
"257","EU-27",2025,"1p5 delay","coal",1.450094425
"258","EU-27",2025,"1p5 delay","coal with CCS",0
"259","EU-27",2025,"1p5 delay","electricity",0.435321294932
"260","EU-27",2025,"1p5 delay","gas",0.3624545484527
"261","EU-27",2025,"1p5 delay","gas with CCS",0
"262","EU-27",2025,"1p5 delay","hydrogen",0.014420579
"263","EU-27",2025,"1p5 delay","refined liquids",0.0576004967577
"264","EU-27",2025,"1p5 delay","refined liquids with CCS",0
"265","EU-27",2030,"Ref","biomass",0.0061460981
"266","EU-27",2030,"Ref","coal",1.6856224272
"267","EU-27",2030,"Ref","electricity",0.454305803119
"268","EU-27",2030,"Ref","gas",0.34741696936345
"269","EU-27",2030,"Ref","hydrogen",0.01079308288
"270","EU-27",2030,"Ref","refined liquids",0.05525347266345
"271","EU-27",2030,"1p5","biomass",0.0067588683
"272","EU-27",2030,"1p5","coal",0.687059131
"273","EU-27",2030,"1p5","coal with CCS",0.179935874
"274","EU-27",2030,"1p5","electricity",0.462745333817
"275","EU-27",2030,"1p5","gas",0.29531812673198
"276","EU-27",2030,"1p5","gas with CCS",0.06679019411
"277","EU-27",2030,"1p5","hydrogen",0.0720285086
