industry final energy by tech and fuel
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,construction energy use,refined liquids,refined liquids industrial,refined liquids,0.0,0.00121395,0.00406043,0.00192553,0.002047838,0.001818578,0.001361205,9.204624000000001E-4,7.061362000000001E-4,5.350895E-4,4.236699E-4,3.593019E-4,3.21062E-4,2.919979E-4,2.631334E-4,2.3322249999999998E-4,2.046191E-4,1.782825E-4,1.5355190000000002E-4,1.303804E-4,1.083985E-4,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,construction feedstocks,refined liquids,refined liquids industrial,refined liquids,0.0,0.0,0.0,0.0,9.45134E-5,2.11971E-4,3.53461E-4,5.19168E-4,7.09969E-4,9.23928E-4,0.00116425,0.00143745,0.00175601,0.00209854,0.00243234,0.00275478,0.00306556,0.00337116,0.00366487,0.00395242,0.00423191,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,H2 enduse,BLASTFUR with H2,0.0,0.0,0.0,0.0,9.28928E-7,2.1835358E-5,1.36471876E-4,4.8681396800000004E-4,0.001328662477,0.002982120087,0.0056906018816,0.009271179363299999,0.013473256473,0.01790259226,0.02216529552,0.02596153482,0.0291059086,0.0315052877,0.0331480395,0.0340933714,0.034416355600000004,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,delivered biomass,Biomass-based,0.0,0.0,0.0,0.0,1.38083E-9,3.38387E-8,1.8299437E-7,5.43362571E-7,1.296062173E-6,2.577839531E-6,4.381541723E-6,6.21284101E-6,8.064291244000001E-6,9.769266254E-6,1.1310572871E-5,1.2614359331E-5,1.3668615572999999E-5,1.446435E-5,1.501309707E-5,1.538001402E-5,1.556714283E-5,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR,0.0,0.0,0.0,0.0,3.73397E-4,0.001800332,0.006083557,0.015081029,0.031404312000000004,0.0569440571,0.0912849377,0.13636987307999998,0.18919061809999999,0.24566611230000002,0.301694463,0.353084278,0.396395244,0.429999266,0.45340963500000003,0.46730940099999996,0.47251294600000004,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR CCS,0.0,0.0,0.0,0.0,7.70644E-6,1.8011459E-4,0.00113516898,0.00410183462,0.0112655282,0.02534194138,0.048335220915999996,0.0786319196201,0.11395338182,0.1509957063,0.18641618780000002,0.21767690629999997,0.24325062799999997,0.26249550600000005,0.27527529900000003,0.28211353000000006,0.28355798200000004,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,elect_td_ind,BLASTFUR with H2,0.0,0.0,0.0,0.0,1.00285E-5,2.3572809E-4,0.0014733192300000002,0.00525550137,0.014343877969999998,0.03219413057,0.061434044237,0.100089155376,0.14545342813,0.19327132139999997,0.23929031119999997,0.280273402,0.314219157,0.340122248,0.357856846,0.368062574,0.37154927800000004,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,elect_td_ind,Biomass-based,0.0,0.0,0.0,0.0,6.87133E-9,1.6867448300000002E-7,9.108423579999999E-7,2.704054552E-6,6.44949558E-6,1.2827896459999999E-5,2.180347931E-5,3.0916712792E-5,4.012960145E-5,4.8614264343E-5,5.6283665966E-5,6.277186185999999E-5,6.801782172E-5,7.197770063000001E-5,7.470856340000001E-5,7.65343791E-5,7.74653312E-5,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,refined liquids industrial,Biomass-based,0.0,0.0,0.0,0.0,2.04512E-10,5.01176E-9,2.7102811E-8,8.047594699999999E-8,1.9195611400000002E-7,3.81723451E-7,6.48910756E-7,9.201660319999999E-7,1.194343767E-6,1.446894297E-6,1.675142267E-6,1.8682070000000002E-6,2.024417352E-6,2.1422711140000003E-6,2.223555501E-6,2.277894108E-6,2.305605894E-6,EJ,
"Ref,date=2021-6-7T08:31:10-07:00",Africa_Eastern,iron and steel,BLASTFUR,wholesale gas,Biomass-based,0.0,0.0,0.0,0.0,2.1419E-10,5.24893E-9,2.8385448000000003E-8,8.4284431E-8,2.01041006E-7,3.99788158E-7,6.79620039E-7,9.637117869999999E-7,1.250862795E-6,1.5153742620000002E-6,1.7544210889999998E-6,1.956622085E-6,2.1202158049999997E-6,2.243654251E-6,2.328777891E-6,2.38569267E-6,2.4147142539999998E-6,EJ,
