"","region","scenario","sector","subsector","output","technology","Units","year","share"
"62","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,9.28223321765675
"63","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,5.51233322914803
"64","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,1.26484836432346
"65","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.393876071910523
"66","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.00739596522472196
"67","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,4.20048764827068
"68","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.587430763452345
"69","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.786166139374019
"70","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,51.0396973370974
"71","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,79.7415514958499
"72","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,93.0122507772596
"73","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,13.4837843439086
"74","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,0
"75","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.24821529441439
"76","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.08242480818992
"77","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.48851109819421
"78","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.23335077839004
"79","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.86290971809042
"80","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,0.120917717291146
"81","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,1.03273764254346
"82","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2030,0
"83","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,22.44928310131
"84","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,15.2827010581516
"85","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,5.57307779299735
"86","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,5.31244385406547
"87","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,1.44298215626582
"88","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.0190764748837245
"89","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,4.13479059890776
"90","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.98442355882372
"91","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.42639759308331
"92","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,21.6583988843246
"93","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,51.3875460911684
"94","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,91.2780289518343
"95","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2035,26.3399222835673
"96","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2035,9.42217773855635
"97","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,1.91416831950006
"98","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,2.22524530578675
"99","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,1.50214815321119
"100","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,0.764567806678608
"101","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,1.24538581734528
"102","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,0.111628638563806
"103","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2035,1.64578231534668
"104","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2035,0.738640806465044
"105","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,33.427539507149
"106","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,27.2588636626086
"107","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,5.65008154484588
"108","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,10.114830284526
"109","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,5.73771701924582
"110","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,0.031715118461559
"111","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,2.72033330734347
"112","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,1.72864763976684
"113","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,1.91863881806321
"114","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,8.363325730327
"115","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,26.5885000711249
"116","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,89.7190311386717
"117","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2040,23.8626926248162
"118","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2040,11.6665546560029
"119","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,1.5362605387054
"120","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,1.95088038370886
"121","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,2.54407329641694
"122","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.437638436005065
"123","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.880022839958044
"124","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.0871335212292656
"125","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2040,2.44794498932809
"126","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2040,1.64147660424406
"127","China","1p5","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,45.2963606643012
"128","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,43.0909928545892
"129","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,5.69027999636157
"130","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,15.3354437091735
"131","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,12.4529249506053
"132","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,0.0408432292572962
"133","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,1.03433609816493
