"","region","scenario","sector","subsector","output","technology","Units","year","value"
"56","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,44.108586
"57","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,8.338814
"58","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,769.063
"59","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,479.69
"60","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,986.575
"61","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,10.43953
"62","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,13.98497
"63","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,5.181606
"64","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,17.9675307
"65","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,18.312991
"66","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.2825665
"67","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,147.39336
"68","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,234.51871
"69","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,59.11328
"70","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,13.91671
"71","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,71.3415
"72","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.20234295
"73","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,22.1664191
"74","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,45.26704
"75","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,14.2578222
