CO2 emissions by subsector
scenario,region,sector,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,elec_gas (CC),gas (CC),0.0,0.0,0.0015301960000000002,0.00292715,0.018292668400000003,0.06016063270000001,0.14695867299999998,0.34033744889999995,0.7420652200000001,1.4028447168,2.3467008472,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,elec_gas (steam/CT),gas (steam/CT),0.0,0.0,0.011297253000000002,0.03851528,0.08034205,0.14891337,0.22842311199999998,0.32255425,0.429265196,0.5292845139999999,0.6136908579999998,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,elec_refined liquids (CC),refined liquids (CC),0.0,0.0,0.0,0.0,0.3966799,1.09477115,1.8513797900000002,3.12011477,4.9250509099999995,6.3072330999999995,7.763571,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,elec_refined liquids (steam/CT),refined liquids (steam/CT),0.6148155000000001,1.7691526,1.7143146,2.3524380999999996,2.9101964999999996,3.5267771,3.6906660000000002,3.6113912999999993,3.3465842,2.81630855,2.52633064,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,gas processing,biomass gasification,0.0,0.0,6.69228E-4,0.00419227,0.00756052,0.021948,0.0630386,0.186372,0.350686,0.523228,0.729757,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,gas processing,coal gasification,0.0,0.0,0.0,0.0,1.18817E-4,7.45043E-4,0.00337623,0.0144005,0.0391471,0.0827992,0.160023,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,mining energy use,biomass,0.0,0.0,0.0,0.0,4.48929E-4,0.0015163000000000002,0.0033439109999999998,0.005333221399999999,0.006766662,0.007949594,0.008866855,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,mining energy use,coal,0.0,0.0,0.0,0.0,0.00228197,0.00766505,0.0166165,0.026233419,0.03358511,0.04045301999999999,0.046657660000000004,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,mining energy use,gas,0.0,0.0,0.0,0.0,5.00899E-4,0.001567377,0.0031853669999999997,0.0045628467,0.005411657,0.006206745,0.006960406,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,mining energy use,refined liquids,0.0,0.0,0.0247877,0.0245561,0.0275718,0.02550707,0.02034296,0.01508283,0.01243777,0.01031337,0.008888708,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,other industrial energy use,biomass,10.6763,15.2378,16.4282,19.0279418,21.354962546,27.216011958,36.78031055499999,47.75462558600001,59.96876930100001,73.577269598,87.04243342919999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,other industrial energy use,coal,0.233478,0.208613,0.283117,1.06159,1.211499,1.613569,2.333447,3.3046439999999997,4.5842716999999995,6.189969400000001,8.12400707,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,other industrial energy use,gas,0.0,0.190489,0.344811,0.172926,0.1987673,0.2623182,0.3683671,0.485438,0.6315925,0.82460743,1.0636630999999999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,other industrial energy use,refined liquids,0.699026,1.21017,2.13895,2.01951,2.464269,3.372074,4.527355,5.656105,6.938365999999999,8.4559298,10.3341246,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,other industrial feedstocks,gas,0.0,0.275358,0.0840909,0.27833,0.286185,0.457891,0.825275,1.37854,2.19025,3.29332,4.67887,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,process heat cement,biomass,0.0653723,0.0214662,0.0323493,0.0323493,0.036718,0.053235500000000005,0.08862242000000001,0.14837336,0.22805005,0.32399035,0.43447879899999997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,process heat cement,coal,0.0661828,0.14778,0.222704,0.222704,0.24906640000000002,0.3471048,0.5455369999999999,0.8716737999999999,1.3385064,1.95702625,2.7418299399999997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,process heat cement,gas,0.0,0.0768671,0.115839,0.115839,0.1295723,0.1733111,0.24994929999999999,0.3410928,0.45883924000000004,0.62097955,0.824741396,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,process heat cement,refined liquids,0.0606222,0.135367,0.203998,0.203998,0.2428625,0.3488555,0.4727249,0.6093876,0.7754541,0.95672312,1.21730162,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refining,biomass liquids,0.0,0.0,5.67125E-4,7.55863E-4,0.030177917695000004,0.294866923206,0.890630629466,2.1458753410349996,4.410158265990999,7.638933859215999,11.669427138690997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refining,coal to liquids,0.0,0.0,0.0,0.0,0.0,0.0179605,0.0916584,0.3137461,0.8821987,2.0011256,3.8689022,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refining,gas to liquids,0.0,0.0,0.0,0.0,0.0,0.00329171,0.01495016,0.04255949,0.10487953,0.22037036,0.40053099000000003,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,refining,oil refining,0.243187,0.183646,0.288521,0.157093,0.374747,0.62236,0.882352,1.195158,1.62174,2.0669202,2.5274061999999997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,regional biomass,regional biomass,-14.9672,-22.6085,-24.804,-28.474,-30.0908,-38.3774,-52.5067,-69.3387,-89.2388,-112.554,-137.782,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,regional biomassOil,regional biomassOil,0.0,0.0,0.0,0.0,-8.19393E-6,-2.7392E-5,-7.66691E-5,-1.68953E-4,-3.2975E-4,-5.44257E-4,-8.55948E-4,0.0,0.0,0.0,MTC,
