IRONSTL inputs by tech (energy and feedstocks)
scenario,region,sector,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,1.22837E-4,7.468847000000001E-4,0.002059792,0.0045174988,0.008479134,0.013990344000000002,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,elect_td_ind,0.0,0.0,0.001164307,0.0020408989999999997,0.0029710930999999998,0.0087937754,0.0286547232,0.07640464589,0.178129028,0.36004377199999993,0.6356972000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.0035416,0.021626839999999998,0.07981513999999999,0.215462946,0.50250477,1.0160703,1.7926708999999998,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,7.38332419E-5,2.108422779E-4,2.865010445E-4,3.3252904149999997E-4,3.940547267E-4,4.3487955399999995E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.2658E-7,1.321479E-6,3.5106217999999998E-6,6.0463685E-6,7.973708E-6,9.360365E-6,1.0065027E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,3.59951E-7,1.8977480000000001E-6,5.501596E-6,9.193640199999999E-6,1.2844068E-5,1.5789882E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,elect_td_ind,0.003599981,0.003935157,0.0053647389999999994,0.002606132,0.00305235612387,0.003767871616770001,0.004434288048680001,0.005006633943774,0.00549061170912,0.0058779234767,0.006144370755600001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,refined liquids industrial,0.00276271936,0.00535782922,0.0,0.0,0.0,9.89529E-10,3.444197E-9,7.618159E-9,1.1435950000000001E-8,1.4983111E-8,1.7559969E-8,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,scrap,0.0,0.0,0.0,0.0,0.504309,1.368091,2.228466,2.8436377999999998,3.1453930000000003,3.399037,3.567953,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Northern,iron and steel,wholesale gas,0.00816278412,0.008748870019999999,0.01385554727,0.00862299419,0.010177706222929999,0.012635474466089,0.014888851804257,0.016810317219925,0.01841327062063,0.019684969772711,0.020577050448269,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,8.08714E-4,0.005365653000000001,0.016205071,0.039341101,0.08208639300000001,0.15049531,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,iron and steel,delivered coal,0.00297206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,iron and steel,elect_td_ind,0.0,2.51159E-4,0.001438148,0.0024391449999999998,0.0021124644,0.0039395184,0.014002545700000002,0.03830557692,0.08851723899999998,0.17752890999999998,0.31458015000000006,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00202408,0.03820994,0.18453860000000002,0.521162085,1.19684427,2.3706794,4.1144273,0.0,0.0,0.0,Mt,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Western,iron and steel,wholesale gas,0.002093,0.00803712,0.00259532,0.0106743,0.009194902,0.010747744,0.019188129999999998,0.040568595,0.079832187,0.13877882,0.21690083,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.00294631386,0.01027289237,0.01564894215,0.018791113168,0.022124019260000002,0.02535367941,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Argentina,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,0.0,4.24944E-5,1.60697E-4,2.87239E-4,3.7604445999999997E-4,4.491247E-4,5.04404E-4,0.0,0.0,0.0,EJ,
