hydrogen production by tech
scenario,region,sector,subsector,technology,1990,2005,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,biomass,biomass to H2,0.0,0.0,8.59794E-6,6.43101E-5,2.64498E-4,7.35807E-4,0.00146843,0.00243802,0.00379789,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,coal,coal chemical,0.0,0.0,4.99057E-5,3.77937E-4,0.00153823,0.00432456,0.00923718,0.0166704,0.0282352,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,electricity,electrolysis,0.0,0.0,1.58479E-7,1.27248E-6,4.7597E-6,1.42433E-5,3.54032E-5,7.394E-5,1.38668E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,gas,natural gas steam reforming,0.0,0.0,7.69516E-5,4.80618E-4,0.00168138,0.00373187,0.00704803,0.011955,0.0187986,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,nuclear,thermal splitting,0.0,0.0,9.05266E-6,6.51902E-5,2.53288E-4,6.68465E-4,0.00133165,0.0022431,0.00352328,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,solar,electrolysis,0.0,0.0,8.67104E-6,6.26841E-5,2.44605E-4,6.48589E-4,0.00129858,0.00219944,0.00347472,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 central production,wind,electrolysis,0.0,0.0,8.18875E-6,5.76548E-5,2.22084E-4,5.80149E-4,0.00114003,0.00189614,0.00294609,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 forecourt production,electricity,electrolysis,0.0,0.0,4.31459E-6,3.13318E-5,1.1013E-4,2.95376E-4,6.60769E-4,0.00125515,0.00215433,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T15:24:23-07:00",Africa_Eastern,H2 forecourt production,gas,natural gas steam reforming,0.0,0.0,7.71434E-5,5.27576E-4,0.00202303,0.00488016,0.00955268,0.0167065,0.0273335,0.0,0.0,0.0,EJ,
