"","region","scenario","sector","subsector","output","technology","Units","year","share"
"54","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.00739596522472196
"55","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.587451478092768
"56","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,5.11726204844868
"57","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.786166139374019
"58","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,79.7414447336164
"59","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,55.6512836757076
"60","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,93.0122507772596
"61","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.08243824568329
"62","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.62246770344652
"63","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,0.48851109819421
"64","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.86299023137715
"65","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,2.12458349578203
"66","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,0.120917717291146
"67","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,15.2827004686768
"68","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,27.2077117669141
"69","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2030,5.57307779299735
"70","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,1.44297484255356
"71","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,8.27669130970105
"72","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2030,0.0190764748837245
"73","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,2.7501316107447
"74","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,5.74524826872814
"75","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2035,1.42639759308331
"76","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,54.4985110836839
"77","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,27.1845433389762
"78","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2035,91.2780289518343
"79","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,2.92071581352555
"80","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,3.20288264972144
"81","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2035,1.50214815321119
"82","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,1.90240473123885
"83","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,1.66402433116774
"84","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2035,0.111628638563806
"85","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,30.0723153657517
"86","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,44.5783924351879
"87","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2035,5.65008154484588
"88","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,7.85592139505528
"89","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,17.6249089762186
"90","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2035,0.031715118461559
"91","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,2.49312528274169
"92","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,3.92813463337489
"93","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2040,1.91863881806321
"94","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,28.7287801890469
"95","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,11.7968263417075
"96","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2040,89.7190311386717
"97","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,2.81420133594488
"98","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,2.75102491691852
"99","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2040,2.54407329641694
"100","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,1.25226269607659
"101","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.721905535341283
"102","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2040,0.0871335212292656
"103","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,47.4766680120855
"104","China","1p5C_no_css_steel_sector","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,56.2760331014977
"105","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2040,5.69027999636157
"106","China","1p5C_delay_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,17.2349624841044
"107","China","1p5C_no_css_steel_sector","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,24.5260754711601
"108","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2040,0.0408432292572962
"109","China","1p5C_delay_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,1.66980847682039
"110","China","1p5C_no_css_steel_sector","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2045,1.68830586977424
