"","region","scenario","sector","subsector","input","technology","Units","year","value"
"58","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0
"59","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0
"60","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0
"61","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0
"62","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0
"63","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0
"64","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.00753269
"65","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.0075334
"66","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.00856064
"67","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.000246123
"68","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.000246146
"69","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.00027971
"70","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000448965
"71","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000449007
"72","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000510233
"73","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000448965
"74","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000449007
"75","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000510233
"76","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.06803
"77","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.06805
"78","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.97492
"79","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.062321
"80","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.062323
"81","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.155513
"82","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.00983829
"83","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.00983831
"84","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.0102829
"85","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0344818
