"","region","year","scenario","input","value","share"
"100","Japan",2020,"Ref","coal",1.35509489,76.6050262735829
"101","Japan",2020,"1p5","coal",1.34940905,76.4895081496254
"102","Japan",2020,"1p5 delay","coal",1.34941024,76.4894683096293
"103","Japan",2025,"Ref","coal",1.337899747,76.6385978634172
"104","Japan",2025,"1p5","coal",1.0182392,71.7788887007731
"105","Japan",2025,"1p5 delay","coal",1.21594897,75.9851320919468
"106","Japan",2030,"Ref","coal",1.292411236,76.5397860672839
"107","Japan",2030,"1p5","coal",0.68281693,58.1739150527179
"108","Japan",2030,"1p5 delay","coal",1.06351977,74.3903519734961
"109","Japan",2035,"Ref","coal",1.244622864,76.2954196247081
"110","Japan",2035,"1p5","coal",0.399051445,41.8745998410404
"111","Japan",2035,"1p5 delay","coal",0.702574958,63.5884338499269
"112","Japan",2040,"Ref","coal",1.1970232834,75.971165185868
"113","Japan",2040,"1p5","coal",0.265683405,32.8869439288472
"114","Japan",2040,"1p5 delay","coal",0.456340463,50.4772092879331
"115","Japan",2045,"Ref","coal",1.150952705,75.7005425361131
"116","Japan",2045,"1p5","coal",0.06902834,11.6092406542461
"117","Japan",2045,"1p5 delay","coal",0.1908056,28.3328315465237
"118","Japan",2050,"Ref","coal",1.1078051,75.5846186636588
"119","Japan",2050,"1p5","coal",0.0022970734,0.479948848981856
"120","Japan",2050,"1p5 delay","coal",0.002329638,0.487223726153016
"121","ROW",2015,"Ref","coal",3.9645184182,62.9859239372772
"122","ROW",2015,"1p5","coal",3.9645174282,62.9859181155046
"123","ROW",2015,"1p5 delay","coal",3.9645173182,62.9859174686409
"124","ROW",2020,"Ref","coal",4.2358177574172,64.8112048199308
"125","ROW",2020,"1p5","coal",4.181961760587,64.2408351153693
"126","ROW",2020,"1p5 delay","coal",4.181960026187,64.240741060531
"127","ROW",2025,"Ref","coal",4.44536836063586,62.9771711562776
"128","ROW",2025,"1p5","coal",3.0902985974281,54.8187743398808
"129","ROW",2025,"1p5 delay","coal",4.179277932948,62.9015677448498
"130","ROW",2030,"Ref","coal",4.57758308023661,60.4842203339116
"131","ROW",2030,"1p5","coal",2.0605973064226,40.5817454918266
"132","ROW",2030,"1p5 delay","coal",3.9384921481915,60.1028635531843
"133","ROW",2035,"Ref","coal",4.61930977038004,57.4636063477743
"134","ROW",2035,"1p5","coal",1.28978439060067,28.1083708469133
"135","ROW",2035,"1p5 delay","coal",2.6173500350881,48.2512045653175
"136","ROW",2040,"Ref","coal",4.67224292313781,54.1269247144407
"137","ROW",2040,"1p5","coal",0.969401722201648,21.7555310870698
"138","ROW",2040,"1p5 delay","coal",1.77310545499938,36.0081712801921
"139","ROW",2045,"Ref","coal",4.68056997794444,50.2266979844032
"140","ROW",2045,"1p5","coal",0.53007301765687,12.4098313790866
"141","ROW",2045,"1p5 delay","coal",0.865493415841263,19.5903556586841
"142","ROW",2050,"Ref","coal",4.66862338227602,46.1779226776572
"143","ROW",2050,"1p5","coal",0.193803698462255,4.29318584667177
"144","ROW",2050,"1p5 delay","coal",0.219138754488499,4.90196413526557
"145","South Korea",2015,"Ref","coal",0.8536073,76.4056466762973
"146","South Korea",2015,"1p5","coal",0.8536073,76.4056466762973
"147","South Korea",2015,"1p5 delay","coal",0.8536073,76.4056466762973
"148","South Korea",2020,"Ref","coal",0.88379918,76.3010855002788
"149","South Korea",2020,"1p5","coal",0.8667468,76.0380301337248
"150","South Korea",2020,"1p5 delay","coal",0.86674692,76.0379857273301
"151","South Korea",2025,"Ref","coal",0.878758338,76.3497804741509
"152","South Korea",2025,"1p5","coal",0.656969437,68.9950365706895
"153","South Korea",2025,"1p5 delay","coal",0.81720562,75.3100143717158
"154","South Korea",2030,"Ref","coal",0.868493989,76.6591850565834
"155","South Korea",2030,"1p5","coal",0.401235357,49.3290354706781
"156","South Korea",2030,"1p5 delay","coal",0.743440094,73.7271474396063
"157","South Korea",2035,"Ref","coal",0.843193689,76.9109477075904
"158","South Korea",2035,"1p5","coal",0.189846332,27.2195016068456
"159","South Korea",2035,"1p5 delay","coal",0.466760366,58.6894896915409
"160","South Korea",2040,"Ref","coal",0.8032889036,76.9601503724005
"161","South Korea",2040,"1p5","coal",0.1059566499,17.3789268356513
"162","South Korea",2040,"1p5 delay","coal",0.270708593,41.1337987482264
"163","South Korea",2045,"Ref","coal",0.750944222,76.7171687965565
"164","South Korea",2045,"1p5","coal",0.0408603739,8.10715333731494
"165","South Korea",2045,"1p5 delay","coal",0.108264957,20.8116667559612
"166","South Korea",2050,"Ref","coal",0.693829972,76.5848441019736
"167","South Korea",2050,"1p5","coal",0.00501440446,1.21482223813653
"168","South Korea",2050,"1p5 delay","coal",0.006517364621,1.59871135968851
"169","US",2015,"Ref","coal",0.5036184,45.976010437232
"170","US",2015,"1p5","coal",0.5036184,45.976010437232
"171","US",2015,"1p5 delay","coal",0.5036184,45.976010437232
"172","US",2020,"Ref","coal",0.57445306,47.331718436789
"173","US",2020,"1p5","coal",0.55649785,46.1783700074902
"174","US",2020,"1p5 delay","coal",0.55649786,46.1783627929495
"175","US",2025,"Ref","coal",0.611160031,49.1750861851701
"176","US",2025,"1p5","coal",0.408164184,43.5460056307475
"177","US",2025,"1p5 delay","coal",0.507176292,45.7219040577873
"178","US",2030,"Ref","coal",0.632475814,50.6311289693315
"179","US",2030,"1p5","coal",0.225413566,30.6929805248787
"180","US",2030,"1p5 delay","coal",0.423047887,42.3558816050575
"181","US",2035,"Ref","coal",0.6436056023,51.5201890540655
"182","US",2035,"1p5","coal",0.0848041896,14.4639896426647
"183","US",2035,"1p5 delay","coal",0.239831035,31.9054101899648
"184","US",2040,"Ref","coal",0.6485654548,51.7849933791246
"185","US",2040,"1p5","coal",0.035137448,6.79936888682629
"186","US",2040,"1p5 delay","coal",0.1237444875,20.6300622677692
"187","US",2045,"Ref","coal",0.648357776,51.866414768954
"188","US",2045,"1p5","coal",0.0034108897,0.726569676142229
"189","US",2045,"1p5 delay","coal",0.035048518,7.17296022812451
"190","US",2050,"Ref","coal",0.649219869,52.4089646585011
"191","US",2050,"1p5","coal",0.0000243042399,0.00532144110665558
"192","US",2050,"1p5 delay","coal",0.000023127938,0.00515276142941955
