"","scenario","region","year","value"
"124","1p5","US",2030,2890.54904097971
"125","1p5","US",2035,2146.91875189327
"126","1p5","US",2040,1386.03835654872
"127","1p5","US",2045,437.449795806164
"128","1p5","US",2050,-433.69228793435
"129","Ref","China",2015,10827.6925587328
"130","Ref","China",2020,12769.3822434843
"131","Ref","China",2025,13826.1785198208
"132","Ref","China",2030,14225.2268640027
"133","Ref","China",2035,14214.9503825957
"134","Ref","China",2040,13961.793762146
"135","Ref","China",2045,13541.1286224005
"136","Ref","China",2050,12924.2561050041
"137","Ref","Europe",2015,3513.08163767636
"138","Ref","Europe",2020,3445.19548993809
"139","Ref","Europe",2025,3608.68345895209
"140","Ref","Europe",2030,3566.49381365072
"141","Ref","Europe",2035,3529.23912232848
"142","Ref","Europe",2040,3473.25560096554
"143","Ref","Europe",2045,3527.93521127369
"144","Ref","Europe",2050,3508.27704595579
"145","Ref","Global",2015,38837.9169936232
"146","Ref","Global",2020,37881.6206261538
"147","Ref","Global",2025,41573.606283889
"148","Ref","Global",2030,43550.1800603102
"149","Ref","Global",2035,44926.432054316
"150","Ref","Global",2040,45836.715179386
"151","Ref","Global",2045,47040.9274149261
"152","Ref","Global",2050,47657.7455872491
"153","Ref","India",2015,2295.77663268124
"154","Ref","India",2020,2666.32992662524
"155","Ref","India",2025,3701.4187436986
"156","Ref","India",2030,4467.54097169405
"157","Ref","India",2035,5236.35005961659
"158","Ref","India",2040,5954.61666059471
"159","Ref","India",2045,6544.9284670468
"160","Ref","India",2050,7086.61130387381
"161","Ref","Japan",2015,1190.1522055095
"162","Ref","Japan",2020,1160.91700549304
"163","Ref","Japan",2025,1181.40394665251
"164","Ref","Japan",2030,1146.96220393538
"165","Ref","Japan",2035,1102.06472820755
"166","Ref","Japan",2040,1058.27258699953
"167","Ref","Japan",2045,1021.47559130752
"168","Ref","Japan",2050,984.733927495718
"169","Ref","ROW",2015,15484.113026686
"170","Ref","ROW",2020,12250.5395387807
"171","Ref","ROW",2025,13440.4880968588
"172","Ref","ROW",2030,14341.2592960287
"173","Ref","ROW",2035,15058.5098610362
"174","Ref","ROW",2040,15657.0784294769
"175","Ref","ROW",2045,16616.7027025945
"176","Ref","ROW",2050,17371.8844871894
"177","Ref","South Korea",2015,663.8723379112
"178","Ref","South Korea",2020,691.234519565333
"179","Ref","South Korea",2025,714.058632700967
"180","Ref","South Korea",2030,717.472469787333
"181","Ref","South Korea",2035,711.348751972466
"182","Ref","South Korea",2040,694.041124860454
"183","Ref","South Korea",2045,670.384939865747
"184","Ref","South Korea",2050,641.347399462477
"185","Ref","US",2015,4863.22859442611
"186","Ref","US",2020,4898.02190226711
"187","Ref","US",2025,5101.37488520517
"188","Ref","US",2030,5085.22444121133
"189","Ref","US",2035,5073.96914855893
"190","Ref","US",2040,5037.65701434289
"191","Ref","US",2045,5118.37188043734
"192","Ref","US",2050,5140.63531826782
