"","region","scenario","sector","Units","year","emission","value","year "
"79","Europe","1p5 delay","iron and steel","MTCO2",2080,"value",0,"2080"
"80","Europe","1p5","iron and steel","MTCO2",2080,"value",0,"2080"
"81","Europe","Ref","iron and steel","MTCO2",2080,"value",0,"2080"
"82","Europe","1p5 delay","iron and steel","MTCO2",2095,"value",0,"2095"
"83","Europe","1p5","iron and steel","MTCO2",2095,"value",0,"2095"
"84","Europe","Ref","iron and steel","MTCO2",2095,"value",0,"2095"
"85","Global","1p5 delay","iron and steel","MTCO2",1990,"value",1394.23405921435,"1990"
"86","Global","1p5","iron and steel","MTCO2",1990,"value",1394.23405921435,"1990"
"87","Global","Ref","iron and steel","MTCO2",1990,"value",1394.23405921435,"1990"
"88","Global","1p5 delay","iron and steel","MTCO2",2005,"value",1773.60592723872,"2005"
"89","Global","1p5","iron and steel","MTCO2",2005,"value",1773.6059271881,"2005"
"90","Global","Ref","iron and steel","MTCO2",2005,"value",1773.60592722348,"2005"
"91","Global","1p5 delay","iron and steel","MTCO2",2010,"value",2407.04336620019,"2010"
"92","Global","1p5","iron and steel","MTCO2",2010,"value",2407.04336620019,"2010"
"93","Global","Ref","iron and steel","MTCO2",2010,"value",2407.04336620019,"2010"
"94","Global","1p5 delay","iron and steel","MTCO2",2015,"value",2832.45584794581,"2015"
"95","Global","1p5","iron and steel","MTCO2",2015,"value",2832.45584794581,"2015"
"96","Global","Ref","iron and steel","MTCO2",2015,"value",2832.45584794581,"2015"
"97","Global","1p5 delay","iron and steel","MTCO2",2020,"value",3373.52837133557,"2020"
"98","Global","1p5","iron and steel","MTCO2",2020,"value",3373.52869586471,"2020"
"99","Global","Ref","iron and steel","MTCO2",2020,"value",3449.91605798832,"2020"
"100","Global","1p5 delay","iron and steel","MTCO2",2025,"value",3408.60560831395,"2025"
"101","Global","1p5","iron and steel","MTCO2",2025,"value",2649.62326954247,"2025"
"102","Global","Ref","iron and steel","MTCO2",2025,"value",3785.05385510855,"2025"
"103","Global","1p5 delay","iron and steel","MTCO2",2030,"value",3102.81274149045,"2030"
"104","Global","1p5","iron and steel","MTCO2",2030,"value",1785.93729126532,"2030"
"105","Global","Ref","iron and steel","MTCO2",2030,"value",3912.7317860008,"2030"
"106","Global","1p5 delay","iron and steel","MTCO2",2035,"value",1957.22144895631,"2035"
