industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,mining energy use,electricity,elect_td_ind,electricity,0.0,0.0,0.0,2.0201E-5,2.25532E-5,2.9736199999999998E-5,3.1700359999999996E-5,3.4682960000000004E-5,3.970478E-5,4.766035E-5,5.4922050000000004E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,mining energy use,gas,wholesale gas,gas,0.0,0.0,0.0,0.0,3.52848E-5,1.111541E-4,2.28114E-4,3.2806177E-4,3.8801980000000003E-4,4.43804E-4,4.961242E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,mining energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,1.50349E-6,4.855799E-6,1.0541095E-5,1.6028936E-5,2.0048899E-5,2.5021747E-5,3.010504E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,mining energy use,refined liquids,refined liquids industrial,refined liquids,0.0,0.0,0.00126468,0.00125286,0.001406624,0.001296868,0.001021001,7.387418000000001E-4,6.016039E-4,4.927201E-4,4.240909E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,biomass,delivered biomass,biomass,0.464185,0.662512,0.714271,0.823967,0.925143,1.179926,1.599097,2.0813414,2.6107048,3.1959665,3.76843738,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,biomass,delivered biomass,biomass cogen,0.0,0.0,0.0,0.0033366,0.0033357634,0.0033023146000000004,0.0030716534,0.0022984930000000004,0.0014513596000000001,0.0011148989400000002,0.00101985361,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,coal,delivered coal,coal,0.0085523,0.0076415,0.0103706,0.0388862,0.04437743,0.05917570999999999,0.08598885,0.12240686,0.17035155000000002,0.23059511,0.303176367,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,electricity,elect_td_ind,electricity,0.0115146,0.0220415,0.0268091,0.0391979,0.0427222,0.088202,0.1525479,0.2674556,0.46263743,0.73324716,1.097246948,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,gas,wholesale gas,gas,0.0,0.0134147,0.0242825,0.0121779,0.013997869999999999,0.01849321,0.02606487,0.034455940000000004,0.044930805000000004,0.058760521,0.0759327053,0.0,0.0,0.0,EJ,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,other industrial energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,1.67044E-4,0.001081598,0.0037246959999999996,0.009255227,0.0189439461,0.0337227503,0.056280635009999996,0.0,0.0,0.0,EJ,
