"","region","scenario","sector","Units","year","value"
"106","Japan","1p5","iron and steel","Mt",2030,77.67930228
"107","Japan","1p5 delay","iron and steel","Mt",2030,85.05028127
"108","Japan","Ref","iron and steel","Mt",2030,94.87844414
"109","Japan","1p5","iron and steel","Mt",2035,74.8102614
"110","Japan","1p5 delay","iron and steel","Mt",2035,74.80171485
"111","Japan","Ref","iron and steel","Mt",2035,91.90306041
"112","Japan","1p5","iron and steel","Mt",2040,69.2847924
"113","Japan","1p5 delay","iron and steel","Mt",2040,70.9626101
"114","Japan","Ref","iron and steel","Mt",2040,88.9431384
"115","Japan","1p5","iron and steel","Mt",2045,62.1730002871
"116","Japan","1p5 delay","iron and steel","Mt",2045,63.454345104
"117","Japan","Ref","iron and steel","Mt",2045,85.930874
"118","Japan","1p5","iron and steel","Mt",2050,55.1762641906509
"119","Japan","1p5 delay","iron and steel","Mt",2050,54.266006691332
"120","Japan","Ref","iron and steel","Mt",2050,82.9121585
"121","ROW","1p5","iron and steel","Mt",2015,307.329
"122","ROW","1p5 delay","iron and steel","Mt",2015,307.329
"123","ROW","Ref","iron and steel","Mt",2015,307.329
"124","ROW","1p5","iron and steel","Mt",2020,338.630042501547
"125","ROW","1p5 delay","iron and steel","Mt",2020,338.630042809047
"126","ROW","Ref","iron and steel","Mt",2020,338.450307381616
"127","ROW","1p5","iron and steel","Mt",2025,356.213112555959
"128","ROW","1p5 delay","iron and steel","Mt",2025,379.617934484298
"129","ROW","Ref","iron and steel","Mt",2025,390.437982738329
"130","ROW","1p5","iron and steel","Mt",2030,406.23886281044
"131","ROW","1p5 delay","iron and steel","Mt",2030,431.649076402677
"132","ROW","Ref","iron and steel","Mt",2030,456.134350924637
"133","ROW","1p5","iron and steel","Mt",2035,456.691009544212
"134","ROW","1p5 delay","iron and steel","Mt",2035,461.747836223668
"135","ROW","Ref","iron and steel","Mt",2035,523.880833553744
"136","ROW","1p5","iron and steel","Mt",2040,500.365926822679
"137","ROW","1p5 delay","iron and steel","Mt",2040,509.363564671549
"138","ROW","Ref","iron and steel","Mt",2040,594.498215358606
"139","ROW","1p5","iron and steel","Mt",2045,534.914684684505
"140","ROW","1p5 delay","iron and steel","Mt",2045,542.905734946587
"141","ROW","Ref","iron and steel","Mt",2045,664.746085989196
"142","ROW","1p5","iron and steel","Mt",2050,560.936407346292
"143","ROW","1p5 delay","iron and steel","Mt",2050,558.322333072068
"144","ROW","Ref","iron and steel","Mt",2050,731.42203361438
"145","South Korea","1p5","iron and steel","Mt",2015,69.7
"146","South Korea","1p5 delay","iron and steel","Mt",2015,69.7
"147","South Korea","Ref","iron and steel","Mt",2015,69.7
"148","South Korea","1p5","iron and steel","Mt",2020,71.36148087
"149","South Korea","1p5 delay","iron and steel","Mt",2020,71.36148087
"150","South Korea","Ref","iron and steel","Mt",2020,72.35394992
"151","South Korea","1p5","iron and steel","Mt",2025,62.4193728
"152","South Korea","1p5 delay","iron and steel","Mt",2025,68.38921028
"153","South Korea","Ref","iron and steel","Mt",2025,71.86497188
"154","South Korea","1p5","iron and steel","Mt",2030,58.42371889
"155","South Korea","1p5 delay","iron and steel","Mt",2030,64.65582666
"156","South Korea","Ref","iron and steel","Mt",2030,70.70709531
"157","South Korea","1p5","iron and steel","Mt",2035,54.38750633
"158","South Korea","1p5 delay","iron and steel","Mt",2035,55.45986562
"159","South Korea","Ref","iron and steel","Mt",2035,68.62750554
"160","South Korea","1p5","iron and steel","Mt",2040,50.19133028
"161","South Korea","1p5 delay","iron and steel","Mt",2040,50.32566768
"162","South Korea","Ref","iron and steel","Mt",2040,65.41918983
"163","South Korea","1p5","iron and steel","Mt",2045,45.5066324198
"164","South Korea","1p5 delay","iron and steel","Mt",2045,45.572569803
"165","South Korea","Ref","iron and steel","Mt",2045,61.4111625
"166","South Korea","1p5","iron and steel","Mt",2050,40.6426059157524
"167","South Korea","1p5 delay","iron and steel","Mt",2050,40.6468245600256
"168","South Korea","Ref","iron and steel","Mt",2050,56.8374708
"169","US","1p5","iron and steel","Mt",2015,78.9
"170","US","1p5 delay","iron and steel","Mt",2015,78.9
"171","US","Ref","iron and steel","Mt",2015,78.9
"172","US","1p5","iron and steel","Mt",2020,89.00069055
"173","US","1p5 delay","iron and steel","Mt",2020,89.00069055
"174","US","Ref","iron and steel","Mt",2020,89.16030269
"175","US","1p5","iron and steel","Mt",2025,83.03711083
"176","US","1p5 delay","iron and steel","Mt",2025,86.98727263
"177","US","Ref","iron and steel","Mt",2025,93.35402999
"178","US","1p5","iron and steel","Mt",2030,83.21903361
"179","US","1p5 delay","iron and steel","Mt",2030,87.29561287
"180","US","Ref","iron and steel","Mt",2030,96.23882171
"181","US","1p5","iron and steel","Mt",2035,82.861660487
"182","US","1p5 delay","iron and steel","Mt",2035,83.623022444
"183","US","Ref","iron and steel","Mt",2035,98.30141793
"184","US","1p5","iron and steel","Mt",2040,81.177552814
"185","US","1p5 delay","iron and steel","Mt",2040,82.03044419
"186","US","Ref","iron and steel","Mt",2040,99.62717085
"187","US","1p5","iron and steel","Mt",2045,78.80167627733
"188","US","1p5 delay","iron and steel","Mt",2045,79.3237165324
"189","US","Ref","iron and steel","Mt",2045,100.35505582
"190","US","1p5","iron and steel","Mt",2050,75.4717774853616
"191","US","1p5 delay","iron and steel","Mt",2050,75.3021906219811
"192","US","Ref","iron and steel","Mt",2050,100.592219
