IRONSTL production by tech and vintage
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2020",0.0,0.0,0.0,0.0,1.9056E-4,1.54654E-4,9.45503E-5,3.44941E-5,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2025",0.0,0.0,0.0,0.0,0.0,0.00535297,0.00434293,0.00265578,9.69021E-4,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0295118,0.0239414,0.0146426,0.0053426,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981981,0.0796679,0.0487242,0.0177771,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266035,0.215843,0.132002,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584201,0.473983,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI CCS,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07356,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=1990",0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2005",0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2010",0.0,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2015",0.0,0.0,0.0,0.0152,0.0123375,0.00754424,0.00275163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2020",0.0,0.0,0.0,0.0,0.00603106,0.00489466,0.00299243,0.00109171,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2025",0.0,0.0,0.0,0.0,0.0,0.0282182,0.0228937,0.0139999,0.00510819,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0847674,0.0687675,0.0420583,0.0153457,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193818,0.157244,0.096169,0.0350874,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400538,0.32497,0.19874,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2045",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71053,0.576477,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"EAF with DRI,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.096,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"Hydrogen-based DRI,year=2020",0.0,0.0,0.0,0.0,0.00306868,0.0024703,0.00151076,5.51002E-4,0.0,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"Hydrogen-based DRI,year=2025",0.0,0.0,0.0,0.0,0.0,0.0143707,0.0115686,0.00707237,0.00257913,0.0,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"Hydrogen-based DRI,year=2030",0.0,0.0,0.0,0.0,0.0,0.0,0.0451718,0.0363505,0.0222201,0.00810389,0.0,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"Hydrogen-based DRI,year=2035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102935,0.0827939,0.0506142,0.0184614,0.0,0.0,0.0,Mt,
"current_policies,date=2021-12-10T11:26:06-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,"Hydrogen-based DRI,year=2040",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208013,0.167247,0.102254,0.0,0.0,0.0,Mt,
