"","region","scenario","sector","subsector","input","technology","Units","year","value","input2"
"50","China","Ref","iron and steel","EAF with DRI","coal","EAF with DRI","EJ",2015,0.00694481,"coal"
"51","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2015,0.0122738,"electricity"
"52","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2015,0.0122738,"electricity"
"53","China","Ref","iron and steel","EAF with DRI","electricity","EAF with DRI","EJ",2015,0.0122738,"electricity"
"54","China","1p5","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2015,0.00619779,"refined liquids"
"55","China","1p5 delay","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2015,0.00619779,"refined liquids"
"56","China","Ref","iron and steel","EAF with DRI","refined liquids","EAF with DRI","EJ",2015,0.00619779,"refined liquids"
"57","China","1p5","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2015,0.123012,"gas"
"58","China","1p5 delay","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2015,0.123012,"gas"
"59","China","Ref","iron and steel","EAF with DRI","gas","EAF with DRI","EJ",2015,0.123012,"gas"
"60","China","1p5","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2015,0,"coal with CCS"
"61","China","1p5 delay","iron and steel","EAF with DRI","coal with CCS","EAF with DRI CCS","EJ",2015,0,"coal with CCS"
"62","China","1p5","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2015,0,"electricity"
"63","China","1p5 delay","iron and steel","EAF with DRI","electricity","EAF with DRI CCS","EJ",2015,0,"electricity"
"64","China","1p5","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2015,0,"refined liquids with CCS"
"65","China","1p5 delay","iron and steel","EAF with DRI","refined liquids with CCS","EAF with DRI CCS","EJ",2015,0,"refined liquids with CCS"
"66","China","1p5","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2015,0,"gas with CCS"
"67","China","1p5 delay","iron and steel","EAF with DRI","gas with CCS","EAF with DRI CCS","EJ",2015,0,"gas with CCS"
"68","China","1p5","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2015,0.274844,"electricity"
"69","China","1p5 delay","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2015,0.274844,"electricity"
"70","China","Ref","iron and steel","EAF with scrap","electricity","EAF with scrap","EJ",2015,0.274844,"electricity"
"71","China","1p5","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2015,0.0262211,"refined liquids"
"72","China","1p5 delay","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2015,0.0262211,"refined liquids"
"73","China","Ref","iron and steel","EAF with scrap","refined liquids","EAF with scrap","EJ",2015,0.0262211,"refined liquids"
"74","China","1p5","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0,"electricity"
"75","China","1p5 delay","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0,"electricity"
"76","China","Ref","iron and steel","EAF with DRI","electricity","Hydrogen-based DRI","EJ",2015,0,"electricity"
"77","China","1p5","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0,"hydrogen"
"78","China","1p5 delay","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0,"hydrogen"
"79","China","Ref","iron and steel","EAF with DRI","hydrogen","Hydrogen-based DRI","EJ",2015,0,"hydrogen"
"80","China","1p5","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.0075304,"biomass"
"81","China","1p5 delay","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.0075304,"biomass"
"82","China","Ref","iron and steel","BLASTFUR","biomass","Biomass-based","EJ",2020,0.00854105,"biomass"
"83","China","1p5","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.000246048,"electricity"
"84","China","1p5 delay","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.000246048,"electricity"
"85","China","Ref","iron and steel","BLASTFUR","electricity","Biomass-based","EJ",2020,0.00027907,"electricity"
"86","China","1p5","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000448829,"refined liquids"
"87","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000448829,"refined liquids"
"88","China","Ref","iron and steel","BLASTFUR","refined liquids","Biomass-based","EJ",2020,0.00000509065,"refined liquids"
"89","China","1p5","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000448829,"gas"
"90","China","1p5 delay","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000448829,"gas"
"91","China","Ref","iron and steel","BLASTFUR","gas","Biomass-based","EJ",2020,0.00000509065,"gas"
"92","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.06832,"coal"
"93","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.06832,"coal"
"94","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR","EJ",2020,20.95978,"coal"
"95","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.06235,"electricity"
"96","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.06235,"electricity"
"97","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR","EJ",2020,2.153957,"electricity"
"98","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.00983844,"refined liquids"
"99","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.00983844,"refined liquids"
"100","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR","EJ",2020,0.01027547,"refined liquids"
"101","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0344823,"gas"
"102","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0344823,"gas"
"103","China","Ref","iron and steel","BLASTFUR","gas","BLASTFUR","EJ",2020,0.0360141,"gas"
"104","China","1p5","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","EJ",2020,0,"coal with CCS"
"105","China","1p5 delay","iron and steel","BLASTFUR","coal with CCS","BLASTFUR CCS","EJ",2020,0,"coal with CCS"
"106","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","EJ",2020,0,"electricity"
"107","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR CCS","EJ",2020,0,"electricity"
"108","China","1p5","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","EJ",2020,0,"refined liquids with CCS"
"109","China","1p5 delay","iron and steel","BLASTFUR","refined liquids with CCS","BLASTFUR CCS","EJ",2020,0,"refined liquids with CCS"
"110","China","1p5","iron and steel","BLASTFUR","gas with CCS","BLASTFUR CCS","EJ",2020,0,"gas with CCS"
"111","China","1p5 delay","iron and steel","BLASTFUR","gas with CCS","BLASTFUR CCS","EJ",2020,0,"gas with CCS"
"112","China","1p5","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0,"coal"
"113","China","1p5 delay","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0,"coal"
"114","China","Ref","iron and steel","BLASTFUR","coal","BLASTFUR with hydrogen","EJ",2020,0.00850958,"coal"
"115","China","1p5","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0,"electricity"
"116","China","1p5 delay","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0,"electricity"
"117","China","Ref","iron and steel","BLASTFUR","electricity","BLASTFUR with hydrogen","EJ",2020,0.000341557,"electricity"
"118","China","1p5","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0,"hydrogen"
"119","China","1p5 delay","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0,"hydrogen"
"120","China","Ref","iron and steel","BLASTFUR","hydrogen","BLASTFUR with hydrogen","EJ",2020,0.00205539,"hydrogen"
"121","China","1p5","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0,"refined liquids"
"122","China","1p5 delay","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0,"refined liquids"
"123","China","Ref","iron and steel","BLASTFUR","refined liquids","BLASTFUR with hydrogen","EJ",2020,0.00000623052,"refined liquids"
"124","China","1p5","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0,"gas"
"125","China","1p5 delay","iron and steel","BLASTFUR","gas","BLASTFUR with hydrogen","EJ",2020,0,"gas"
