"","region","scenario","sector","subsector","output","technology","Units","year","share"
"62","China","1p5 delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,9.28210945098685
"63","China","Ref","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2025,5.52114702935948
"64","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,1.06295034979993
"65","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.388244661269597
"66","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2025,0.00744234924344232
"67","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,1.6455606495992
"68","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.426324146106785
"69","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2030,0.758837627289808
"70","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,49.2726200106158
"71","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,79.8889192917809
"72","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2030,92.4882906029426
"73","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,18.1153986474572
"74","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2030,0
"75","China","1p5","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.07021489638884
"76","China","1p5 delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.07867457330065
"77","China","Ref","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2030,1.02782148604213
"78","China","1p5","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.17948378587139
"79","China","1p5 delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,1.90227743481288
"80","China","Ref","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2030,0.119988660668778
