IRONSTL production by tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,0.0,0.0,0.0,0.0,1.68301E-4,6.590833E-5,1.71157742E-4,4.7862149E-4,0.00190547413,0.0434454525,0.3921254717,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR CCS,0.0,0.0,0.0,0.0,0.0,6.42095E-7,6.7192555E-6,5.82627295E-5,5.914803505E-4,0.01770393776,0.1905730574,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,BLASTFUR with hydrogen,0.0,0.0,0.0,0.0,0.0,0.0132333,0.1025219,0.45111411,1.3621401,2.2159855999999998,1.6869406,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,BLASTFUR,iron and steel,Biomass-based,0.0,0.0,0.0,0.0,0.0436628,0.11895739999999999,0.3084616,0.56390607,0.7297794,0.7094083,0.43689700000000004,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI,0.0139,0.0152,0.0152,0.0152,0.00163479508,0.0014698758255,0.0036233625139,0.0110204118573,0.037816271396,0.21939684399999998,0.92128791,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,EAF with DRI CCS,0.0,0.0,0.0,0.0,2.58019E-5,1.39522840053E-4,6.309688353269999E-4,0.00279048897503,0.0125424103782,0.0887710966,0.43439667000000004,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,EAF with DRI,iron and steel,Hydrogen-based DRI,0.0,0.0,0.0,0.0,0.0,4.77548E-4,0.0024314374103,0.0073545263161000005,0.024566732649,0.1359645472,0.57018232,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,iron and steel,EAF with scrap,iron and steel,EAF with scrap,0.00438,0.0048,0.0048,0.0048,5.4931841E-4,7.2031470508E-4,0.00234641184724,0.0074621417996399994,0.026734985723999998,0.1559339713,0.69036299,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Northern,iron and steel,BLASTFUR,iron and steel,BLASTFUR,1.92556,2.1154,1.2631,1.2263,1.5418910000000001,2.192449,2.972825,3.6234602,3.882289,4.103471,4.280385,0.0,0.0,0.0,Mt,
