transport final energy by tech and vintage
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Domestic Ship,refined liquids enduse,"Liquids,year=2050",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3249E-4,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,delivered coal,"Coal,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,delivered coal,"Coal,year=1990",1.78893E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,elect_td_trn,"Electric,year=2005",0.0,9.79991E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=1975",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=1990",7.17374E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2005",0.0,0.00107099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2010",0.0,0.0,0.00162448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2015",0.0,0.0,0.0,0.00227858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T13:28:30-07:00",Africa_Eastern,trn_freight,Freight Rail,refined liquids enduse,"Liquids,year=2020",0.0,0.0,0.0,0.0,0.00259548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
