"","region","year","sector","Units","sector_mapping","Ref","1p5","1p5 delay"
"1","China",2030,"iron and steel","MTCO2","iron and steel",23.3759655754861,17.2531564466743,20.8947759856942
"2","China",2050,"iron and steel","MTCO2","iron and steel",59.1612465453468,22.1356897974368,31.3945420305198
"3","EU-27",2030,"iron and steel","MTCO2","iron and steel",2.04488538082569,1.49273916654398,1.79835136431229
"4","EU-27",2050,"iron and steel","MTCO2","iron and steel",5.70563477789394,2.03764509156031,2.87474626576857
"5","Global",2030,"iron and steel","MTCO2","iron and steel",40.8385332426511,28.2531699853618,36.4254116099059
"6","Global",2050,"iron and steel","MTCO2","iron and steel",117.588212205881,38.2121146579166,58.0253598027732
"7","India",2030,"iron and steel","MTCO2","iron and steel",6.24588578841552,2.88323122621135,5.36808254988298
"8","India",2050,"iron and steel","MTCO2","iron and steel",26.3080901852719,4.78712454949502,9.94027787929027
"9","Japan",2030,"iron and steel","MTCO2","iron and steel",1.5748457373216,1.19735487037326,1.43482166669274
"10","Japan",2050,"iron and steel","MTCO2","iron and steel",4.14263354616564,1.62580903991996,2.29152179828294
"11","ROW",2030,"iron and steel","MTCO2","iron and steel",5.71016950261104,4.08891555093147,5.24032017554461
"12","ROW",2050,"iron and steel","MTCO2","iron and steel",17.1093790241226,5.89137608233777,8.89224903195608
"13","South Korea",2030,"iron and steel","MTCO2","iron and steel",1.00274210022725,0.742947073721663,0.928549734309328
"14","South Korea",2050,"iron and steel","MTCO2","iron and steel",2.63058843884479,1.00192015404473,1.50692094902645
"15","US",2030,"iron and steel","MTCO2","iron and steel",0.884039157763867,0.594825650905768,0.760510133469785
"16","US",2050,"iron and steel","MTCO2","iron and steel",2.5306396882352,0.732549943122029,1.12510184792906
