"","region","year","scenario","input","value","share"
"89","China",2030,"1p5 delay","coal",4444.93499233404,79.9237104000454
"90","China",2030,"1p5 delay","coal with CCS",0,0
"91","China",2030,"1p5 delay","electricity",738.40202405448,13.2770962075079
"92","China",2030,"1p5 delay","gas",260.63107221858,4.68636827606627
"93","China",2030,"1p5 delay","gas with CCS",0,0
"94","China",2030,"1p5 delay","hydrogen",61.19873507006,1.10040528984659
"95","China",2030,"1p5 delay","refined liquids",37.9158665465579,0.681759517891758
"96","China",2030,"1p5 delay","refined liquids with CCS",0,0
"97","China",2035,"Ref","biomass",64.02268177366,1.04148002201977
"98","China",2035,"Ref","coal",5378.84654940713,87.4996339972477
"99","China",2035,"Ref","electricity",647.828568317996,10.5384606346566
"100","China",2035,"Ref","gas",24.9445745098103,0.405782377276788
"101","China",2035,"Ref","hydrogen",19.0268999992856,0.309517434778507
"102","China",2035,"Ref","refined liquids",12.6096386974251,0.205125534020643
"103","China",2035,"1p5","biomass",54.43790188362,1.38876997602856
"104","China",2035,"1p5","coal",891.423147026836,22.7411722291278
"105","China",2035,"1p5","coal with CCS",1542.37113389592,39.3475620575357
"106","China",2035,"1p5","electricity",809.285755039197,20.6457581893732
"107","China",2035,"1p5","gas",57.4183435663048,1.46480427898655
"108","China",2035,"1p5","gas with CCS",244.502013379232,6.23751179803975
"109","China",2035,"1p5","hydrogen",262.13591248634,6.68737170800879
"110","China",2035,"1p5","refined liquids",45.3542649428274,1.15703653627392
"111","China",2035,"1p5","refined liquids with CCS",12.93607145996,0.330013226625804
"112","China",2035,"1p5 delay","biomass",33.1247209442,0.79278260690596
"113","China",2035,"1p5 delay","coal",2427.80859113421,58.1053777687771
"114","China",2035,"1p5 delay","coal with CCS",521.1386391328,12.4725473034805
"115","China",2035,"1p5 delay","electricity",736.77997389573,17.6335477483754
"116","China",2035,"1p5 delay","gas",141.624093076962,3.38952644761541
"117","China",2035,"1p5 delay","gas with CCS",103.1153324922,2.46788621232007
"118","China",2035,"1p5 delay","hydrogen",166.9032724114,3.99453965593674
"119","China",2035,"1p5 delay","refined liquids",42.3875225766576,1.01447166016026
"120","China",2035,"1p5 delay","refined liquids with CCS",5.403383767148,0.129320596428541
"121","China",2040,"Ref","biomass",80.39221986928,1.39465557075072
"122","China",2040,"Ref","coal",5021.96341640085,87.1217297666159
"123","China",2040,"Ref","electricity",604.616972237635,10.4889805241449
"124","China",2040,"Ref","gas",20.0649891353118,0.3480902619696
"125","China",2040,"Ref","hydrogen",25.523733891193,0.4427893360277
"126","China",2040,"Ref","refined liquids",11.7450359515768,0.203754540491218
"127","China",2040,"1p5","biomass",28.875370878056,0.959875133315954
"128","China",2040,"1p5","coal",165.245335140607,5.49308574313308
"129","China",2040,"1p5","coal with CCS",1203.6577129254,40.011991968528
"130","China",2040,"1p5","electricity",835.569651041297,27.7760079195224
"131","China",2040,"1p5","gas",8.58662098012462,0.285436470853931
"132","China",2040,"1p5","gas with CCS",315.344064497272,10.4826679881624
"133","China",2040,"1p5","hydrogen",383.605229661716,12.7518057696036
"134","China",2040,"1p5","refined liquids",50.991444525623,1.69505769531784
"135","China",2040,"1p5","refined liquids with CCS",16.3669839546878,0.544071311562794
"136","China",2040,"1p5 delay","biomass",23.80744404594,0.757845284211766
