"","scenario","region","year","value"
"1","1p5","China",2015,10827.6925587328
"2","1p5","China",2020,12729.7471577109
"3","1p5","China",2025,9975.43290713439
"4","1p5","China",2030,7052.56647135849
"5","1p5","China",2035,4476.4661032729
"6","1p5","China",2040,2465.27218227988
"7","1p5","China",2045,714.905903395752
"8","1p5","China",2050,-562.88354459368
"9","1p5","EU-27",2015,3513.08163767636
"10","1p5","EU-27",2020,3442.6514277678
"11","1p5","EU-27",2025,2891.35688688379
"12","1p5","EU-27",2030,2174.01691304173
"13","1p5","EU-27",2035,1553.86911440606
"14","1p5","EU-27",2040,917.850058552682
"15","1p5","EU-27",2045,316.553269595426
"16","1p5","EU-27",2050,-251.283639111837
"17","1p5","Global",2015,38837.9169936232
"18","1p5","Global",2020,37827.2414862883
"19","1p5","Global",2025,30282.6472135359
"20","1p5","Global",2030,22046.2289488113
"21","1p5","Global",2035,14981.8690758409
"22","1p5","Global",2040,8170.09059107907
"23","1p5","Global",2045,1494.16080499139
"24","1p5","Global",2050,-4729.29822603153
"25","1p5","India",2015,2295.77663268124
"26","1p5","India",2020,2658.23971843793
"27","1p5","India",2025,2406.36124561755
"28","1p5","India",2030,1899.63975953806
"29","1p5","India",2035,1345.71707078177
"30","1p5","India",2040,891.528628134401
"31","1p5","India",2045,410.670896371554
"32","1p5","India",2050,7.65905432115275
"33","1p5","Japan",2015,1190.1522055095
"34","1p5","Japan",2020,1160.66797943661
"35","1p5","Japan",2025,1032.08445893835
"36","1p5","Japan",2030,797.184274451259
"37","1p5","Japan",2035,505.217992725287
"38","1p5","Japan",2040,269.57996683992
"39","1p5","Japan",2045,127.175223261779
"40","1p5","Japan",2050,2.58206789242731
"41","1p5","ROW",2015,15484.113026686
"42","1p5","ROW",2020,12249.3977025955
"43","1p5","ROW",2025,9226.04698304539
"44","1p5","ROW",2030,6432.59542213123
"45","1p5","ROW",2035,4345.52659965551
"46","1p5","ROW",2040,1927.22641416604
"47","1p5","ROW",2045,-758.487130993688
"48","1p5","ROW",2050,-3587.33674075623
"49","1p5","South Korea",2015,663.8723379112
"50","1p5","South Korea",2020,689.245534281333
"51","1p5","South Korea",2025,586.590694659567
"52","1p5","South Korea",2030,459.653390085633
"53","1p5","South Korea",2035,332.774579284437
"54","1p5","South Korea",2040,199.159853079742
"55","1p5","South Korea",2045,95.9809974406737
"56","1p5","South Korea",2050,13.1268438998973
"57","1p5","US",2015,4863.22859442611
"58","1p5","US",2020,4897.29196605825
"59","1p5","US",2025,4164.77403725692
"60","1p5","US",2030,3230.57271820494
"61","1p5","US",2035,2422.2976157149
"62","1p5","US",2040,1499.4734880264
"63","1p5","US",2045,587.361645919892
"64","1p5","US",2050,-351.162267683263
"65","1p5 delay","China",2015,10827.6925587328
"66","1p5 delay","China",2020,12729.7471175206
"67","1p5 delay","China",2025,13695.012100132
"68","1p5 delay","China",2030,13949.7649181626
"69","1p5 delay","China",2035,9457.5414989593
"70","1p5 delay","China",2040,4943.30558885578
"71","1p5 delay","China",2045,1889.20405347866
"72","1p5 delay","China",2050,-565.881272544895
"73","1p5 delay","EU-27",2015,3513.08163767636
"74","1p5 delay","EU-27",2020,3442.6514672041
"75","1p5 delay","EU-27",2025,3649.57862223723
"76","1p5 delay","EU-27",2030,3639.53050748159
"77","1p5 delay","EU-27",2035,2689.26035362839
"78","1p5 delay","EU-27",2040,1639.83431668768
"79","1p5 delay","EU-27",2045,606.311260977344
"80","1p5 delay","EU-27",2050,-425.026470655694
"81","1p5 delay","Global",2015,38837.9169936232
"82","1p5 delay","Global",2020,37827.2515159358
"83","1p5 delay","Global",2025,41528.0842184264
"84","1p5 delay","Global",2030,43428.2338118489
"85","1p5 delay","Global",2035,30469.2788845617
"86","1p5 delay","Global",2040,17028.9779977038
"87","1p5 delay","Global",2045,5314.28175303765
"88","1p5 delay","Global",2050,-6072.8320200595
"89","1p5 delay","India",2015,2295.77663268124
"90","1p5 delay","India",2020,2658.23936036098
"91","1p5 delay","India",2025,3649.11146265499
"92","1p5 delay","India",2030,4348.23122359398
"93","1p5 delay","India",2035,3561.25397519198
"94","1p5 delay","India",2040,2166.90867391449
"95","1p5 delay","India",2045,860.480867357248
"96","1p5 delay","India",2050,-24.7137076017183
"97","1p5 delay","Japan",2015,1190.1522055095
"98","1p5 delay","Japan",2020,1160.66797532734
"99","1p5 delay","Japan",2025,1174.42071913897
"100","1p5 delay","Japan",2030,1137.75178754801
"101","1p5 delay","Japan",2035,917.574712435504
"102","1p5 delay","Japan",2040,528.00195416345
"103","1p5 delay","Japan",2045,199.208412080853
"104","1p5 delay","Japan",2050,23.3218723458789
"105","1p5 delay","ROW",2015,15484.113026686
"106","1p5 delay","ROW",2020,12249.4081395277
"107","1p5 delay","ROW",2025,13486.6428817833
"108","1p5 delay","ROW",2030,14429.5095432908
"109","1p5 delay","ROW",2035,9269.0554875812
"110","1p5 delay","ROW",2040,4812.01580479481
"111","1p5 delay","ROW",2045,527.187123094862
"112","1p5 delay","ROW",2050,-4572.47638955911
"113","1p5 delay","South Korea",2015,663.8723379112
"114","1p5 delay","South Korea",2020,689.245533584667
"115","1p5 delay","South Korea",2025,711.1618237295
"116","1p5 delay","South Korea",2030,713.142654815433
"117","1p5 delay","South Korea",2035,555.102893084667
"118","1p5 delay","South Korea",2040,366.32150833982
"119","1p5 delay","South Korea",2045,151.529302007232
"120","1p5 delay","South Korea",2050,8.66923865979689
"121","1p5 delay","US",2015,4863.22859442611
"122","1p5 delay","US",2020,4897.29192241039
"123","1p5 delay","US",2025,5162.15660875041
