IRONSTL production by region,,,,,,,,,,,,,,,,,,,,,,,,
"Ref (our analysis),date=2021-27-7T09:20:39-07:16",India,iron and steel,24.54,45.79,68.9,89,111.350704,219.2404583,305.0847277,389.3338531,465.0126808,530.3640497,582.2040535,620.0483069,642.5358989,650.3139918,645.4412765,629.4819051,604.2999024,571.9806071,535.3977777,496.1464275,456.4524167,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:17",Indonesia,iron and steel,2.604,3.672,3.659,4.852,9.419840703,17.32261195,27.8448707,38.39977087,48.13257562,56.02920239,61.65208759,65.19571342,66.74095183,66.51792829,64.83815248,62.14456183,58.7980596,55.04483387,51.0821981,47.06072759,43.09363188,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:18",Japan,iron and steel,97.2,112.4,109.65,105.12,99.284114,96.74560275,93.87536629,90.82242922,87.68639558,84.50486698,81.33835318,78.23767712,75.17352334,72.00960627,68.78874567,65.61036467,62.53452445,59.45311531,56.4502316,53.55201726,50.7581757,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:19",Mexico,iron and steel,14.27,16.19,16.87,18.26,18.54276952,22.30710422,26.26977989,29.96716253,33.2079042,36.0120644,38.31920267,40.01301086,40.98538167,41.46459073,41.50678807,41.16815183,40.4491399,39.38669499,38.07746428,36.61900854,35.06123017,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:20",Middle East,iron and steel,9.84167,15.247,19.993,29.378,37.06056451,43.92995589,56.20007216,68.58218301,81.04031228,92.66289944,102.9619792,112.2497526,120.4834601,127.3932759,132.5716417,135.8489426,137.3879335,137.313095,135.9193222,133.4016628,129.8071144,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:21",Pakistan,iron and steel,0.8673,0.826,1.401,2.892,3.870190189,6.275083103,11.34760894,18.99685531,29.59050373,42.63185734,57.13710531,71.96003363,85.98300164,98.42480057,108.6994748,116.4134785,121.4115325,124.0152391,124.3378645,122.9032943,120.0068867,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:22",Russia,iron and steel,53.96,66.1,66.95,70.91,72.1870532,69.42184606,66.38214075,63.11704801,60.12754241,57.22103556,54.2922214,51.39168009,48.6819626,45.89391742,43.13474155,40.39332004,37.64608561,34.92954432,32.30826699,29.78546088,27.34615516,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:23",South Africa,iron and steel,7.744,9.5,7.62,6.422,8.01228207,9.917653378,11.96406537,13.73376114,15.208588,16.37424721,17.22726097,17.83146918,18.23255176,18.35730957,18.20543662,17.80872953,17.18863213,16.4278119,15.5601162,14.60896098,13.60056081,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:24",South America_Northern,iron and steel,3.500365,4.9105,2.21,1.343,8.68E-05,4.39E-05,1.35E-04,4.12E-04,0.001208544,0.003229196,0.00774427,0.016773709,0.032968348,0.0583757,0.094580589,0.142997005,0.204607451,0.278709244,0.362204991,0.450674676,0.54013888,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:25",South America_Southern,iron and steel,2.08133,2.577,2.3877,3.0605,3.02726505,4.764250237,6.81381762,8.92497277,11.08918849,13.19782931,15.10161334,16.72162128,18.00301242,18.95369109,19.5742721,19.8641121,19.8599441,19.59344994,19.11951749,18.49508316,17.75466094,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:26",South Asia,iron and steel,0.02737,0.03,0.1082,0.13,0.346487913,1.191032179,2.830994842,5.373082695,9.035902515,13.69374454,19.10062768,24.94313612,30.80526734,36.24779583,40.94816385,44.74362019,47.49694356,49.21662776,49.98888386,49.95686329,49.25956369,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:27",South Korea,iron and steel,39.34,47.7,58.9,69.7,71.411852,70.35594803,68.97689726,67.16379941,64.87062118,62.1743365,59.1679185,55.99350802,52.79216685,49.62570244,46.54886015,43.60644366,40.8275372,38.22689352,35.81043757,33.57813511,31.45001236,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:28",Southeast Asia,iron and steel,7.86108,13.8071,17.268,15.915,19.50688441,32.07902203,45.5766426,59.1136406,72.42864701,84.58084143,94.7731533,102.991273,108.997209,112.697129,114.1750496,113.5862452,111.2642334,107.5756029,102.9457452,97.69845264,92.07464942,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:29",Taiwan,iron and steel,15.42,18.9,19.76,21.37,20.32991,18.46221,17.16247,16.02768756,14.99838272,14.10681481,13.32647749,12.63302263,11.98142077,11.28419271,10.63715612,10.04325485,9.494884656,8.991158165,8.526853806,8.096654647,7.748440175,Mt
"Ref (our analysis),date=2021-27-7T09:20:39-07:30",USA,iron and steel,93,94.8,80.5,78.9,87.76118,90.99212606,95.27025554,98.5,100.7295411,101.3890943,101.5082239,101.5106333,101.4671015,101.0563307,100.096674,98.51594286,96.35027658,93.62306714,90.49535964,87.06586739,83.31849992,Mt
IRONSTL production by region,,,,,,,,,,,,,,,,,,,,,,,,
scenario,region,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"MEF (our analysis),date=2021-27-7T09:20:39-07:00",Africa_Eastern,iron and steel,0.031689143,0.094335115,0.304232319,0.02,0.031689143,0.094335115,0.304232319,0.783999231,1.740795532,3.357781165,5.675361578,8.893186675,12.66851411,16.67546158,20.58865118,24.1255285,27.08819025,29.38251188,30.98212678,31.93750395,32.30916358,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:01",Africa_Northern,iron and steel,8.279176131,9.868993067,11.18648598,7.0737,8.279176131,9.868993067,11.18648598,12.14649966,12.79032417,13.12720428,13.1496746,13.4182798,13.46744167,13.32287617,12.9984111,12.53330737,11.98101023,11.37515717,10.74583775,10.09868824,9.449911957,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:02",Africa_Western,iron and steel,0.1132016,0.206429387,0.713555046,0.125,0.1132016,0.206429387,0.713555046,1.89316275,4.211127663,8.1209784,13.82994233,22.01496352,31.9709711,42.96855518,54.22050002,64.9521286,74.53128117,82.54286757,88.82792227,93.3392109,96.24278481,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:03",Argentina,iron and steel,2.853883,3.627976143,4.504034348,5.029,2.853883,3.627976143,4.504034348,5.288560705,5.912145698,6.353404213,6.652444205,7.084678042,7.412703561,7.634204213,7.740460775,7.735314384,7.640350866,7.484093193,7.28604949,7.046763599,6.772980884,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:04",Australia_NZ,iron and steel,6.46977819,6.901174564,7.222182732,5.7214,6.46977819,6.901174564,7.222182732,7.442501672,7.595885381,7.700422079,7.734301154,8.001247036,8.22619685,8.358885872,8.403609759,8.362033711,8.232181107,8.01925693,7.723749743,7.35116099,6.925631904,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:05",Brazil,iron and steel,34.17328238,38.26726013,42.03675278,33.22,34.17328238,38.26726013,42.03675278,44.35063425,45.64949045,45.9448835,45.19575417,45.36800304,44.90060785,43.76528176,42.12299866,40.12036341,37.81652398,35.33085865,32.79642864,30.29273176,27.86228759,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:06",Canada,iron and steel,13.79236579,14.32670042,14.54335995,12.48,13.79236579,14.32670042,14.54335995,14.61008166,14.59629047,14.49045894,14.28995152,14.56189135,14.7880369,14.89838659,14.89839372,14.78258404,14.53816664,14.15982658,13.65953687,13.02807625,12.29259971,Mt
"MEF (our analysis),date=2021-27-7T09:20:39-07:07",Central America and Caribbean,iron and steel,1.54681733,2.380051313,3.516458197,1.4023,1.54681733,2.380051313,3.516458197,4.820894588,6.285074964,7.808830636,9.240341241,10.89252059,12.38636406,13.67636296,14.72411586,15.49680672,15.99563148,16.21451828,16.19553739,15.97059494,15.59049318,Mt
