"","region","scenario","sector","subsector","output","technology","Units","year","share"
"1","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"2","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"3","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2015,0
"4","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"5","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"6","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-BOF","Mt",2015,94.0918764857431
"7","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"8","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-CCUS","Mt",2015,0
"9","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"10","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"11","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-H2","Mt",2015,0
"12","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"13","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"14","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-Fossil","Mt",2015,0.29497056517356
"15","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"16","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-CCUS","Mt",2015,0
"17","China","1p5C","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"18","China","1p5C_delay","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"19","China","current_policies","iron and steel","EAF with scrap","iron and steel","EAF-scrap","Mt",2015,5.61315294908335
"20","China","1p5C","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"21","China","1p5C_delay","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"22","China","current_policies","iron and steel","EAF with DRI","iron and steel","DRI-EAF-H2","Mt",2015,0
"23","China","1p5C","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0432082489714907
"24","China","1p5C_delay","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0432082489714907
"25","China","current_policies","iron and steel","BLASTFUR","iron and steel","BF-biomass","Mt",2020,0.0481801232803344
