elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.00108139,0.00332109,0.00879385,0.0199326,0.0370619,0.0605571,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,biomass,electricity,biomass (conv),0.00129239,0.0021024,0.0027324,0.00243508,0.00375719,0.00782716,0.0160805,0.0341214,0.0656511,0.10671,0.155253,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00114279,0.00295923,0.00664082,0.0133405,0.0230999,0.0361696,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,coal,electricity,coal (conv pul),6.61842E-4,0.00468229,0.00715193,0.00432125,0.00678207,0.0101656,0.01501,0.0241831,0.0400311,0.0619997,0.0903897,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,gas,electricity,gas (CC),0.0,0.0,6.08846E-5,1.16467E-4,7.38909E-4,0.00246664,0.0061091,0.0143549,0.0317502,0.0607294,0.102588,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,gas,electricity,gas (steam/CT),0.0,0.0,2.99934E-4,0.00102255,0.002155,0.00404927,0.00628664,0.00898883,0.0121097,0.0150876,0.0176515,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,geothermal,electricity,geothermal,0.00117359,0.0036108,0.0052956,0.0161244,0.02386,0.0389965,0.0583672,0.0728213,0.072803,0.0728312,0.0728077,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,hydro,electricity,hydro,0.0220885,0.0372506,0.0651303,0.0967141,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,6.54093E-4,0.00177811,0.00331413,0.00598985,0.0101807,0.0154295,0.0214896,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0114466,0.032085,0.0550439,0.0943195,0.15156,0.196996,0.245471,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refined liquids,electricity,refined liquids (steam/CT),0.00928196,0.0284453,0.0290975,0.0402832,0.0517516,0.064533,0.0688909,0.0688614,0.0651935,0.0557431,0.0505978,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0113504,0.0230043,0.0837056,0.180394,0.283154,0.408496,0.568882,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.48393E-6,8.33261E-5,5.95293E-4,0.00304317,0.0110662,0.0286666,0.0600045,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,solar,electricity,PV,0.0,5.21001E-5,2.408E-4,6.75301E-4,0.0065220109999999994,0.020164211,0.044983111000000006,0.103779011,0.219749011,0.39056371,0.607191,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,7.79769E-6,1.0897069E-4,6.1728969E-4,0.00280970969,0.009747869689999999,0.025034169689999997,0.052657871999999994,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,wind,electricity,wind,0.0,1.03E-5,1.084E-4,0.00327681,0.022048409999999997,0.06999521,0.12049711,0.19811801,0.32396501,0.48937719999999996,0.6822256,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,7.47557E-5,0.0014800256999999999,0.0124969257,0.0680446257,0.2388546257,0.57092487,1.0754636,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.23882E-5,3.829062E-4,0.0019515962,0.0074449062,0.0209385062,0.0448055062,0.081062018,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.71322E-4,0.00130268,0.0025092,0.00400712,0.00573871,0.0075595,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38453E-7,0.00112527,0.0028681,0.00566604,0.00915751,0.0125414,0.0154342,0.0178676,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00432388,0.0094515,0.0150326,0.0207548,0.0266702,0.032324,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,coal,electricity,coal (conv pul),0.0079653,0.0458462,0.0391365,0.0616071,0.0735199,0.0843807,0.0949267,0.104092,0.111379,0.117519,0.122539,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,gas,electricity,gas (CC),0.0753068,0.198025,0.300178,0.382933,0.457767,0.614684,0.833905,1.10916,1.41821,1.76718,2.10467,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0605068,0.284423,0.386451,0.494492,0.511801,0.576446,0.629059,0.655901,0.652986,0.637261,0.611852,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00535428,0.0157398,0.0288689,0.0421975,0.0538224,0.0626841,0.0662865,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,5.55118E-4,0.00120759,0.0019229,0.00264335,0.00333166,0.00399724,0.0045963,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0318442,0.0676072,0.121918,0.188695,0.257716,0.325059,0.390269,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117727,0.127341,0.157289,0.214293,0.14278,0.145164,0.150627,0.153232,0.153646,0.148324,0.149582,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.025713,0.103564,0.168132,0.222249,0.274818,0.331577,0.394696,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,1.44E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,2.01568E-6,1.59988E-5,7.91383E-5,2.84724E-4,7.78624E-4,0.00172279,0.00317877,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,solar,electricity,PV,0.0,7.2E-6,7.676E-4,0.0010805,0.00816133,0.03455913,0.08279863,0.14406053,0.21055263,0.28220053,0.34556899999999996,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,4.81888E-6,2.3744980000000002E-5,9.070598E-5,2.8738297999999997E-4,7.435979799999999E-4,0.00161949498,0.0029876661,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,wind,electricity,wind,0.0,0.0028801,0.0082658,0.0181601,0.0327476,0.06228210000000001,0.10423110000000001,0.1519405,0.19953510000000002,0.2291892,0.2580152,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,1.21621E-4,0.001154231,0.005645681,0.018004581,0.043011881,0.08483976,0.14146015,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,4.78508E-5,2.137588E-4,6.167108E-4,0.0013402188,0.0024010688,0.0038257587999999997,0.005431518,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,6.24449E-5,2.17555E-4,4.58391E-4,8.53951E-4,0.00153529,0.00264682,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03201E-4,5.68121E-4,4.99341E-4,7.22145E-4,0.00125233,0.00201229,0.00312551,0.00485926,0.0074461,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00241877,0.00751645,0.0143668,0.0242903,0.0395411,0.0617676,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,coal,electricity,coal (conv pul),0.0213304,0.0204674,0.0126978,0.0266819,0.0254131,0.0321269,0.0452414,0.061094,0.0826997,0.114634,0.159876,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,gas,electricity,gas (CC),0.0,7.8267E-4,0.0,0.00985434,0.00872844,0.0140032,0.0281431,0.0496528,0.0823952,0.136793,0.220118,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,gas,electricity,gas (steam/CT),0.0,0.00337892,0.00860167,0.0189845,0.016457,0.0193429,0.0247991,0.0295953,0.0337281,0.0383816,0.0434255,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,1.96612E-5,6.61257E-4,0.0026036,0.00577398,0.0107258,0.0181277,0.0278722,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,hydro,electricity,hydro,0.0548817,0.120117,0.148422,0.161628,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,1.75964E-6,2.85538E-5,8.19072E-5,1.50014E-4,2.44718E-4,3.8615E-4,5.89442E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,7.26166E-4,0.0184531,0.0660205,0.136012,0.231089,0.35188,0.507912,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,refined liquids,electricity,refined liquids (steam/CT),0.00254618,0.00617972,0.00945443,0.0264261,0.00930945,0.0233882,0.045427,0.0641153,0.0786879,0.088089,0.0960075,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0232503,0.0525172,0.0884258,0.13546,0.200058,0.287261,0.397326,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,8.19782E-9,9.96807E-7,9.90911E-6,4.64169E-5,1.70447E-4,5.29121E-4,0.0013602,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,solar,electricity,PV,0.0,1.12E-5,5.29002E-5,8.66999E-5,1.08069E-4,7.96203E-4,0.002750223,0.005725623,0.010204293,0.0172042431,0.028166174000000002,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.75799E-8,1.2178499E-6,9.696109900000001E-6,4.1024709899999996E-5,1.437917099E-4,4.422627099E-4,0.00114427313,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,wind,electricity,wind,0.0,2.2E-6,6.70002E-6,6.51999E-5,9.44013E-5,8.333133E-4,0.0025539433,0.0047318433,0.0074472433,0.0109620534,0.015673632,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,3.39413E-7,4.8635113E-5,4.68520113E-4,0.002020000113,0.0068430901130000004,0.0197892507,0.047899655,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Southern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,6.2406E-8,3.7703060000000003E-6,2.2091506E-5,6.6511506E-5,1.65692106E-4,3.74270106E-4,7.525277E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Western,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,3.81058E-4,0.00176414,0.00400056,0.00755103,0.0132778,0.0220829,0.0,0.0,0.0,EJ,
