CO2 emissions by subsector
scenario,region,sector,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,biomass,0.0,0.0,0.0,0.0,4.38476E-4,0.00324371,0.0132249,0.0363962,0.0718599,0.118052,0.181983,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,coal,0.0,0.0,0.0,0.0,0.00212879,0.0159469,0.064309,0.178886,0.378077,0.676231,1.13356,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 central production,gas,0.0,0.0,0.0,0.0,0.00155436,0.00965315,0.0335804,0.0741181,0.139198,0.234478,0.366677,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,H2 forecourt production,gas,0.0,0.0,0.0,0.0,0.00195265,0.0131431,0.0497007,0.118061,0.2276,0.391474,0.631118,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,N fertilizer,gas,0.0,0.00133626,0.0,0.0,0.0457175,0.1040388,0.174462,0.24569449999999998,0.3065619,0.37422487000000004,0.44094327,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,N fertilizer,refined liquids,0.0118274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,agricultural energy use,biomass,0.0,0.500193,0.603452,0.71945,0.6258360000000001,0.4658773,0.3283368,0.27326383,0.3034311,0.317942,0.32120480000000007,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,agricultural energy use,refined liquids,0.123663,0.298358,0.21277,0.262317,0.344139,0.43589100000000003,0.5000369,0.5197351,0.5078966,0.4892679,0.48062499999999997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,backup_electricity,gas,0.0,0.0,0.0,0.0,0.01835,0.128057,0.580638,1.41883,2.47535,3.78347,5.28628,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,cement,cement,0.299,0.725,1.093,1.093,1.2169059999999998,1.609804,2.2350899999999996,3.078154,4.2516305,5.8270513,7.92530547,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm heating,coal,0.0,2.12931E-4,2.12945E-4,2.04752E-4,1.5235E-4,2.02171E-4,2.76953E-4,3.54227E-4,4.26348E-4,5.08969E-4,5.81956E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm heating,refined liquids,0.0113099,0.0242226,0.0267606,0.0296551,0.0375057,0.0427223,0.0510025,0.0629343,0.0811278,0.105643,0.139399,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm others,biomass,0.585032,1.66451,2.09794,2.2698,1.73792,2.00777,2.47075,2.68167,2.6431,2.54619,2.47374,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm others,coal,0.0,0.0096178,0.00965057,0.00917552,0.00602787,0.00676346,0.00783887,0.00829163,0.00853964,0.00873021,0.00897854,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm others,gas,0.0,2.84E-4,5.69421E-4,5.7368E-4,4.0192E-4,4.93326E-4,6.74762E-4,7.76232E-4,9.46084E-4,0.00121086,0.00155282,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,comm others,refined liquids,0.221901,0.475216,0.524967,0.581763,0.618237,0.544501,0.484015,0.433519,0.415553,0.400443,0.409218,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,construction energy use,biomass,0.0,0.0,0.0,0.0,5.61726E-4,0.001969019,0.004253389,0.00650956,0.007770924,0.008600316,0.009009651,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,construction energy use,coal,0.0,0.0,0.0,0.0,0.00285533,0.00995294,0.02114005,0.032031525000000005,0.03854763,0.043698390000000004,0.04731983,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,construction energy use,gas,0.0,0.0,0.0,0.0,6.26753E-4,0.002033465,0.004054502,0.0055902009999999995,0.006243123000000001,0.006724522,0.007066791,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,construction energy use,refined liquids,0.0,0.0237934,0.0795843,0.0377403,0.04022279,0.03584529,0.02708816,0.01871563,0.01462411,0.011340610000000001,0.0091146,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_biomass (IGCC),biomass (IGCC),0.0,0.0,0.0,0.0,0.0,0.07074128,0.21161202,0.54407209,1.2014540900000001,2.18647421,3.50353896,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_biomass (conv),biomass (conv),0.11456973000000001,0.19929523000000002,0.23299240999999998,0.261044,0.3497368,0.6718860000000001,1.31268646,2.6575903199999993,4.9424382399999995,7.838158020000001,11.171630589999998,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_coal (IGCC),coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.07075588000000001,0.17952917,0.39343564,0.77301484,1.3136216299999999,2.02320816,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_coal (conv pul),coal (conv pul),0.06313691,0.4338809,0.7183330000000001,0.4860755,0.6352815400000001,0.8452540399999998,1.1372997800000002,1.6824483600000002,2.613353,3.88086903,5.4982358300000005,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_gas (CC),gas (CC),0.0,0.0,0.0015301960000000002,0.00292715,0.018292668400000003,0.06016063270000001,0.14695867299999998,0.34023853109999996,0.74204567,1.4028336568000002,2.3466932072,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_gas (steam/CT),gas (steam/CT),0.0,0.0,0.011297253000000002,0.03851528,0.08034205,0.14891337,0.22842300199999996,0.322503988,0.429239715,0.529260154,0.6136682480000001,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_refined liquids (CC),refined liquids (CC),0.0,0.0,0.0,0.0,0.3966799,1.09477115,1.8513786900000004,3.1192927299999997,4.92533882,6.30720796,7.763532479999999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,elec_refined liquids (steam/CT),refined liquids (steam/CT),0.6148155000000001,1.7691526,1.7143146,2.3524380999999996,2.9101964999999996,3.5267771,3.6906660000000002,3.6113375999999997,3.3464692000000005,2.81619875,2.5262361300000005,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,gas processing,biomass gasification,0.0,0.0,6.69228E-4,0.00419227,0.00756051,0.021948,0.0630386,0.186371,0.350678,0.523222,0.729753,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,gas processing,coal gasification,0.0,0.0,0.0,0.0,1.18817E-4,7.45043E-4,0.00337624,0.0144004,0.0391463,0.0827983,0.160022,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,mining energy use,biomass,0.0,0.0,0.0,0.0,4.48929E-4,0.0015163000000000002,0.0033439109999999998,0.0053332414,0.006766672,0.007949603999999999,0.008866849,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,mining energy use,coal,0.0,0.0,0.0,0.0,0.00228197,0.00766505,0.0166165,0.026233529,0.03358512,0.040453069999999994,0.04665764,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,mining energy use,gas,0.0,0.0,0.0,0.0,5.00899E-4,0.001567377,0.0031853669999999997,0.0045628467,0.005411667,0.0062067549999999996,0.006960407,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,mining energy use,refined liquids,0.0,0.0,0.0247877,0.0245561,0.0275718,0.02550707,0.02034296,0.01508288,0.012437789999999999,0.01031338,0.008888716999999999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,other industrial energy use,biomass,10.6763,15.2378,16.4282,19.0279418,21.354962546,27.216011958,36.78031056499999,47.75542773600001,59.96907130100001,73.57767150800002,87.0427350592,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,other industrial energy use,coal,0.233478,0.208613,0.283117,1.06159,1.211499,1.613569,2.333447,3.304694,4.5843027,6.1899794,8.12402717,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,other industrial energy use,gas,0.0,0.190489,0.344811,0.172926,0.1987673,0.2623182,0.3683671,0.485444,0.6315965,0.82461043,1.0636661,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,other industrial energy use,refined liquids,0.699026,1.21017,2.13895,2.01951,2.464269,3.372074,4.527355,5.656195,6.9384060000000005,8.4559598,10.3341546,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,other industrial feedstocks,gas,0.0,0.275358,0.0840909,0.27833,0.286185,0.457891,0.825275,1.37854,2.19025,3.29332,4.67887,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,process heat cement,biomass,0.0653723,0.0214662,0.0323493,0.0323493,0.036718,0.053235500000000005,0.08862242000000001,0.14837226,0.22805015,0.32399045,0.434478999,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,process heat cement,coal,0.0661828,0.14778,0.222704,0.222704,0.24906640000000002,0.3471048,0.5455369999999999,0.8716678,1.3385064,1.95702525,2.7418299399999997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,process heat cement,gas,0.0,0.0768671,0.115839,0.115839,0.1295723,0.1733111,0.2499492,0.3410898,0.45883824,0.62097855,0.824742396,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,process heat cement,refined liquids,0.0606222,0.135367,0.203998,0.203998,0.2428625,0.3488555,0.4727239,0.6093852,0.7754538,0.9567231399999999,1.21730152,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refining,biomass liquids,0.0,0.0,5.67125E-4,7.55863E-4,0.030177917695000004,0.294866923206,0.890630729466,2.1457548195549996,4.410220055220999,7.638943569245998,11.669426858810997,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refining,coal to liquids,0.0,0.0,0.0,0.0,0.0,0.0179605,0.0916584,0.3137242,0.8822258,2.0011216999999997,3.8688883,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refining,gas to liquids,0.0,0.0,0.0,0.0,0.0,0.00329171,0.01495016,0.04255669,0.10488223,0.22037106,0.40053169,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,refining,oil refining,0.243187,0.183646,0.288521,0.157093,0.374747,0.62236,0.882352,1.195127,1.6217480000000002,2.0669161999999996,2.5273992,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,regional biomass,regional biomass,-14.9672,-22.6085,-24.804,-28.474,-30.0908,-38.3774,-52.5068,-69.3389,-89.2391,-112.554,-137.783,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,regional biomassOil,regional biomassOil,0.0,0.0,0.0,0.0,-8.19393E-6,-2.73921E-5,-7.6669E-5,-1.68946E-4,-3.29754E-4,-5.44258E-4,-8.55949E-4,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,regional corn for ethanol,regional corn for ethanol,0.0,0.0,-0.00246161,-0.00328083,-0.0386984,-0.0733845,-0.138806,-0.247018,-0.423462,-0.672889,-0.993325,0.0,0.0,0.0,MTC,
"current_policies,date=2021-21-10T09:40:21-07:00",Africa_Eastern,resid others,biomass,3.52595,4.98523,5.40781,6.15559,5.93259,7.36356,9.68606,11.2388,11.6459,11.4561,10.9954,0.0,0.0,0.0,MTC,
