IRONSTL inputs by tech (energy and feedstocks)
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,scrap,0.0,0.0,0.0,0.0,0.00291489,0.02027402,0.0723342,0.175667024,0.36440321,0.6267507999999999,0.9706044,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Africa_Western,iron and steel,wholesale gas,0.002093,0.00803712,0.00259532,0.0106743,0.009237896862710001,0.004690342911028,0.002991971164504,0.004499580699751,0.007699091263439999,0.008713357484,0.007015756783909,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.004738772781,0.026322323617,0.043388067860000004,0.0526698688042,0.06113121263828,0.069121737423238,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,4.71159E-6,1.561206E-5,3.2489619999999996E-5,3.0779359999999996E-5,1.9236806E-5,7.782219050000001E-6,4.2092883000000004E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,delivered coal,0.0,0.0,0.0,0.0,0.0,1.46056E-6,8.12964E-6,1.2825559E-5,1.11734E-5,5.8485075000000005E-6,4.0359670999999996E-7,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,elect_td_ind,0.0,0.0,0.0,0.022939430000000004,0.021469749945999997,0.015603165892,0.021738179681299995,0.027135536506199997,0.030744158456700005,0.033093344315390995,0.03488588118532,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,refined liquids industrial,0.016743852,0.025534847,0.025116020000000003,0.028422982,0.02503037300821,0.012650427185539999,0.006599988332901999,0.003718128791483,0.003444094460149,0.003036802115077,0.0020634117261640003,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,scrap,0.0,0.0,0.0,0.0,0.117254,0.1573216,0.3341069,0.4450656,0.47688030000000003,0.4315262,0.3093245,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Argentina,iron and steel,wholesale gas,0.0,0.052283247000000005,0.04659028,0.06969671599999999,0.06066678880821,0.029344561396339997,0.013602764726001998,0.006130581637683,0.005268668966149,0.004669424229077001,0.003118162967604,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0016765603,0.0063924537,0.0102416811,0.012958018200000001,0.019457525058,0.026233391922100002,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,2.60858E-5,0.0018218466999999998,0.0038342813000000002,0.00362583284,0.0022303035000000005,7.10665143E-4,1.0524869399999998E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,delivered coal,0.14504513,0.12641689,0.15433787000000002,0.09786878,0.10872065,0.091227098,0.078320644,0.07111800500000001,0.0639350292,0.039732703384999984,0.02153261035299,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,elect_td_ind,0.02206017,0.01904616,0.018585950000000004,0.01858586,0.021138216324,0.022183332426,0.024956421971000002,0.026819767312000004,0.028130660809999996,0.031183047845500002,0.033908521696444004,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,refined liquids industrial,0.0020931918,0.0017162755,9.625378999999999E-4,8.372116E-4,9.810864777000002E-4,0.0011778932322,0.00132796996891,0.00136873399468,0.0014015566221999998,0.0015420339167800002,0.0015504605178630001,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,scrap,0.0,0.0,0.0,0.0,0.12855,0.42192799999999997,0.8168375,1.0940045,1.2835118,1.7666124,2.2434266,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Australia_NZ,iron and steel,wholesale gas,0.027418588,0.024404599,0.019381249,0.0147349683,0.0172712743477,0.0205372247122,0.02264120963291,0.02290088870168,0.023121926754000002,0.024729532048382998,0.023860328643282,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.017619441,0.06393074,0.1008383081,0.1249722428,0.18319892314,0.2604026513183,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,7.16364E-5,0.0043048468,0.0085620344,0.0082929809,0.0051725750000000004,0.00192182837,8.245789030000001E-5,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,delivered coal,0.25718752,0.35124799999999995,0.38733,0.37322192000000004,0.37950256000000004,0.34144208,0.30326534400000005,0.280539625,0.2555245517,0.16063882610999997,0.08058577807999998,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,elect_td_ind,0.06835724,0.08631472,0.09795090000000001,0.08928745999999999,0.09082326064000001,0.10249189941,0.1230690626,0.13590006735299998,0.14092474211999997,0.1471923048744,0.15433008841725,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,refined liquids industrial,0.01925597,0.03520557,0.04604627,0.04307301,0.043192402696899994,0.0533865017951,0.058500913251200014,0.057962310811610004,0.056700858327199996,0.056442282002485994,0.050073114303111996,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,scrap,0.0,0.0,0.0,0.0,0.448136,2.2236339999999997,4.627928,6.057725,6.490166,6.753264,5.90387,0.0,0.0,0.0,Mt,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Brazil,iron and steel,wholesale gas,0.01477722,0.045419,0.03658603,0.0500645,0.049962266396900004,0.0606211230751,0.0638067411312,0.061314093981609995,0.0592274300542,0.058972359529986,0.052866998336275,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Canada,iron and steel,H2 enduse,0.0,0.0,0.0,0.0,0.0,0.0098102873,0.023795449240000002,0.033901660560000005,0.03777690375,0.0401364877052,0.04106102078755,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Canada,iron and steel,delivered biomass,0.0,0.0,0.0,0.0,1.21827E-5,4.04381E-4,6.935243200000001E-4,6.3240324E-4,3.6921020000000004E-4,1.7106406000000003E-5,4.5723429999999997E-8,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Canada,iron and steel,delivered coal,0.12788292,0.12574688,0.12034715,0.09569184,0.103451406,0.08112642020000001,0.05386815630000001,0.035808354300000005,0.027567240649999995,0.0142138198266,0.006666026139842,0.0,0.0,0.0,EJ,
"0_1p5C,date=2021-20-10T09:40:15-07:00",Canada,iron and steel,elect_td_ind,0.02997163,0.03570693,0.03156242,0.032316380000000006,0.035217328058,0.03900690486,0.043640132437000004,0.0462085772257,0.046582218881999995,0.0473553816379,0.047292792772879,0.0,0.0,0.0,EJ,
