"","region","scenario","sector","Units","year","value.x","value.y","percent_reduction","absolute_reduction"
"344","US","3_1p5C_delay","iron and steel","MTCO2",2025,70.0178980072598,77.9738093199894,-10.2033123456623,-7.95591131272963
"345","US","0_1p5C","iron and steel","MTCO2",2030,30.957478067834,77.9738085277561,-60.2975939583428,-47.0163304599221
"346","US","0_1p5C_delay","iron and steel","MTCO2",2030,58.5905489572413,77.9738085353392,-24.8586800390968,-19.3832595780979
"347","US","1_1p5C","iron and steel","MTCO2",2030,30.9254090621653,77.9738085277561,-60.3387218784409,-47.0483994655908
"348","US","1_1p5C_delay","iron and steel","MTCO2",2030,58.5906453600975,77.9738085277561,-24.8585563968686,-19.3831631676586
"349","US","2_1p5C","iron and steel","MTCO2",2030,30.4857389634038,77.9737030957474,-60.9025379672311,-47.4879641323435
"350","US","2_1p5C_delay","iron and steel","MTCO2",2030,57.3636554321352,77.9737030957474,-26.4320493260455,-20.6100476636122
"351","US","3_1p5C","iron and steel","MTCO2",2030,30.9446119303719,77.9738085277561,-60.3140945470726,-47.0291965973842
"352","US","3_1p5C_delay","iron and steel","MTCO2",2030,58.5905850013873,77.9738093199894,-24.8586345692784,-19.3832243186021
"353","US","0_1p5C","iron and steel","MTCO2",2035,12.9770806470285,77.9738085277561,-83.3571286409474,-64.9967278807276
"354","US","0_1p5C_delay","iron and steel","MTCO2",2035,32.8100190375091,77.9738085353392,-57.9217436549364,-45.1637894978301
"355","US","1_1p5C","iron and steel","MTCO2",2035,12.9440544801841,77.9738085277561,-83.3994841029518,-65.029754047572
"356","US","1_1p5C_delay","iron and steel","MTCO2",2035,32.7888047212389,77.9738085277561,-57.9489506279956,-45.1850038065172
"357","US","2_1p5C","iron and steel","MTCO2",2035,12.7564980471046,77.9737030957474,-83.6399997170323,-65.2172050486427
"358","US","2_1p5C_delay","iron and steel","MTCO2",2035,32.1947055990902,77.9737030957474,-58.710816184327,-45.7789974966572
"359","US","3_1p5C","iron and steel","MTCO2",2035,12.9655141829694,77.9738085277561,-83.3719624220304,-65.0082943447867
"360","US","3_1p5C_delay","iron and steel","MTCO2",2035,32.8022411421949,77.9738093199894,-57.9317190884175,-45.1715681777946
"361","US","0_1p5C","iron and steel","MTCO2",2040,6.11048728315702,77.9738085277561,-92.1634105111309,-71.8633212445991
"362","US","0_1p5C_delay","iron and steel","MTCO2",2040,16.817189172456,77.9738085353392,-78.4322588721133,-61.1566193628832
"363","US","1_1p5C","iron and steel","MTCO2",2040,6.08887646355577,77.9738085277561,-92.1911259966373,-71.8849320642003
"364","US","1_1p5C_delay","iron and steel","MTCO2",2040,16.7983898133547,77.9738085277561,-78.4563687082503,-61.1754187144014
"365","US","2_1p5C","iron and steel","MTCO2",2040,6.06738655486856,77.9737030957474,-92.2186758945921,-71.9063165408788
"366","US","2_1p5C_delay","iron and steel","MTCO2",2040,16.6005964106795,77.9737030957474,-78.7100063847232,-61.3731066850679
"367","US","3_1p5C","iron and steel","MTCO2",2040,6.1048606334884,77.9738085277561,-92.1706265876249,-71.8689478942677
"368","US","3_1p5C_delay","iron and steel","MTCO2",2040,16.8119715608679,77.9738093199894,-78.4389505816308,-61.1618377591215
"369","US","0_1p5C","iron and steel","MTCO2",2045,1.90962996971452,77.9738085277561,-97.5509340818786,-76.0641785580416
"370","US","0_1p5C_delay","iron and steel","MTCO2",2045,5.23293224014916,77.9738085353392,-93.2888589919556,-72.7408762951901
"371","US","1_1p5C","iron and steel","MTCO2",2045,1.9033108573247,77.9738085277561,-97.5590382292957,-76.0704976704314
"372","US","1_1p5C_delay","iron and steel","MTCO2",2045,5.21431668423816,77.9738085277561,-93.3127331052683,-72.7594918435179
"373","US","2_1p5C","iron and steel","MTCO2",2045,1.89838089006082,77.9737030957474,-97.5653575312055,-76.0753222056865
"374","US","2_1p5C_delay","iron and steel","MTCO2",2045,5.2145322267381,77.9737030957474,-93.3124476333579,-72.7591708690093
"375","US","3_1p5C","iron and steel","MTCO2",2045,1.90914396175378,77.9738085277561,-97.5515573783033,-76.0646645660023
"376","US","3_1p5C_delay","iron and steel","MTCO2",2045,5.23010180847095,77.9738093199894,-93.292489036918,-72.7437075115185
"377","US","0_1p5C","iron and steel","MTCO2",2050,0.968906738679976,77.9738085277561,-98.757394621381,-77.0049017890761
"378","US","0_1p5C_delay","iron and steel","MTCO2",2050,0.971780723911197,77.9738085353392,-98.7537087873927,-77.0020278114281
"379","US","1_1p5C","iron and steel","MTCO2",2050,0.967969039160142,77.9738085277561,-98.7585972040656,-77.005839488596
"380","US","1_1p5C_delay","iron and steel","MTCO2",2050,0.970752151499214,77.9738085277561,-98.7550279127976,-77.0030563762569
"381","US","2_1p5C","iron and steel","MTCO2",2050,0.960416412098288,77.9737030957474,-98.7682816462892,-77.0132866836491
"382","US","2_1p5C_delay","iron and steel","MTCO2",2050,0.965176251121176,77.9737030957474,-98.762177230526,-77.0085268446262
"383","US","3_1p5C","iron and steel","MTCO2",2050,0.969186928122484,77.9738085277561,-98.7570352834856,-77.0046215996336
"384","US","3_1p5C_delay","iron and steel","MTCO2",2050,0.971865070447246,77.9738093199894,-98.7536006270273,-77.0019442495422
