industry final energy by tech and fuel
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,N fertilizer,gas,wholesale gas,gas,0.0,9.41029E-5,0.0,0.0,0.00321993,0.00737145,0.01240503,0.01753425,0.02203324,0.027093522000000002,0.031997837,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,N fertilizer,refined liquids,refined liquids industrial,refined liquids,6.03441E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,agricultural energy use,biomass,delivered biomass,biomass,0.0,0.0217475,0.026237,0.0312804,0.02721033,0.02026468,0.014384122,0.012133956,0.013454052000000001,0.014004521,0.01402447,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,agricultural energy use,electricity,elect_td_ind,electricity,0.00103181,9.91701E-4,0.0012805,0.0028926,0.00480858,0.00904711,0.013872414999999999,0.018733205,0.02280472,0.02787349,0.033085909999999996,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,agricultural energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,4.94213E-6,2.421217E-5,6.756969E-5,1.26099916E-4,1.8120784999999998E-4,2.4913739E-4,3.257777E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,agricultural energy use,refined liquids,refined liquids industrial,refined liquids,0.00630935,0.0152223,0.0108556,0.0133835,0.01755502,0.02208902,0.02498098,0.02552911,0.0248245,0.02373762,0.0233021,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,cement,cement,elect_td_ind,cement,0.00106375,0.00247004,0.0037238,0.0037238,0.004250332,0.005917861,0.008639543,0.012429743,0.017588200999999998,0.024284303,0.033067069,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,biomass,delivered biomass,biomass,0.0,0.0,0.0,0.0,2.44292E-5,8.6029E-5,1.8726190000000002E-4,2.872134E-4,3.4071380000000003E-4,3.7405239999999996E-4,3.8837919999999996E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,coal,delivered coal,coal,0.0,0.0,0.0,0.0,1.04622E-4,3.674939E-4,7.885557E-4,0.0012003526,0.0014413613,0.0016293108,0.001758195,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,electricity,elect_td_ind,electricity,0.0,0.0,0.0,0.0,1.46605E-6,4.866306E-6,8.536266E-6,1.2186642999999999E-5,1.5934018E-5,2.1540346E-5,2.6816288E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,gas,wholesale gas,gas,0.0,0.0,0.0,0.0,4.41526E-5,1.442915E-4,2.901552E-4,4.0117453E-4,4.4688149999999995E-4,4.7954720000000005E-4,5.022488E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,1.88133E-6,6.27443E-6,1.3192349E-5,1.9028356E-5,2.2168659E-5,2.611915E-5,2.9555840000000002E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction energy use,refined liquids,refined liquids industrial,refined liquids,0.0,0.00121395,0.00406043,0.00192553,0.002052069,0.001823195,0.001359972,9.155515E-4,7.060415E-4,5.398364E-4,4.331092E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,construction feedstocks,refined liquids,refined liquids industrial,refined liquids,0.0,0.0,0.0,0.0,9.44956E-5,2.11836E-4,3.53408E-4,5.1908E-4,7.09925E-4,9.23748E-4,0.00116399,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,iron and steel,EAF with DRI,H2 enduse,Hydrogen-based DRI,0.0,0.0,0.0,0.0,4.40949E-5,2.4199360000000001E-4,8.370266E-4,0.00211102354,0.0045351382,0.008479325,0.013985808,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,iron and steel,EAF with DRI,elect_td_ind,EAF with DRI,0.0,0.0,8.48868E-4,0.00148797,0.001798148,0.003980040000000001,0.011101563000000002,0.027181410000000003,0.059219866,0.11228431999999999,0.1866141,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,iron and steel,EAF with DRI,elect_td_ind,EAF with DRI CCS,0.0,0.0,0.0,0.0,1.86545E-5,5.391575E-4,0.0033233878,0.01221938873,0.0353701203,0.083611282,0.16615585,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,iron and steel,EAF with DRI,elect_td_ind,Hydrogen-based DRI,0.0,0.0,0.0,0.0,3.00403E-4,0.0016486159999999999,0.005702363,0.014381732299999998,0.030896208,0.057766673,0.09528031000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,iron and steel,EAF with scrap,elect_td_ind,EAF with scrap,0.0,0.0,3.15439E-4,5.52929E-4,8.41158E-4,0.0026199590000000003,0.0085148285,0.022574948299999998,0.05261384400000001,0.10641079,0.18779548000000001,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,biomass,delivered biomass,biomass,0.0,0.0,0.0,0.0,1.95229E-5,6.62113E-5,1.4732931E-4,2.3580053E-4,2.9714572E-4,3.465909E-4,3.832163E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,coal,delivered coal,coal,0.0,0.0,0.0,0.0,8.36097E-5,2.828461E-4,6.202868E-4,9.851935E-4,0.0012580992,0.0015125085,0.001738637,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,electricity,elect_td_ind,electricity,0.0,0.0,0.0,2.0201E-5,2.25532E-5,2.973641E-5,3.170083E-5,3.467048E-5,3.9701960000000004E-5,4.765848E-5,5.4920690000000004E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,gas,wholesale gas,gas,0.0,0.0,0.0,0.0,3.52852E-5,1.111523E-4,2.281135E-4,3.2809674E-4,3.88043E-4,4.438196E-4,4.961328E-4,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,hydrogen,H2 enduse,hydrogen,0.0,0.0,0.0,0.0,1.50349E-6,4.855757E-6,1.0541133E-5,1.6030746999999997E-5,2.0049397E-5,2.5022203E-5,3.010518E-5,0.0,0.0,0.0,EJ,
"current_policies,date=2021-8-10T07:50:52-07:00",Africa_Eastern,mining energy use,refined liquids,refined liquids industrial,refined liquids,0.0,0.0,0.00126468,0.00125286,0.001406624,0.001296869,0.001021007,7.386575E-4,6.015483E-4,4.92692E-4,4.2408210000000003E-4,0.0,0.0,0.0,EJ,
